onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.057	1.014	1	1	pump	6	-5.33333333333333	-8.18181818181818	control	control	6	grey	0	0	NA	NA
6.991	0.539	1	2	pump	6	-4.33333333333333	-7.18181818181818	control	control	6	grey	0	0	NA	NA
9.224	1.59	1	3	pump	6	-3.33333333333333	-6.18181818181818	control	control	6	grey	0	0	NA	NA
12.824	1.14	1	4	pump	6	-2.33333333333333	-5.18181818181818	control	control	6	grey	0	0	NA	NA
15.174	1.159	1	5	pump	6	-1.33333333333333	-4.18181818181818	control	control	6	grey	0	0	NA	NA
17.63	0.587	1	6	pump	6	-0.333333333333333	-3.18181818181818	control	control	6	grey	0	0	NA	NA
20.774	0.929	2	1	pump	4	-5.33333333333333	-3.54545454545455	linear	cashout	13	blue	0.1	0.4	NA	NA
23.157	0.732	2	2	pump	4	-4.33333333333333	-2.54545454545455	linear	cashout	13	blue	0.2	0.4	NA	NA
25.478	0.763	2	3	pump	4	-3.33333333333333	-1.54545454545455	linear	cashout	13	blue	0.3	0.4	NA	NA
28.107	0.562	2	4	pump	4	-2.33333333333333	-0.545454545454546	linear	cashout	13	blue	0.4	0.4	NA	NA
30.624	0.449	2	5	cashout	4	NA	NA	linear	cashout	13	blue	0.5	0.4	NA	NA
41.241	0.678	3	1	pump	2	-5.33333333333333	-4.27272727272727	exponential	explosion	2	red	0.01	0	NA	NA
43.607	0.359	3	2	pump	2	NA	NA	exponential	explosion	2	red	0.0428709385014517	0	45.257	2
50.069	0.458	4	1	pump	2	-5.33333333333333	-3.54545454545455	linear	cashout	14	blue	0.1	0.2	NA	NA
52.457	0.362	4	2	pump	2	-4.33333333333333	-2.54545454545455	linear	cashout	14	blue	0.2	0.2	NA	NA
54.474	0.813	4	3	cashout	2	NA	NA	linear	cashout	14	blue	0.3	0.2	NA	NA
61.207	0.438	5	1	pump	15	-5.33333333333333	-8.18181818181818	control	control	15	grey	0	0	NA	NA
63.457	0.395	5	2	pump	15	-4.33333333333333	-7.18181818181818	control	control	15	grey	0	0	NA	NA
65.407	0.437	5	3	pump	15	-3.33333333333333	-6.18181818181818	control	control	15	grey	0	0	NA	NA
67.507	0.669	5	4	pump	15	-2.33333333333333	-5.18181818181818	control	control	15	grey	0	0	NA	NA
70.257	0.634	5	5	pump	15	-1.33333333333333	-4.18181818181818	control	control	15	grey	0	0	NA	NA
72.379	0.464	5	6	pump	15	-0.333333333333333	-3.18181818181818	control	control	15	grey	0	0	NA	NA
74.124	0.387	5	7	pump	15	0.666666666666667	-2.18181818181818	control	control	15	grey	0	0	NA	NA
75.924	0.384	5	8	pump	15	1.66666666666667	-1.18181818181818	control	control	15	grey	0	0	NA	NA
78.107	0.368	5	9	pump	15	2.66666666666667	-0.181818181818182	control	control	15	grey	0	0	NA	NA
80.443	0.327	5	10	pump	15	3.66666666666667	0.818181818181818	control	control	15	grey	0	0	NA	NA
82.242	0.916	5	11	pump	15	4.66666666666667	1.81818181818182	control	control	15	grey	0	0	NA	NA
84.541	0.597	5	12	pump	15	5.66666666666667	2.81818181818182	control	control	15	grey	0	0	NA	NA
86.791	0.643	5	13	pump	15	6.66666666666667	3.81818181818182	control	control	15	grey	0	0	NA	NA
88.591	0.592	5	14	pump	15	7.66666666666667	4.81818181818182	control	control	15	grey	0	0	NA	NA
90.257	0.491	5	15	pump	15	8.66666666666667	5.81818181818182	control	control	15	grey	0	0	NA	NA
97.574	0.605	6	1	pump	7	-5.33333333333333	-4.27272727272727	exponential	cashout	12	red	0.01	0.6	NA	NA
99.724	0.544	6	2	pump	7	-4.33333333333333	-3.27272727272727	exponential	cashout	12	red	0.0428709385014517	0.6	NA	NA
101.907	0.596	6	3	pump	7	-3.33333333333333	-2.27272727272727	exponential	cashout	12	red	0.100451085663051	0.6	NA	NA
104.068	0.479	6	4	pump	7	-2.33333333333333	-1.27272727272727	exponential	cashout	12	red	0.183791736799526	0.6	NA	NA
106.007	0.439	6	5	pump	7	-1.33333333333333	-0.272727272727272	exponential	cashout	12	red	0.293654735772005	0.6	NA	NA
107.541	0.722	6	6	pump	7	-0.333333333333333	0.727272727272728	exponential	cashout	12	red	0.430643231586474	0.6	NA	NA
110.257	0.671	6	7	pump	7	0.666666666666667	1.72727272727273	exponential	cashout	12	red	0.595258881579143	0.6	NA	NA
112.507	1.104	6	8	cashout	7	NA	NA	exponential	cashout	12	red	0.787932424540747	0.6	NA	NA
120.807	0.672	7	1	pump	12	-5.33333333333333	-8.18181818181818	control	control	12	grey	0	0	NA	NA
123.357	0.341	7	2	pump	12	-4.33333333333333	-7.18181818181818	control	control	12	grey	0	0	NA	NA
124.941	0.484	7	3	pump	12	-3.33333333333333	-6.18181818181818	control	control	12	grey	0	0	NA	NA
127.291	0.414	7	4	pump	12	-2.33333333333333	-5.18181818181818	control	control	12	grey	0	0	NA	NA
128.976	0.391	7	5	pump	12	-1.33333333333333	-4.18181818181818	control	control	12	grey	0	0	NA	NA
130.592	0.592	7	6	pump	12	-0.333333333333333	-3.18181818181818	control	control	12	grey	0	0	NA	NA
132.542	0.436	7	7	pump	12	0.666666666666667	-2.18181818181818	control	control	12	grey	0	0	NA	NA
134.441	0.381	7	8	pump	12	1.66666666666667	-1.18181818181818	control	control	12	grey	0	0	NA	NA
136.141	0.413	7	9	pump	12	2.66666666666667	-0.181818181818182	control	control	12	grey	0	0	NA	NA
137.674	0.608	7	10	pump	12	3.66666666666667	0.818181818181818	control	control	12	grey	0	0	NA	NA
140.024	0.364	7	11	pump	12	4.66666666666667	1.81818181818182	control	control	12	grey	0	0	NA	NA
141.874	0.485	7	12	pump	12	5.66666666666667	2.81818181818182	control	control	12	grey	0	0	NA	NA
