onset	duration	trial	trial_id	choice	choice_bin	magnitude_sooner	delay_sooner	magnitude_later	delay_later	onset_choice_fb	duration_choice_fb
14.17	2.122	1	61	SS	1	18.24	2	20.97	6	16.32	1.5
25.47	1.65	2	25	SS	1	9.89	0	9.99	4	27.153	1.5
31.689	1.918	3	38	LL	2	32.44	2	40.55	4	33.621	1.5
38.67	2.519	4	54	SS	1	14.88	2	18.61	6	41.203	1.5
45.37	3.08	5	23	LL	2	6.11	0	8.25	4	48.47	1.5
52.353	1.999	6	7	LL	2	19.45	0	26.26	2	54.37	1.5
58.053	2.628	7	70	LL	2	25.9	4	32.37	6	60.703	1.5
66.82	1.971	8	3	SS	1	10.51	0	11.04	2	68.82	1.5
73.803	1.447	9	75	SS	1	20.18	4	21.19	6	75.287	1.5
81.805	2.622	10	79	SS	1	14.58	4	19.68	6	84.454	1.5
89.57	2.117	11	78	SS	1	18.61	4	23.27	6	91.703	1.5
95.003	3.287	12	62	SS	1	25.3	2	31.63	6	98.32	1.5
101.037	2.339	13	72	LL	2	29.27	4	43.91	6	103.403	1.5
107.837	1.554	14	56	LL	2	26.96	2	40.44	6	109.42	1.5
115.403	1.754	15	71	SS	1	10.98	4	14.83	6	117.187	1.5
121.97	2.064	16	26	SS	1	38.48	0	39.63	4	124.07	1.5
131.687	2.668	17	45	SS	1	36.8	2	42.32	4	134.37	1.5
140.103	2.23	18	8	LL	2	14.49	0	21.74	2	142.353	1.5
150.953	2.721	19	47	LL	2	20.07	2	27.1	4	153.703	1.5
164.287	1.916	20	60	SS	1	6.45	2	7.1	6	166.237	1.5
170.087	1.659	21	59	SS	1	11.17	2	11.73	6	171.77	1.5
180.472	1.879	22	46	LL	2	30.77	2	38.46	4	182.371	1.5
185.02	1.909	23	18	SS	1	5.78	0	5.95	4	186.953	1.5
194.537	2.565	24	48	LL	2	22.77	2	34.16	4	197.12	1.5
202.787	1.857	25	57	SS	1	28.25	2	28.53	6	204.67	1.5
209.903	1.789	26	43	LL	2	24.99	2	26.24	4	211.72	1.5
220.82	1.595	27	49	SS	1	23.7	2	23.94	6	222.453	1.5
231.304	2.059	28	5	SS	1	32.79	0	37.71	2	233.387	1.5
239.42	1.516	29	67	SS	1	6.26	4	6.57	6	240.953	1.5
245.97	1.632	30	29	LL	2	32.7	0	37.6	4	247.62	1.5
252.153	1.613	31	33	SS	1	25.56	2	25.82	4	253.787	1.5
258.153	1.846	32	31	LL	2	23.44	0	31.64	4	260.02	1.5
263.237	1.806	33	9	SS	1	22.32	0	22.54	2	265.07	1.5
269.008	2.003	34	10	SS	1	21.66	0	22.31	2	271.037	1.5
275.637	3.355	35	22	LL	2	18.4	0	23	4	279.02	1.5
282.57	2.083	36	19	SS	1	28.48	0	29.91	4	284.67	1.5
290.101	1.768	37	64	LL	2	26.95	2	40.42	6	291.887	1.5
303.153	2.029	38	17	SS	1	22.32	0	22.55	4	305.203	1.5
310.52	2.723	39	52	SS	1	30.66	2	33.73	6	313.27	1.5
318.62	1.908	40	73	SS	1	9.59	4	9.68	6	320.554	1.5
324.037	2.006	41	4	SS	1	13.42	0	14.77	2	326.07	1.5
330.088	1.688	42	27	SS	1	22.78	0	23.92	4	331.804	1.5
337.754	1.526	43	32	LL	2	11.53	0	17.29	4	339.304	1.5
349.37	1.973	44	2	SS	1	24.28	0	25	2	351.37	1.5
355.42	3.184	45	51	SS	1	37.85	2	39.74	6	358.637	1.5
371.104	1.74	46	74	SS	1	13.42	4	13.82	6	372.87	1.5
377.404	1.573	47	50	SS	1	20.53	2	21.14	6	379.004	1.5
388.27	1.792	48	69	SS	1	22.62	4	26.01	6	390.087	1.5
401.97	1.758	49	6	SS	1	10.5	0	13.13	2	403.754	1.5
412.504	1.51	50	65	SS	1	13.22	4	13.35	6	414.042	1.5
420.67	1.677	51	34	SS	1	7.42	2	7.64	4	422.387	1.5
427.588	2.834	52	77	SS	1	25.13	4	28.9	6	430.437	1.5
440.554	1.849	53	28	SS	1	6.41	0	7.05	4	442.42	1.5
448.737	2.621	54	76	LL	2	22.92	4	25.21	6	451.387	1.5
455.12	2.01	55	66	SS	1	11.96	4	12.32	6	457.154	1.5
464.504	1.705	56	68	SS	1	25.55	4	28.11	6	466.237	1.5
471.104	2.328	57	41	SS	1	11.65	2	11.77	4	473.47	1.5
479.57	2.345	58	30	LL	2	25.92	0	32.4	4	481.937	1.5
486.17	2.012	59	37	SS	1	17.36	2	19.96	4	488.204	1.5
497.454	2.964	60	12	SS	1	21.96	0	24.16	2	500.437	1.5
506.704	2.245	61	14	LL	2	27.84	0	34.8	2	508.977	1.5
516.17	1.846	62	36	SS	1	18.11	2	19.92	4	518.054	1.5
