onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.06	1.457	1	1	pump	6	-6.82142857142857	-4.5	linear	cashout	8	blue	0.1	0.6	NA	NA
7.293	0.573	1	2	pump	6	-5.82142857142857	-3.5	linear	cashout	8	blue	0.2	0.6	NA	NA
9.71	0.551	1	3	pump	6	-4.82142857142857	-2.5	linear	cashout	8	blue	0.3	0.6	NA	NA
11.576	0.7	1	4	pump	6	-3.82142857142857	-1.5	linear	cashout	8	blue	0.4	0.6	NA	NA
13.651	0.607	1	5	pump	6	-2.82142857142857	-0.5	linear	cashout	8	blue	0.5	0.6	NA	NA
15.876	0.517	1	6	pump	6	-1.82142857142857	0.5	linear	cashout	8	blue	0.6	0.6	NA	NA
17.476	0.567	1	7	cashout	6	NA	NA	linear	cashout	8	blue	0.7	0.6	NA	NA
30.926	0.862	2	1	pump	16	-6.82142857142857	-9.77777777777778	control	control	16	grey	0	0	NA	NA
33.51	0.331	2	2	pump	16	-5.82142857142857	-8.77777777777778	control	control	16	grey	0	0	NA	NA
35.676	0.361	2	3	pump	16	-4.82142857142857	-7.77777777777778	control	control	16	grey	0	0	NA	NA
37.376	0.327	2	4	pump	16	-3.82142857142857	-6.77777777777778	control	control	16	grey	0	0	NA	NA
39.576	0.351	2	5	pump	16	-2.82142857142857	-5.77777777777778	control	control	16	grey	0	0	NA	NA
41.31	0.409	2	6	pump	16	-1.82142857142857	-4.77777777777778	control	control	16	grey	0	0	NA	NA
43.643	0.508	2	7	pump	16	-0.821428571428571	-3.77777777777778	control	control	16	grey	0	0	NA	NA
45.726	0.374	2	8	pump	16	0.178571428571429	-2.77777777777778	control	control	16	grey	0	0	NA	NA
47.51	0.379	2	9	pump	16	1.17857142857143	-1.77777777777778	control	control	16	grey	0	0	NA	NA
49.71	0.453	2	10	pump	16	2.17857142857143	-0.777777777777779	control	control	16	grey	0	0	NA	NA
51.96	0.387	2	11	pump	16	3.17857142857143	0.222222222222221	control	control	16	grey	0	0	NA	NA
53.943	0.328	2	12	pump	16	4.17857142857143	1.22222222222222	control	control	16	grey	0	0	NA	NA
56.16	0.367	2	13	pump	16	5.17857142857143	2.22222222222222	control	control	16	grey	0	0	NA	NA
58.46	0.413	2	14	pump	16	6.17857142857143	3.22222222222222	control	control	16	grey	0	0	NA	NA
60.726	0.416	2	15	pump	16	7.17857142857143	4.22222222222222	control	control	16	grey	0	0	NA	NA
62.643	0.325	2	16	pump	16	8.17857142857143	5.22222222222222	control	control	16	grey	0	0	NA	NA
69.576	0.57	3	1	pump	8	-6.82142857142857	-6.44444444444444	exponential	cashout	12	red	0.01	0.79	NA	NA
71.526	0.645	3	2	pump	8	-5.82142857142857	-5.44444444444444	exponential	cashout	12	red	0.0428709385014517	0.79	NA	NA
73.326	0.407	3	3	pump	8	-4.82142857142857	-4.44444444444444	exponential	cashout	12	red	0.100451085663051	0.79	NA	NA
74.91	0.515	3	4	pump	8	-3.82142857142857	-3.44444444444444	exponential	cashout	12	red	0.183791736799526	0.79	NA	NA
76.843	0.517	3	5	pump	8	-2.82142857142857	-2.44444444444444	exponential	cashout	12	red	0.293654735772005	0.79	NA	NA
79.378	0.382	3	6	pump	8	-1.82142857142857	-1.44444444444444	exponential	cashout	12	red	0.430643231586474	0.79	NA	NA
81.794	0.509	3	7	pump	8	-0.821428571428571	-0.444444444444445	exponential	cashout	12	red	0.595258881579143	0.79	NA	NA
83.927	0.377	3	8	pump	8	0.178571428571429	0.555555555555555	exponential	cashout	12	red	0.787932424540747	0.79	NA	NA
85.426	0.536	3	9	cashout	8	NA	NA	exponential	cashout	12	red	1.00904206108857	0.79	NA	NA
92.026	0.471	4	1	pump	1	NA	NA	linear	explosion	1	blue	0.1	0	93.99	2
97.726	0.633	5	1	pump	3	-6.82142857142857	-9.77777777777778	control	control	3	grey	0	0	NA	NA
100.06	0.446	5	2	pump	3	-5.82142857142857	-8.77777777777778	control	control	3	grey	0	0	NA	NA
101.676	0.555	5	3	pump	3	-4.82142857142857	-7.77777777777778	control	control	3	grey	0	0	NA	NA
105.726	0.561	6	1	pump	9	-6.82142857142857	-6.44444444444444	exponential	cashout	10	red	0.01	1.01	NA	NA
107.943	0.439	6	2	pump	9	-5.82142857142857	-5.44444444444444	exponential	cashout	10	red	0.0428709385014517	1.01	NA	NA
110.376	0.433	6	3	pump	9	-4.82142857142857	-4.44444444444444	exponential	cashout	10	red	0.100451085663051	1.01	NA	NA
112.376	0.379	6	4	pump	9	-3.82142857142857	-3.44444444444444	exponential	cashout	10	red	0.183791736799526	1.01	NA	NA
114.226	0.377	6	5	pump	9	-2.82142857142857	-2.44444444444444	exponential	cashout	10	red	0.293654735772005	1.01	NA	NA
115.76	0.471	6	6	pump	9	-1.82142857142857	-1.44444444444444	exponential	cashout	10	red	0.430643231586474	1.01	NA	NA
118.11	0.712	6	7	pump	9	-0.821428571428571	-0.444444444444445	exponential	cashout	10	red	0.595258881579143	1.01	NA	NA
120.193	0.39	6	8	pump	9	0.178571428571429	0.555555555555555	exponential	cashout	10	red	0.787932424540747	1.01	NA	NA
122.61	0.474	6	9	pump	9	1.17857142857143	1.55555555555556	exponential	cashout	10	red	1.00904206108857	1.01	NA	NA
124.676	0.718	6	10	cashout	9	NA	NA	exponential	cashout	10	red	1.25892541179417	1.01	NA	NA
129.861	0.757	7	1	pump	9	-6.82142857142857	-9.77777777777778	control	control	9	grey	0	0	NA	NA
