onset	duration	trial	trial_id	choice	choice_bin	magnitude_sooner	delay_sooner	magnitude_later	delay_later	onset_choice_fb	duration_choice_fb
15.279	1.797	1	28	SS	1	6.41	0	7.05	4	17.113	1.5
27.813	2.497	2	5	SS	1	32.79	0	37.71	2	30.346	1.5
41.529	2.776	3	57	SS	1	28.25	2	28.53	6	44.329	1.5
48.079	2.041	4	51	SS	1	37.85	2	39.74	6	50.146	1.5
61.663	3.616	5	69	SS	1	22.62	4	26.01	6	65.313	1.5
73.529	3.223	6	44	SS	1	22.39	2	24.62	4	76.779	1.5
83.631	3.922	7	8	LL	2	14.49	0	21.74	2	87.579	1.5
93.479	2.371	8	21	SS	1	19.12	0	21.99	4	95.879	1.5
100.379	3.226	9	49	SS	1	23.7	2	23.94	6	103.629	1.5
114.92	1.992	10	43	SS	1	24.99	2	26.24	4	116.946	1.5
122.446	4.396	11	47	SS	1	20.07	2	27.1	4	126.879	1.49999999999999
132.148	1.324	12	18	SS	1	5.78	0	5.95	4	133.497	1.5
136.546	1.967	13	22	SS	1	18.4	0	23	4	138.529	1.5
149.546	3.546	14	63	SS	1	25.61	2	34.57	6	153.113	1.5
160.313	1.685	15	37	SS	1	17.36	2	19.96	4	162.029	1.5
167.013	2.536	16	72	LL	2	29.27	4	43.91	6	169.579	1.5
178.979	1.503	17	29	SS	1	32.7	0	37.6	4	180.498	1.5
184.946	1.404	18	26	SS	1	38.48	0	39.63	4	186.363	1.5
190.629	3.268	19	70	SS	1	25.9	4	32.37	6	193.913	1.5
201.696	3.576	20	80	LL	2	9.39	4	14.08	6	205.296	1.5
210.529	1.497	21	42	SS	1	9.5	2	9.79	4	212.054	1.5
218.229	3.952	22	38	SS	1	32.44	2	40.55	4	222.213	1.5
228.863	2.718	23	7	SS	1	19.45	0	26.26	2	231.597	1.5
238.113	1.27	24	25	SS	1	9.89	0	9.99	4	239.396	1.5
249.546	1.375	25	20	SS	1	30.4	0	33.44	4	250.946	1.5
256.88	1.386	26	68	SS	1	25.55	4	28.11	6	258.296	1.5
262.496	1.496	27	58	SS	1	12.69	2	13.07	6	264.02	1.5
267.88	1.332	28	19	SS	1	28.48	0	29.91	4	269.246	1.5
275.246	1.366	29	65	SS	1	13.22	4	13.35	6	276.646	1.5
279.781	1.619	30	33	SS	1	25.56	2	25.82	4	281.414	1.5
286.03	2.003	31	15	SS	1	16.47	0	22.24	2	288.062	1.5
299.78	1.335	32	34	SS	1	7.42	2	7.64	4	301.146	1.5
304.73	1.825	33	45	SS	1	36.8	2	42.32	4	306.58	1.5
310.98	1.558	34	2	SS	1	24.28	0	25	2	312.563	1.5
316.463	2.161	35	62	SS	1	25.3	2	31.63	6	318.663	1.5
326.113	1.656	36	30	SS	1	25.92	0	32.4	4	327.798	1.5
335.53	1.541	37	4	SS	1	13.42	0	14.77	2	337.096	1.5
340.696	2.092	38	27	SS	1	22.78	0	23.92	4	342.813	1.5
349.063	2.619	39	56	LL	2	26.96	2	40.44	6	351.713	1.5
354.896	2.407	40	55	SS	1	29.45	2	39.75	6	357.33	1.5
363.48	1.53	41	23	SS	1	6.11	0	8.25	4	365.046	1.5
370.83	1.638	42	60	SS	1	6.45	2	7.1	6	372.496	1.5
377.813	1.71	43	46	SS	1	30.77	2	38.46	4	379.547	1.5
387.23	1.728	44	61	SS	1	18.24	2	20.97	6	388.98	1.5
392.713	1.587	45	12	SS	1	21.96	0	24.16	2	394.33	1.5
398.863	1.31	46	13	SS	1	16.21	0	18.64	2	400.196	1.5
403.83	1.352	47	35	SS	1	20.14	2	21.15	4	405.213	1.5
409.746	1.417	48	75	SS	1	20.18	4	21.19	6	411.196	1.5
421.013	3.146	49	71	SS	1	10.98	4	14.83	6	424.196	1.5
430.347	1.937	50	74	SS	1	13.42	4	13.82	6	432.296	1.5
439.946	1.614	51	6	SS	1	10.5	0	13.13	2	441.58	1.5
444.246	2.114	52	24	SS	1	11.37	0	17.06	4	446.38	1.5
457.63	3.051	53	39	SS	1	14.56	2	19.66	4	460.713	1.5
466.696	4.025	54	78	SS	1	18.61	4	23.27	6	470.746	1.5
480.13	1.564	55	36	SS	1	18.11	2	19.92	4	481.713	1.5
484.313	2.128	56	32	SS	1	11.53	0	17.29	4	486.463	1.5
493.246	1.548	57	76	SS	1	22.92	4	25.21	6	494.813	1.5
501.413	1.418	58	17	SS	1	22.32	0	22.55	4	502.863	1.5
505.788	4.168	59	40	LL	2	12.44	2	18.66	4	509.98	1.5
519.58	1.214	60	67	SS	1	6.26	4	6.57	6	520.83	1.5
528.563	1.403	61	3	SS	1	10.51	0	11.04	2	529.98	1.5
535.43	3.78	62	14	SS	1	27.84	0	34.8	2	539.23	1.5
543.23	1.299	63	66	SS	1	11.96	4	12.32	6	544.546	1.5
552.83	4.006	64	31	SS	1	23.44	0	31.64	4	556.863	1.5
562.863	1.427	65	11	SS	1	24.85	0	26.09	2	564.318	1.5
571.096	3.741	66	53	SS	1	35.19	2	40.46	6	574.864	1.5
580.18	1.235	67	50	SS	1	20.53	2	21.14	6	581.43	1.5
587.63	1.554	68	10	SS	1	21.66	0	22.31	2	589.213	1.5
597.313	1.255	69	9	SS	1	22.32	0	22.54	2	598.596	1.5
602.08	2.848	70	64	LL	2	26.95	2	40.42	6	604.963	1.5
613.046	1.279	71	59	SS	1	11.17	2	11.73	6	614.363	1.5
625.98	1.556	72	77	SS	1	25.13	4	28.9	6	627.563	1.5
632.728	2.016	73	1	SS	1	37.69	0	38.07	2	634.763	1.5
642.346	1.779	74	41	SS	1	11.65	2	11.77	4	644.146	1.5
654.613	2.582	75	73	SS	1	9.59	4	9.68	6	657.23	1.5
662.313	3.105	76	48	LL	2	22.77	2	34.16	4	665.447	1.5
671.199	3.026	77	54	SS	1	14.88	2	18.61	6	674.248	1.5
677.313	3.787	78	16	LL	2	19.29	0	28.94	2	681.129	1.5
684.23	4.691	79	79	SS	1	14.58	4	19.68	6	688.947	1.5
692.097	1.839	80	52	SS	1	30.66	2	33.73	6	693.963	1.5
