onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.064	0.763	1	1	pump	10	-6.1	-7.6	control	control	10	grey	0	0	NA	NA
6.63	0.523	1	2	pump	10	-5.1	-6.6	control	control	10	grey	0	0	NA	NA
8.664	0.334	1	3	pump	10	-4.1	-5.6	control	control	10	grey	0	0	NA	NA
10.864	0.34	1	4	pump	10	-3.1	-4.6	control	control	10	grey	0	0	NA	NA
12.664	0.258	1	5	pump	10	-2.1	-3.6	control	control	10	grey	0	0	NA	NA
14.38	0.299	1	6	pump	10	-1.1	-2.6	control	control	10	grey	0	0	NA	NA
15.947	0.291	1	7	pump	10	-0.0999999999999996	-1.6	control	control	10	grey	0	0	NA	NA
18.286	0.412	1	8	pump	10	0.9	-0.6	control	control	10	grey	0	0	NA	NA
20.53	0.398	1	9	pump	10	1.9	0.4	control	control	10	grey	0	0	NA	NA
22.964	0.451	1	10	pump	10	2.9	1.4	control	control	10	grey	0	0	NA	NA
28.98	0.737	2	1	pump	8	-6.1	-5.8	exponential	cashout	16	red	0.01	0.79	NA	NA
30.781	0.395	2	2	pump	8	-5.1	-4.8	exponential	cashout	16	red	0.0428709385014517	0.79	NA	NA
32.781	0.967	2	3	pump	8	-4.1	-3.8	exponential	cashout	16	red	0.100451085663051	0.79	NA	NA
34.814	0.522	2	4	pump	8	-3.1	-2.8	exponential	cashout	16	red	0.183791736799526	0.79	NA	NA
36.764	0.374	2	5	pump	8	-2.1	-1.8	exponential	cashout	16	red	0.293654735772005	0.79	NA	NA
38.58	0.485	2	6	pump	8	-1.1	-0.8	exponential	cashout	16	red	0.430643231586474	0.79	NA	NA
40.414	0.388	2	7	pump	8	-0.0999999999999996	0.2	exponential	cashout	16	red	0.595258881579143	0.79	NA	NA
42.13	0.477	2	8	pump	8	0.9	1.2	exponential	cashout	16	red	0.787932424540747	0.79	NA	NA
44.664	0.685	2	9	cashout	8	NA	NA	exponential	cashout	16	red	1.00904206108857	0.79	NA	NA
52.43	0.511	3	1	pump	4	-6.1	-4.9	linear	explosion	4	blue	0.1	0	NA	NA
54.38	0.423	3	2	pump	4	-5.1	-3.9	linear	explosion	4	blue	0.2	0	NA	NA
56.447	0.494	3	3	pump	4	-4.1	-2.9	linear	explosion	4	blue	0.3	0	NA	NA
58.372	0.368	3	4	pump	4	NA	NA	linear	explosion	4	blue	0.4	0	59.847	2
