onset	duration	trial	trial_id	choice	choice_bin	magnitude_sooner	delay_sooner	magnitude_later	delay_later	onset_choice_fb	duration_choice_fb
13.31	1.962	1	73	SS	1	9.59	4	9.68	6	15.31	1.5
19.293	1.925	2	57	SS	1	28.25	2	28.53	6	21.246	1.5
25.311	2.086	3	72	LL	2	29.27	4	43.91	6	27.41	1.5
37.26	2.916	4	43	SS	1	24.99	2	26.24	4	40.193	1.5
51.26	2.004	5	49	SS	1	23.7	2	23.94	6	53.293	1.5
60.01	1.541	6	61	SS	1	18.24	2	20.97	6	61.576	1.5
67.277	2.652	7	24	SS	1	11.37	0	17.06	4	69.96	1.5
74.144	1.518	8	36	SS	1	18.11	2	19.92	4	75.677	1.5
78.243	2.12	9	23	SS	1	6.11	0	8.25	4	80.377	1.5
84.927	1.337	10	76	SS	1	22.92	4	25.21	6	86.293	1.5
90.743	1.152	11	63	LL	2	25.61	2	34.57	6	91.927	1.5
100.643	1.176	12	6	SS	1	10.5	0	13.13	2	101.843	1.5
105.443	3.724	13	15	SS	1	16.47	0	22.24	2	109.193	1.5
115.827	1.204	14	3	SS	1	10.51	0	11.04	2	117.06	1.5
120.627	2.232	15	29	SS	1	32.7	0	37.6	4	122.878	1.5
134.058	2.716	16	45	SS	1	36.8	2	42.32	4	136.793	1.5
141.21	1.282	17	51	SS	1	37.85	2	39.74	6	142.51	1.5
150.36	1.379	18	27	SS	1	22.78	0	23.92	4	151.76	1.5
155.193	2.849	19	7	SS	1	19.45	0	26.26	2	158.077	1.5
162.21	1.18	20	14	LL	2	27.84	0	34.8	2	163.427	1.5
169.927	1.601	21	9	SS	1	22.32	0	22.54	2	171.545	1.5
176.26	1.415	22	25	SS	1	9.89	0	9.99	4	177.693	1.5
184.227	1.556	23	46	LL	2	30.77	2	38.46	4	185.81	1.5
190.927	1.524	24	79	SS	1	14.58	4	19.68	6	192.477	1.5
197.443	1.18	25	34	SS	1	7.42	2	7.64	4	198.643	1.5
206.083	2.641	26	67	SS	1	6.26	4	6.57	6	208.76	1.5
