onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.064	3.868	1	1	pump	15	-5.43333333333333	-8.2	control	control	15	grey	0	0	NA	NA
9.614	1.504	1	2	pump	15	-4.43333333333333	-7.2	control	control	15	grey	0	0	NA	NA
12.614	0.902	1	3	pump	15	-3.43333333333333	-6.2	control	control	15	grey	0	0	NA	NA
15.097	0.592	1	4	pump	15	-2.43333333333333	-5.2	control	control	15	grey	0	0	NA	NA
16.814	0.809	1	5	pump	15	-1.43333333333333	-4.2	control	control	15	grey	0	0	NA	NA
19.297	0.56	1	6	pump	15	-0.433333333333334	-3.2	control	control	15	grey	0	0	NA	NA
21.614	0.707	1	7	pump	15	0.566666666666666	-2.2	control	control	15	grey	0	0	NA	NA
23.914	0.605	1	8	pump	15	1.56666666666667	-1.2	control	control	15	grey	0	0	NA	NA
26.002	0.562	1	9	pump	15	2.56666666666667	-0.199999999999999	control	control	15	grey	0	0	NA	NA
27.881	0.481	1	10	pump	15	3.56666666666667	0.800000000000001	control	control	15	grey	0	0	NA	NA
29.481	0.724	1	11	pump	15	4.56666666666667	1.8	control	control	15	grey	0	0	NA	NA
31.714	0.77	1	12	pump	15	5.56666666666667	2.8	control	control	15	grey	0	0	NA	NA
33.782	0.425	1	13	pump	15	6.56666666666667	3.8	control	control	15	grey	0	0	NA	NA
36.232	0.566	1	14	pump	15	7.56666666666667	4.8	control	control	15	grey	0	0	NA	NA
38.298	0.554	1	15	pump	15	8.56666666666667	5.8	control	control	15	grey	0	0	NA	NA
45.495	0.968	2	1	pump	8	-5.43333333333333	-3.3	exponential	cashout	9	blue	0.01	0.79	NA	NA
48.264	0.557	2	2	pump	8	-4.43333333333333	-2.3	exponential	cashout	9	blue	0.0428709385014517	0.79	NA	NA
50.014	0.494	2	3	pump	8	-3.43333333333333	-1.3	exponential	cashout	9	blue	0.100451085663051	0.79	NA	NA
52.131	0.867	2	4	pump	8	-2.43333333333333	-0.3	exponential	cashout	9	blue	0.183791736799526	0.79	NA	NA
54.214	0.401	2	5	pump	8	-1.43333333333333	0.7	exponential	cashout	9	blue	0.293654735772005	0.79	NA	NA
56.047	0.412	2	6	pump	8	-0.433333333333334	1.7	exponential	cashout	9	blue	0.430643231586474	0.79	NA	NA
58.481	0.518	2	7	pump	8	0.566666666666666	2.7	exponential	cashout	9	blue	0.595258881579143	0.79	NA	NA
60.981	0.699	2	8	pump	8	1.56666666666667	3.7	exponential	cashout	9	blue	0.787932424540747	0.79	NA	NA
62.881	0.821	2	9	cashout	8	NA	NA	exponential	cashout	9	blue	1.00904206108857	0.79	NA	NA
68.081	0.687	3	1	pump	4	-5.43333333333333	-4.8	linear	explosion	4	red	0.1	0	NA	NA
70.703	0.448	3	2	pump	4	-4.43333333333333	-3.8	linear	explosion	4	red	0.2	0	NA	NA
72.714	0.614	3	3	pump	4	-3.43333333333333	-2.8	linear	explosion	4	red	0.3	0	NA	NA
75.264	0.378	3	4	pump	4	NA	NA	linear	explosion	4	red	0.4	0	77.051	2
81.983	1.037	4	1	pump	1	-5.43333333333333	-8.2	control	control	1	grey	0	0	NA	NA
89.064	0.996	5	1	pump	5	-5.43333333333333	-4.8	linear	cashout	13	red	0.1	0.5	NA	NA
91.964	0.354	5	2	pump	5	-4.43333333333333	-3.8	linear	cashout	13	red	0.2	0.5	NA	NA
93.697	0.494	5	3	pump	5	-3.43333333333333	-2.8	linear	cashout	13	red	0.3	0.5	NA	NA
96.014	0.583	5	4	pump	5	-2.43333333333333	-1.8	linear	cashout	13	red	0.4	0.5	NA	NA
98.097	0.553	5	5	pump	5	-1.43333333333333	-0.8	linear	cashout	13	red	0.5	0.5	NA	NA
100.447	1.1	5	6	cashout	5	NA	NA	linear	cashout	13	red	0.6	0.5	NA	NA
109.364	0.614	6	1	pump	9	-5.43333333333333	-3.3	exponential	explosion	9	blue	0.01	0	NA	NA
111.881	0.618	6	2	pump	9	-4.43333333333333	-2.3	exponential	explosion	9	blue	0.0428709385014517	0	NA	NA
114.181	0.361	6	3	pump	9	-3.43333333333333	-1.3	exponential	explosion	9	blue	0.100451085663051	0	NA	NA
115.797	0.406	6	4	pump	9	-2.43333333333333	-0.3	exponential	explosion	9	blue	0.183791736799526	0	NA	NA
117.764	0.5	6	5	pump	9	-1.43333333333333	0.7	exponential	explosion	9	blue	0.293654735772005	0	NA	NA
119.497	0.809	6	6	pump	9	-0.433333333333334	1.7	exponential	explosion	9	blue	0.430643231586474	0	NA	NA
121.531	0.601	6	7	pump	9	0.566666666666666	2.7	exponential	explosion	9	blue	0.595258881579143	0	NA	NA
123.447	0.386	6	8	pump	9	1.56666666666667	3.7	exponential	explosion	9	blue	0.787932424540747	0	NA	NA
125.831	0.46	6	9	pump	9	NA	NA	exponential	explosion	9	blue	1.00904206108857	0	127.981	2
134.149	1.173	7	1	pump	14	-5.43333333333333	-8.2	control	control	14	grey	0	0	NA	NA
137.064	0.344	7	2	pump	14	-4.43333333333333	-7.2	control	control	14	grey	0	0	NA	NA
