onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.057	0.618	1	1	pump	5	-7.07407407407407	-4.66666666666667	linear	cashout	12	red	0.1	0.5	NA	NA
6.441	3.54	1	2	pump	5	-6.07407407407407	-3.66666666666667	linear	cashout	12	red	0.2	0.5	NA	NA
11.924	1.744	1	3	pump	5	-5.07407407407407	-2.66666666666667	linear	cashout	12	red	0.3	0.5	NA	NA
14.874	2.408	1	4	pump	5	-4.07407407407407	-1.66666666666667	linear	cashout	12	red	0.4	0.5	NA	NA
19.174	0.73	1	5	pump	5	-3.07407407407407	-0.666666666666667	linear	cashout	12	red	0.5	0.5	NA	NA
21.407	0.653	1	6	cashout	5	NA	NA	linear	cashout	12	red	0.6	0.5	NA	NA
28.726	0.706	2	1	pump	7	-7.07407407407407	-5.77777777777778	exponential	cashout	12	blue	0.01	0.6	NA	NA
31.359	0.665	2	2	pump	7	-6.07407407407407	-4.77777777777778	exponential	cashout	12	blue	0.0428709385014517	0.6	NA	NA
33.841	0.645	2	3	pump	7	-5.07407407407407	-3.77777777777778	exponential	cashout	12	blue	0.100451085663051	0.6	NA	NA
35.941	0.605	2	4	pump	7	-4.07407407407407	-2.77777777777778	exponential	cashout	12	blue	0.183791736799526	0.6	NA	NA
38.274	0.499	2	5	pump	7	-3.07407407407407	-1.77777777777778	exponential	cashout	12	blue	0.293654735772005	0.6	NA	NA
40.307	0.596	2	6	pump	7	-2.07407407407407	-0.777777777777778	exponential	cashout	12	blue	0.430643231586474	0.6	NA	NA
42.774	0.95	2	7	pump	7	-1.07407407407407	0.222222222222222	exponential	cashout	12	blue	0.595258881579143	0.6	NA	NA
44.974	0.7	2	8	cashout	7	NA	NA	exponential	cashout	12	blue	0.787932424540747	0.6	NA	NA
52.207	1.265	3	1	pump	9	-7.07407407407407	-10.7777777777778	control	control	9	grey	0	0	NA	NA
55.241	0.399	3	2	pump	9	-6.07407407407407	-9.77777777777778	control	control	9	grey	0	0	NA	NA
57.124	0.416	3	3	pump	9	-5.07407407407407	-8.77777777777778	control	control	9	grey	0	0	NA	NA
58.966	0.395	3	4	pump	9	-4.07407407407407	-7.77777777777778	control	control	9	grey	0	0	NA	NA
61.407	0.403	3	5	pump	9	-3.07407407407407	-6.77777777777778	control	control	9	grey	0	0	NA	NA
63.324	0.461	3	6	pump	9	-2.07407407407407	-5.77777777777778	control	control	9	grey	0	0	NA	NA
65.091	0.423	3	7	pump	9	-1.07407407407407	-4.77777777777778	control	control	9	grey	0	0	NA	NA
66.807	0.472	3	8	pump	9	-0.0740740740740744	-3.77777777777778	control	control	9	grey	0	0	NA	NA
69.057	0.491	3	9	pump	9	0.925925925925926	-2.77777777777778	control	control	9	grey	0	0	NA	NA
73.307	1.25	4	1	pump	16	-7.07407407407407	-10.7777777777778	control	control	16	grey	0	0	NA	NA
76.157	0.477	4	2	pump	16	-6.07407407407407	-9.77777777777778	control	control	16	grey	0	0	NA	NA
78.059	0.465	4	3	pump	16	-5.07407407407407	-8.77777777777778	control	control	16	grey	0	0	NA	NA
79.792	0.475	4	4	pump	16	-4.07407407407407	-7.77777777777778	control	control	16	grey	0	0	NA	NA
82.191	0.459	4	5	pump	16	-3.07407407407407	-6.77777777777778	control	control	16	grey	0	0	NA	NA
84.624	0.541	4	6	pump	16	-2.07407407407407	-5.77777777777778	control	control	16	grey	0	0	NA	NA
86.574	0.425	4	7	pump	16	-1.07407407407407	-4.77777777777778	control	control	16	grey	0	0	NA	NA
88.873	0.368	4	8	pump	16	-0.0740740740740744	-3.77777777777778	control	control	16	grey	0	0	NA	NA
90.991	0.357	4	9	pump	16	0.925925925925926	-2.77777777777778	control	control	16	grey	0	0	NA	NA
92.691	0.446	4	10	pump	16	1.92592592592593	-1.77777777777778	control	control	16	grey	0	0	NA	NA
95.191	0.396	4	11	pump	16	2.92592592592593	-0.777777777777779	control	control	16	grey	0	0	NA	NA
96.941	0.468	4	12	pump	16	3.92592592592593	0.222222222222221	control	control	16	grey	0	0	NA	NA
98.669	0.477	4	13	pump	16	4.92592592592593	1.22222222222222	control	control	16	grey	0	0	NA	NA
100.224	0.421	4	14	pump	16	5.92592592592593	2.22222222222222	control	control	16	grey	0	0	NA	NA
102.524	0.48	4	15	pump	16	6.92592592592593	3.22222222222222	control	control	16	grey	0	0	NA	NA
104.508	0.482	4	16	pump	16	7.92592592592593	4.22222222222222	control	control	16	grey	0	0	NA	NA
111.958	0.528	5	1	pump	2	-7.07407407407407	-4.66666666666667	linear	explosion	2	red	0.1	0	NA	NA
114.091	0.577	5	2	pump	2	NA	NA	linear	explosion	2	red	0.2	0	116.024	2
123.258	0.58	6	1	pump	11	-7.07407407407407	-5.77777777777778	exponential	cashout	12	blue	0.01	1.54	NA	NA
125.691	0.396	6	2	pump	11	-6.07407407407407	-4.77777777777778	exponential	cashout	12	blue	0.0428709385014517	1.54	NA	NA
127.443	0.431	6	3	pump	11	-5.07407407407407	-3.77777777777778	exponential	cashout	12	blue	0.100451085663051	1.54	NA	NA
128.942	0.428	6	4	pump	11	-4.07407407407407	-2.77777777777778	exponential	cashout	12	blue	0.183791736799526	1.54	NA	NA
130.692	0.707	6	5	pump	11	-3.07407407407407	-1.77777777777778	exponential	cashout	12	blue	0.293654735772005	1.54	NA	NA
133.141	0.467	6	6	pump	11	-2.07407407407407	-0.777777777777778	exponential	cashout	12	blue	0.430643231586474	1.54	NA	NA
135.491	0.521	6	7	pump	11	-1.07407407407407	0.222222222222222	exponential	cashout	12	blue	0.595258881579143	1.54	NA	NA
137.808	0.395	6	8	pump	11	-0.0740740740740744	1.22222222222222	exponential	cashout	12	blue	0.787932424540747	1.54	NA	NA
139.524	0.598	6	9	pump	11	0.925925925925926	2.22222222222222	exponential	cashout	12	blue	1.00904206108857	1.54	NA	NA
142.158	0.889	6	10	pump	11	1.92592592592593	3.22222222222222	exponential	cashout	12	blue	1.25892541179417	1.54	NA	NA
144.824	0.473	6	11	pump	11	2.92592592592593	4.22222222222222	exponential	cashout	12	blue	1.53788775440427	1.54	NA	NA
146.741	0.49	6	12	cashout	11	NA	NA	exponential	cashout	12	blue	1.84620794974101	1.54	NA	NA
154.891	0.465	7	1	pump	11	-7.07407407407407	-4.66666666666667	linear	cashout	12	red	0.1	1.1	NA	NA
156.908	0.5	7	2	pump	11	-6.07407407407407	-3.66666666666667	linear	cashout	12	red	0.2	1.1	NA	NA
158.741	0.407	7	3	pump	11	-5.07407407407407	-2.66666666666667	linear	cashout	12	red	0.3	1.1	NA	NA
160.458	0.404	7	4	pump	11	-4.07407407407407	-1.66666666666667	linear	cashout	12	red	0.4	1.1	NA	NA
162.214	0.469	7	5	pump	11	-3.07407407407407	-0.666666666666667	linear	cashout	12	red	0.5	1.1	NA	NA
163.924	0.499	7	6	pump	11	-2.07407407407407	0.333333333333333	linear	cashout	12	red	0.6	1.1	NA	NA
166.458	0.45	7	7	pump	11	-1.07407407407407	1.33333333333333	linear	cashout	12	red	0.7	1.1	NA	NA
168.896	0.355	7	8	pump	11	-0.0740740740740744	2.33333333333333	linear	cashout	12	red	0.8	1.1	NA	NA
170.474	0.484	7	9	pump	11	0.925925925925926	3.33333333333333	linear	cashout	12	red	0.9	1.1	NA	NA
172.258	1.028	7	10	pump	11	1.92592592592593	4.33333333333333	linear	cashout	12	red	1	1.1	NA	NA
174.574	0.837	7	11	pump	11	2.92592592592593	5.33333333333333	linear	cashout	12	red	1.1	1.1	NA	NA
177.059	0.591	7	12	cashout	11	NA	NA	linear	cashout	12	red	1.2	1.1	NA	NA
190.024	0.621	8	1	pump	15	-7.07407407407407	-10.7777777777778	control	control	15	grey	0	0	NA	NA
191.841	0.507	8	2	pump	15	-6.07407407407407	-9.77777777777778	control	control	15	grey	0	0	NA	NA
193.991	0.315	8	3	pump	15	-5.07407407407407	-8.77777777777778	control	control	15	grey	0	0	NA	NA
195.774	0.478	8	4	pump	15	-4.07407407407407	-7.77777777777778	control	control	15	grey	0	0	NA	NA
197.841	0.339	8	5	pump	15	-3.07407407407407	-6.77777777777778	control	control	15	grey	0	0	NA	NA
199.724	0.316	8	6	pump	15	-2.07407407407407	-5.77777777777778	control	control	15	grey	0	0	NA	NA
201.391	0.304	8	7	pump	15	-1.07407407407407	-4.77777777777778	control	control	15	grey	0	0	NA	NA
203.424	0.334	8	8	pump	15	-0.0740740740740744	-3.77777777777778	control	control	15	grey	0	0	NA	NA
205.424	0.331	8	9	pump	15	0.925925925925926	-2.77777777777778	control	control	15	grey	0	0	NA	NA
207.641	0.263	8	10	pump	15	1.92592592592593	-1.77777777777778	control	control	15	grey	0	0	NA	NA
209.574	0.354	8	11	pump	15	2.92592592592593	-0.777777777777779	control	control	15	grey	0	0	NA	NA
211.291	0.408	8	12	pump	15	3.92592592592593	0.222222222222221	control	control	15	grey	0	0	NA	NA
213.358	0.454	8	13	pump	15	4.92592592592593	1.22222222222222	control	control	15	grey	0	0	NA	NA
215.424	0.33	8	14	pump	15	5.92592592592593	2.22222222222222	control	control	15	grey	0	0	NA	NA
217.008	0.387	8	15	pump	15	6.92592592592593	3.22222222222222	control	control	15	grey	0	0	NA	NA
221.108	0.747	9	1	pump	7	-7.07407407407407	-5.77777777777778	exponential	explosion	7	blue	0.01	0	NA	NA
223.458	0.374	9	2	pump	7	-6.07407407407407	-4.77777777777778	exponential	explosion	7	blue	0.0428709385014517	0	NA	NA
224.91	0.411	9	3	pump	7	-5.07407407407407	-3.77777777777778	exponential	explosion	7	blue	0.100451085663051	0	NA	NA
226.376	0.393	9	4	pump	7	-4.07407407407407	-2.77777777777778	exponential	explosion	7	blue	0.183791736799526	0	NA	NA
227.926	0.364	9	5	pump	7	-3.07407407407407	-1.77777777777778	exponential	explosion	7	blue	0.293654735772005	0	NA	NA
229.892	0.417	9	6	pump	7	-2.07407407407407	-0.777777777777778	exponential	explosion	7	blue	0.430643231586474	0	NA	NA
231.558	0.355	9	7	pump	7	NA	NA	exponential	explosion	7	blue	0.595258881579143	0	233.874	2
240.908	0.636	10	1	pump	12	-7.07407407407407	-10.7777777777778	control	control	12	grey	0	0	NA	NA
242.825	0.31	10	2	pump	12	-6.07407407407407	-9.77777777777778	control	control	12	grey	0	0	NA	NA
244.691	0.368	10	3	pump	12	-5.07407407407407	-8.77777777777778	control	control	12	grey	0	0	NA	NA
246.325	0.354	10	4	pump	12	-4.07407407407407	-7.77777777777778	control	control	12	grey	0	0	NA	NA
248.225	0.292	10	5	pump	12	-3.07407407407407	-6.77777777777778	control	control	12	grey	0	0	NA	NA
250.125	0.322	10	6	pump	12	-2.07407407407407	-5.77777777777778	control	control	12	grey	0	0	NA	NA
252.141	0.28	10	7	pump	12	-1.07407407407407	-4.77777777777778	control	control	12	grey	0	0	NA	NA
253.508	0.324	10	8	pump	12	-0.0740740740740744	-3.77777777777778	control	control	12	grey	0	0	NA	NA
255.017	0.307	10	9	pump	12	0.925925925925926	-2.77777777777778	control	control	12	grey	0	0	NA	NA
256.483	0.352	10	10	pump	12	1.92592592592593	-1.77777777777778	control	control	12	grey	0	0	NA	NA
258.741	0.316	10	11	pump	12	2.92592592592593	-0.777777777777779	control	control	12	grey	0	0	NA	NA
260.708	0.318	10	12	pump	12	3.92592592592593	0.222222222222221	control	control	12	grey	0	0	NA	NA
270.341	0.388	11	1	pump	7	-7.07407407407407	-5.77777777777778	exponential	explosion	7	blue	0.01	0	NA	NA
272.375	0.419	11	2	pump	7	-6.07407407407407	-4.77777777777778	exponential	explosion	7	blue	0.0428709385014517	0	NA	NA
274.527	0.508	11	3	pump	7	-5.07407407407407	-3.77777777777778	exponential	explosion	7	blue	0.100451085663051	0	NA	NA
277.076	0.403	11	4	pump	7	-4.07407407407407	-2.77777777777778	exponential	explosion	7	blue	0.183791736799526	0	NA	NA
