onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.058	1.413	1	1	pump	3	-7.25925925925926	-4.44444444444444	exponential	cashout	11	red	0.01	0.1	NA	NA
7.175	0.739	1	2	pump	3	-6.25925925925926	-3.44444444444444	exponential	cashout	11	red	0.0428709385014517	0.1	NA	NA
9.968	0.412	1	3	pump	3	-5.25925925925926	-2.44444444444444	exponential	cashout	11	red	0.100451085663051	0.1	NA	NA
11.725	0.742	1	4	cashout	3	NA	NA	exponential	cashout	11	red	0.183791736799526	0.1	NA	NA
20.475	0.838	2	1	pump	7	-7.25925925925926	-8.88888888888889	control	control	7	grey	0	0	NA	NA
23.341	0.241	2	2	pump	7	-6.25925925925926	-7.88888888888889	control	control	7	grey	0	0	NA	NA
25.563	0.17	2	3	pump	7	-5.25925925925926	-6.88888888888889	control	control	7	grey	0	0	NA	NA
27.058	0.265	2	4	pump	7	-4.25925925925926	-5.88888888888889	control	control	7	grey	0	0	NA	NA
28.975	0.243	2	5	pump	7	-3.25925925925926	-4.88888888888889	control	control	7	grey	0	0	NA	NA
30.475	0.293	2	6	pump	7	-2.25925925925926	-3.88888888888889	control	control	7	grey	0	0	NA	NA
32.308	0.258	2	7	pump	7	-1.25925925925926	-2.88888888888889	control	control	7	grey	0	0	NA	NA
39.108	0.751	3	1	pump	4	-7.25925925925926	-8.44444444444444	linear	explosion	4	blue	0.1	0	NA	NA
41.491	0.293	3	2	pump	4	-6.25925925925926	-7.44444444444444	linear	explosion	4	blue	0.2	0	NA	NA
42.975	0.272	3	3	pump	4	-5.25925925925926	-6.44444444444444	linear	explosion	4	blue	0.3	0	NA	NA
44.742	0.232	3	4	pump	4	NA	NA	linear	explosion	4	blue	0.4	0	46.158	2
57.925	0.767	4	1	pump	4	-7.25925925925926	-4.44444444444444	exponential	cashout	10	red	0.01	0.18	NA	NA
60.242	1.026	4	2	pump	4	-6.25925925925926	-3.44444444444444	exponential	cashout	10	red	0.0428709385014517	0.18	NA	NA
63.275	0.269	4	3	pump	4	-5.25925925925926	-2.44444444444444	exponential	cashout	10	red	0.100451085663051	0.18	NA	NA
65.375	0.358	4	4	pump	4	-4.25925925925926	-1.44444444444444	exponential	cashout	10	red	0.183791736799526	0.18	NA	NA
67.708	0.596	4	5	cashout	4	NA	NA	exponential	cashout	10	red	0.293654735772005	0.18	NA	NA
77.342	0.52	5	1	pump	10	-7.25925925925926	-8.44444444444444	linear	cashout	13	blue	0.1	1	NA	NA
79.558	0.281	5	2	pump	10	-6.25925925925926	-7.44444444444444	linear	cashout	13	blue	0.2	1	NA	NA
81.008	0.319	5	3	pump	10	-5.25925925925926	-6.44444444444444	linear	cashout	13	blue	0.3	1	NA	NA
82.825	0.269	5	4	pump	10	-4.25925925925926	-5.44444444444444	linear	cashout	13	blue	0.4	1	NA	NA
84.793	0.225	5	5	pump	10	-3.25925925925926	-4.44444444444444	linear	cashout	13	blue	0.5	1	NA	NA
86.259	0.243	5	6	pump	10	-2.25925925925926	-3.44444444444444	linear	cashout	13	blue	0.6	1	NA	NA
88.392	0.214	5	7	pump	10	-1.25925925925926	-2.44444444444444	linear	cashout	13	blue	0.7	1	NA	NA
89.908	0.247	5	8	pump	10	-0.25925925925926	-1.44444444444444	linear	cashout	13	blue	0.8	1	NA	NA
92.158	0.268	5	9	pump	10	0.74074074074074	-0.444444444444445	linear	cashout	13	blue	0.9	1	NA	NA
94.358	0.255	5	10	pump	10	1.74074074074074	0.555555555555555	linear	cashout	13	blue	1	1	NA	NA
96.042	0.465	5	11	cashout	10	NA	NA	linear	cashout	13	blue	1.1	1	NA	NA
107.542	0.925	6	1	pump	12	-7.25925925925926	-8.88888888888889	control	control	12	grey	0	0	NA	NA
109.625	0.366	6	2	pump	12	-6.25925925925926	-7.88888888888889	control	control	12	grey	0	0	NA	NA
111.175	0.244	6	3	pump	12	-5.25925925925926	-6.88888888888889	control	control	12	grey	0	0	NA	NA
113.125	0.612	6	4	pump	12	-4.25925925925926	-5.88888888888889	control	control	12	grey	0	0	NA	NA
115.142	0.22	6	5	pump	12	-3.25925925925926	-4.88888888888889	control	control	12	grey	0	0	NA	NA
116.825	0.211	6	6	pump	12	-2.25925925925926	-3.88888888888889	control	control	12	grey	0	0	NA	NA
118.375	0.159	6	7	pump	12	-1.25925925925926	-2.88888888888889	control	control	12	grey	0	0	NA	NA
120.592	0.374	6	8	pump	12	-0.25925925925926	-1.88888888888889	control	control	12	grey	0	0	NA	NA
122.808	0.368	6	9	pump	12	0.74074074074074	-0.888888888888889	control	control	12	grey	0	0	NA	NA
125.242	0.438	6	10	pump	12	1.74074074074074	0.111111111111111	control	control	12	grey	0	0	NA	NA
127.425	0.496	6	11	pump	12	2.74074074074074	1.11111111111111	control	control	12	grey	0	0	NA	NA
129.692	0.448	6	12	pump	12	3.74074074074074	2.11111111111111	control	control	12	grey	0	0	NA	NA
142.142	0.933	7	1	pump	5	-7.25925925925926	-4.44444444444444	exponential	cashout	16	red	0.01	0.29	NA	NA
144.208	0.349	7	2	pump	5	-6.25925925925926	-3.44444444444444	exponential	cashout	16	red	0.0428709385014517	0.29	NA	NA
146.075	0.258	7	3	pump	5	-5.25925925925926	-2.44444444444444	exponential	cashout	16	red	0.100451085663051	0.29	NA	NA
148.025	0.229	7	4	pump	5	-4.25925925925926	-1.44444444444444	exponential	cashout	16	red	0.183791736799526	0.29	NA	NA
149.325	0.301	7	5	pump	5	-3.25925925925926	-0.444444444444445	exponential	cashout	16	red	0.293654735772005	0.29	NA	NA
151.375	0.416	7	6	cashout	5	NA	NA	exponential	cashout	16	red	0.430643231586474	0.29	NA	NA
157.658	0.824	8	1	pump	14	-7.25925925925926	-8.88888888888889	control	control	14	grey	0	0	NA	NA
159.908	0.293	8	2	pump	14	-6.25925925925926	-7.88888888888889	control	control	14	grey	0	0	NA	NA
161.317	0.234	8	3	pump	14	-5.25925925925926	-6.88888888888889	control	control	14	grey	0	0	NA	NA
163.492	0.227	8	4	pump	14	-4.25925925925926	-5.88888888888889	control	control	14	grey	0	0	NA	NA
165.742	0.266	8	5	pump	14	-3.25925925925926	-4.88888888888889	control	control	14	grey	0	0	NA	NA
167.558	0.304	8	6	pump	14	-2.25925925925926	-3.88888888888889	control	control	14	grey	0	0	NA	NA
169.592	0.226	8	7	pump	14	-1.25925925925926	-2.88888888888889	control	control	14	grey	0	0	NA	NA
171.608	0.249	8	8	pump	14	-0.25925925925926	-1.88888888888889	control	control	14	grey	0	0	NA	NA
173.108	0.294	8	9	pump	14	0.74074074074074	-0.888888888888889	control	control	14	grey	0	0	NA	NA
175.192	0.877	8	10	pump	14	1.74074074074074	0.111111111111111	control	control	14	grey	0	0	NA	NA
177.792	0.566	8	11	pump	14	2.74074074074074	1.11111111111111	control	control	14	grey	0	0	NA	NA
180.161	0.412	8	12	pump	14	3.74074074074074	2.11111111111111	control	control	14	grey	0	0	NA	NA
181.643	0.44	8	13	pump	14	4.74074074074074	3.11111111111111	control	control	14	grey	0	0	NA	NA
183.342	0.455	8	14	pump	14	5.74074074074074	4.11111111111111	control	control	14	grey	0	0	NA	NA
187.358	0.762	9	1	pump	12	-7.25925925925926	-8.44444444444444	linear	cashout	16	blue	0.1	1.2	NA	NA
189.758	0.386	9	2	pump	12	-6.25925925925926	-7.44444444444444	linear	cashout	16	blue	0.2	1.2	NA	NA
192.075	0.344	9	3	pump	12	-5.25925925925926	-6.44444444444444	linear	cashout	16	blue	0.3	1.2	NA	NA
193.542	0.349	9	4	pump	12	-4.25925925925926	-5.44444444444444	linear	cashout	16	blue	0.4	1.2	NA	NA
195.425	0.233	9	5	pump	12	-3.25925925925926	-4.44444444444444	linear	cashout	16	blue	0.5	1.2	NA	NA
197.408	0.201	9	6	pump	12	-2.25925925925926	-3.44444444444444	linear	cashout	16	blue	0.6	1.2	NA	NA
198.808	0.285	9	7	pump	12	-1.25925925925926	-2.44444444444444	linear	cashout	16	blue	0.7	1.2	NA	NA
200.392	0.252	9	8	pump	12	-0.25925925925926	-1.44444444444444	linear	cashout	16	blue	0.8	1.2	NA	NA
202.092	0.209	9	9	pump	12	0.74074074074074	-0.444444444444445	linear	cashout	16	blue	0.9	1.2	NA	NA
204.069	0.231	9	10	pump	12	1.74074074074074	0.555555555555555	linear	cashout	16	blue	1	1.2	NA	NA
206.108	0.236	9	11	pump	12	2.74074074074074	1.55555555555556	linear	cashout	16	blue	1.1	1.2	NA	NA
208.192	0.252	9	12	pump	12	3.74074074074074	2.55555555555556	linear	cashout	16	blue	1.2	1.2	NA	NA
210.375	0.518	9	13	cashout	12	NA	NA	linear	cashout	16	blue	1.3	1.2	NA	NA
218.592	0.498	10	1	pump	14	-7.25925925925926	-8.44444444444444	linear	cashout	16	blue	0.1	1.4	NA	NA
