onset	duration	trial	trial_id	choice	choice_bin	magnitude_sooner	delay_sooner	magnitude_later	delay_later	onset_choice_fb	duration_choice_fb
12.875	1.395	1	61	LL	2	18.24	2	20.97	6	14.291	1.5
18.39	1.805	2	26	LL	2	38.48	0	39.63	4	20.222	1.5
27.42	1.773	3	12	LL	2	21.96	0	24.16	2	29.219	1.5
37.033	1.262	4	68	LL	2	25.55	4	28.11	6	38.316	1.5
43.781	1.357	5	74	SS	1	13.42	4	13.82	6	45.164	1.5
56.393	1.303	6	14	LL	2	27.84	0	34.8	2	57.71	1.5
64.424	1.983	7	57	SS	1	28.25	2	28.53	6	66.423	1.5
71.671	1.373	8	23	LL	2	6.11	0	8.25	4	73.071	1.5
78.419	1.288	9	49	SS	1	23.7	2	23.94	6	79.719	1.5
89.649	2.07	10	27	SS	1	22.78	0	23.92	4	91.731	1.5
102.278	1.527	11	42	SS	1	9.5	2	9.79	4	103.827	1.5
108.976	1.135	12	5	LL	2	32.79	0	37.71	2	110.125	1.5
116.606	1.435	13	28	LL	2	6.41	0	7.05	4	118.056	1.5
129.519	1.369	14	70	LL	2	25.9	4	32.37	6	130.901	1.5
140.515	1.329	15	59	SS	1	11.17	2	11.73	6	141.864	1.5
151.295	1.764	16	3	LL	2	10.51	0	11.04	2	153.077	1.5
159.508	1.116	17	77	LL	2	25.13	4	28.9	6	160.641	1.5
166.689	1.505	18	4	LL	2	13.42	0	14.77	2	168.222	1.5
172.904	1.109	19	30	LL	2	25.92	0	32.4	4	174.037	1.5
178.269	1.664	20	13	LL	2	16.21	0	18.64	2	179.952	1.5
190.781	1.356	21	9	SS	1	22.32	0	22.54	2	192.164	1.5
194.763	2.293	22	35	LL	2	20.14	2	21.15	4	197.079	1.5
202.61	2.203	23	58	SS	1	12.69	2	13.07	6	204.826	1.5
210.008	1.544	24	41	SS	1	11.65	2	11.77	4	211.574	1.5
215.19	1.997	25	51	LL	2	37.85	2	39.74	6	217.206	1.5
222.72	1.155	26	64	LL	2	26.95	2	40.42	6	223.887	1.5
230.584	2.615	27	21	LL	2	19.12	0	21.99	4	233.217	1.5
236.949	1.413	28	7	LL	2	19.45	0	26.26	2	238.382	1.5
246.162	1.299	29	78	LL	2	18.61	4	23.27	6	247.479	1.5
254.993	1.288	30	45	LL	2	36.8	2	42.32	4	256.309	1.5
259.575	1.43	31	6	LL	2	10.5	0	13.13	2	261.024	1.5
265.289	1.397	32	17	SS	1	22.32	0	22.55	4	266.705	1.5
270.937	1.369	33	79	LL	2	14.58	4	19.68	6	272.32	1.5
275.952	1.4	34	37	LL	2	17.36	2	19.96	4	277.369	1.5
282.45	1.015	35	56	LL	2	26.96	2	40.44	6	283.483	1.5
291.197	1.661	36	25	SS	1	9.89	0	9.99	4	292.88	1.5
302.877	1.412	37	11	LL	2	24.85	0	26.09	2	304.309	1.5
308.691	1.346	38	52	LL	2	30.66	2	33.73	6	310.057	1.5
314.023	1.325	39	31	LL	2	23.44	0	31.64	4	315.372	1.5
318.138	1.401	40	24	LL	2	11.37	0	17.06	4	319.554	1.5
329.134	2.456	41	66	LL	2	11.96	4	12.32	6	331.617	1.5
336.349	1.361	42	62	LL	2	25.3	2	31.63	6	337.731	1.5
344.063	1.191	43	47	LL	2	20.07	2	27.1	4	345.279	1.5
350.077	1.267	44	29	LL	2	32.7	0	37.6	4	351.36	1.5
355.192	1.035	45	72	LL	2	29.27	4	43.91	6	356.242	1.5
362.706	1.874	46	20	LL	2	30.4	0	33.44	4	364.606	1.5
371.703	1.341	47	55	LL	2	29.45	2	39.75	6	373.069	1.5
379.284	1.499	48	54	LL	2	14.88	2	18.61	6	380.8	1.5
386.848	2.105	49	2	SS	1	24.28	0	25	2	388.964	1.5
396.362	1.44	50	15	LL	2	16.47	0	22.24	2	397.828	1.5
403.193	2.292	51	75	LL	2	20.18	4	21.19	6	405.508	1.5
417.105	2.415	52	34	SS	1	7.42	2	7.64	4	419.537	1.5
422.869	1.483	53	22	LL	2	18.4	0	23	4	424.369	1.5
428.501	1.35	54	80	LL	2	9.39	4	14.08	6	429.867	1.5
434.882	1.312	55	16	LL	2	19.29	0	28.94	2	436.215	1.5
440.48	1.361	56	39	LL	2	14.56	2	19.66	4	441.863	1.5
451.043	2.301	57	1	SS	1	37.69	0	38.07	2	453.359	1.5
458.957	1.441	58	53	LL	2	35.19	2	40.46	6	460.423	1.5
464.522	2.277	59	65	SS	1	13.22	4	13.35	6	466.821	1.5
471.986	2.573	60	67	LL	2	6.26	4	6.57	6	474.585	1.5
478.934	1.339	61	71	LL	2	10.98	4	14.83	6	480.3	1.5
487.347	1.38	62	43	LL	2	24.99	2	26.24	4	488.747	1.5
493.529	1.234	63	69	LL	2	22.62	4	26.01	6	494.778	1.5
498.277	1.819	64	36	LL	2	18.11	2	19.92	4	500.11	1.5
509.373	2.734	65	50	SS	1	20.53	2	21.14	6	512.122	1.5
516.288	1.294	66	76	LL	2	22.92	4	25.21	6	517.604	1.5
525.251	1.261	67	63	LL	2	25.61	2	34.57	6	526.534	1.5
530.949	1.327	68	8	LL	2	14.49	0	21.74	2	532.299	1.5
538.047	1.177	69	40	LL	2	12.44	2	18.66	4	539.247	1.5
547.927	1.466	70	48	LL	2	22.77	2	34.16	4	549.41	1.5
553.175	1.542	71	46	LL	2	30.77	2	38.46	4	554.741	1.5
560.773	2.199	72	19	LL	2	28.48	0	29.91	4	562.989	1.5
568.353	2.799	73	18	SS	1	5.78	0	5.95	4	571.169	1.5
575.218	2.916	74	60	LL	2	6.45	2	7.1	6	578.15	1.5
581.166	1.775	75	32	LL	2	11.53	0	17.29	4	582.965	1.5
588.613	1.531	76	44	LL	2	22.39	2	24.62	4	590.163	1.5
596.211	3.052	77	73	LL	2	9.59	4	9.68	6	599.276	1.5
602.892	2.591	78	33	LL	2	25.56	2	25.82	4	605.507	1.5
611.322	1.271	79	38	LL	2	32.44	2	40.55	4	612.605	1.5
618.336	2.719	80	10	SS	1	21.66	0	22.31	2	621.069	1.5
