onset	duration	trial	trial_id	choice	choice_bin	magnitude_sooner	delay_sooner	magnitude_later	delay_later	onset_choice_fb	duration_choice_fb
14.981	2.384	1	24	LL	2	11.37	0	17.06	4	17.397	1.5
22.348	2.429	2	11	SS	1	24.85	0	26.09	2	24.814	1.5
28.449	1.768	3	70	LL	2	25.9	4	32.37	6	30.232	1.5
37.681	2.116	4	47	LL	2	20.07	2	27.1	4	39.814	1.5
46.76	1.39	5	7	LL	2	19.45	0	26.26	2	48.181	1.5
50.798	1.759	6	67	SS	1	6.26	4	6.57	6	52.581	1.5
55.831	1.779	7	77	LL	2	25.13	4	28.9	6	57.631	1.5
62.681	1.585	8	33	SS	1	25.56	2	25.82	4	64.298	1.5
70.648	1.391	9	22	LL	2	18.4	0	23	4	72.064	1.5
77.266	1.45	10	41	SS	1	11.65	2	11.77	4	78.732	1.5
83.748	2.807	11	71	LL	2	10.98	4	14.83	6	86.581	1.5
95.064	1.272	12	6	LL	2	10.5	0	13.13	2	96.364	1.5
103.498	1.361	13	74	SS	1	13.42	4	13.82	6	104.881	1.5
110.798	1.378	14	55	LL	2	29.45	2	39.75	6	112.198	1.5
115.998	1.828	15	69	LL	2	22.62	4	26.01	6	117.864	1.5
124.364	1.941	16	65	SS	1	13.22	4	13.35	6	126.331	1.5
136.548	1.605	17	27	SS	1	22.78	0	23.92	4	138.181	1.5
143.431	1.414	18	38	LL	2	32.44	2	40.55	4	144.864	1.5
150.848	1.394	19	53	LL	2	35.19	2	40.46	6	152.264	1.5
160.914	2.77	20	19	SS	1	28.48	0	29.91	4	163.714	1.5
171.331	2.291	21	17	SS	1	22.32	0	22.55	4	173.648	1.5
180.115	1.715	22	44	SS	1	22.39	2	24.62	4	181.848	1.5
185.598	1.924	23	28	SS	1	6.41	0	7.05	4	187.548	1.5
192.498	1.38	24	9	SS	1	22.32	0	22.54	2	193.898	1.5
198.559	1.33	25	30	LL	2	25.92	0	32.4	4	199.915	1.5
209.481	1.771	26	72	LL	2	29.27	4	43.91	6	211.281	1.5
214.415	1.634	27	62	LL	2	25.3	2	31.63	6	216.081	1.5
220.215	1.357	28	48	LL	2	22.77	2	34.16	4	221.598	1.5
225.566	1.525	29	32	LL	2	11.53	0	17.29	4	227.116	1.5
234.115	1.8	30	3	SS	1	10.51	0	11.04	2	235.931	1.5
245.415	1.884	31	54	LL	2	14.88	2	18.61	6	247.331	1.5
251.691	1.942	32	50	SS	1	20.53	2	21.14	6	253.665	1.5
265.865	1.865	33	66	SS	1	11.96	4	12.32	6	267.765	1.5
271.898	2.198	34	61	SS	1	18.24	2	20.97	6	274.116	1.5
277.765	1.741	35	60	SS	1	6.45	2	7.1	6	279.531	1.5
289.531	3.786	36	23	LL	2	6.11	0	8.25	4	293.348	1.5
297.431	2.772	37	12	LL	2	21.96	0	24.16	2	300.231	1.5
305.431	2.27	38	57	SS	1	28.25	2	28.53	6	307.731	1.5
313.465	2.293	39	51	SS	1	37.85	2	39.74	6	315.786	1.5
325.199	2.508	40	76	LL	2	22.92	4	25.21	6	327.732	1.5
331.582	2.088	41	43	LL	2	24.99	2	26.24	4	333.698	1.5
340.598	2.049	42	40	LL	2	12.44	2	18.66	4	342.665	1.5
351.515	1.44	43	35	SS	1	20.14	2	21.15	4	352.982	1.5
357.098	1.581	44	15	LL	2	16.47	0	22.24	2	358.715	1.5
361.915	1.703	45	56	LL	2	26.96	2	40.44	6	363.648	1.5
367.248	2.096	46	10	SS	1	21.66	0	22.31	2	369.382	1.5
374.749	1.386	47	80	LL	2	9.39	4	14.08	6	376.149	1.5
380.564	1.231	48	16	LL	2	19.29	0	28.94	2	381.815	1.5
389.165	1.412	49	1	SS	1	37.69	0	38.07	2	390.598	1.5
399.415	1.912	50	37	LL	2	17.36	2	19.96	4	401.348	1.5
409.098	1.45	51	14	LL	2	27.84	0	34.8	2	410.582	1.5
415.132	1.607	52	2	SS	1	24.28	0	25	2	416.765	1.5
420.867	1.502	53	4	SS	1	13.42	0	14.77	2	422.383	1.5
433.832	1.391	54	63	LL	2	25.61	2	34.57	6	435.248	1.5
440.765	1.827	55	21	LL	2	19.12	0	21.99	4	442.615	1.5
454.415	1.5	56	36	SS	1	18.11	2	19.92	4	455.948	1.5
464.898	1.533	57	75	SS	1	20.18	4	21.19	6	466.465	1.5
471.133	2.59	58	29	LL	2	32.7	0	37.6	4	473.749	1.5
478.999	1.448	59	73	SS	1	9.59	4	9.68	6	480.465	1.5
485.699	1.478	60	58	SS	1	12.69	2	13.07	6	487.199	1.5
498.849	1.319	61	34	SS	1	7.42	2	7.64	4	500.199	1.5
504.065	1.464	62	5	LL	2	32.79	0	37.71	2	505.565	1.5
509.565	1.228	63	64	LL	2	26.95	2	40.42	6	510.82	1.50000000000006
521.85	2.092	64	79	LL	2	14.58	4	19.68	6	523.966	1.5
533.265	1.255	65	46	LL	2	30.77	2	38.46	4	534.549	1.5
540.565	1.87	66	39	LL	2	14.56	2	19.66	4	542.465	1.5
547.332	1.408	67	78	LL	2	18.61	4	23.27	6	548.765	1.5
556.532	1.099	68	52	LL	2	30.66	2	33.73	6	557.665	1.5
564.215	1.981	69	13	LL	2	16.21	0	18.64	2	566.232	1.5
569.967	2.3	70	20	SS	1	30.4	0	33.44	4	572.283	1.5
578.965	1.226	71	25	SS	1	9.89	0	9.99	4	580.215	1.5
584.282	1.377	72	45	LL	2	36.8	2	42.32	4	585.682	1.5
597.249	1.464	73	26	SS	1	38.48	0	39.63	4	598.74	1.5
603.165	1.403	74	68	LL	2	25.55	4	28.11	6	604.599	1.5
608.715	1.223	75	31	LL	2	23.44	0	31.64	4	609.965	1.5
613.682	1.198	76	42	SS	1	9.5	2	9.79	4	614.915	1.5
623.565	1.458	77	18	SS	1	5.78	0	5.95	4	625.049	1.5
632.399	1.107	78	59	SS	1	11.17	2	11.73	6	633.532	1.5
639.266	1.389	79	8	LL	2	14.49	0	21.74	2	640.682	1.5
645.899	1.531	80	49	SS	1	23.7	2	23.94	6	647.457	1.5
