onset	duration	trial	trial_id	choice	choice_bin	magnitude_sooner	delay_sooner	magnitude_later	delay_later	onset_choice_fb	duration_choice_fb
13.637	1.835	1	78	LL	2	18.61	4	23.27	6	15.487	1.5
26.637	2.046	2	46	LL	2	30.77	2	38.46	4	28.704	1.5
33.887	2.128	3	28	SS	1	6.41	0	7.05	4	36.037	1.5
40.187	1.753	4	50	SS	1	20.53	2	21.14	6	41.971	1.5
46.321	1.919	5	7	LL	2	19.45	0	26.26	2	48.271	1.5
55.972	1.824	6	13	SS	1	16.21	0	18.64	2	57.821	1.5
65.571	2.3	7	11	SS	1	24.85	0	26.09	2	67.887	1.5
71.104	2.698	8	53	LL	2	35.19	2	40.46	6	73.821	1.5
78.287	1.742	9	34	SS	1	7.42	2	7.64	4	80.054	1.5
86.304	1.699	10	58	SS	1	12.69	2	13.07	6	88.037	1.5
94.259	2.805	11	24	LL	2	11.37	0	17.06	4	97.091	1.5
100.771	1.833	12	19	SS	1	28.48	0	29.91	4	102.623	1.5
105.722	1.705	13	72	LL	2	29.27	4	43.91	6	107.454	1.5
113.636	3.51	14	71	SS	1	10.98	4	14.83	6	117.171	1.5
120.938	3.617	15	69	LL	2	22.62	4	26.01	6	124.588	1.5
134.688	2.398	16	39	LL	2	14.56	2	19.66	4	137.121	1.5
146.908	1.683	17	23	SS	1	6.11	0	8.25	4	148.621	1.5
153.339	1.581	18	75	SS	1	20.18	4	21.19	6	154.938	1.5
160.738	1.156	19	29	LL	2	32.7	0	37.6	4	161.921	1.5
167.704	1.541	20	8	LL	2	14.49	0	21.74	2	169.271	1.5
178.471	1.875	21	80	LL	2	9.39	4	14.08	6	180.371	1.5
184.471	1.585	22	77	SS	1	25.13	4	28.9	6	186.088	1.5
191.504	1.461	23	5	LL	2	32.79	0	37.71	2	192.992	1.5
196.604	1.307	24	31	LL	2	23.44	0	31.64	4	197.938	1.5
203.688	1.889	25	45	LL	2	36.8	2	42.32	4	205.604	1.5
208.554	1.991	26	26	SS	1	38.48	0	39.63	4	210.571	1.5
216.038	1.668	27	74	SS	1	13.42	4	13.82	6	217.734	1.5
220.904	1.258	28	48	LL	2	22.77	2	34.16	4	222.188	1.5
227.138	2.284	29	68	LL	2	25.55	4	28.11	6	229.454	1.5
238.104	1.664	30	59	SS	1	11.17	2	11.73	6	239.804	1.5
250.556	2.449	31	76	LL	2	22.92	4	25.21	6	253.022	1.5
256.204	1.519	32	14	LL	2	27.84	0	34.8	2	257.738	1.5
262.238	1.82	33	49	SS	1	23.7	2	23.94	6	264.088	1.5
270.521	2.254	34	44	LL	2	22.39	2	24.62	4	272.804	1.5
280.638	2.692	35	36	SS	1	18.11	2	19.92	4	283.354	1.5
288.771	1.534	36	9	SS	1	22.32	0	22.54	2	290.338	1.5
296.654	1.336	37	2	SS	1	24.28	0	25	2	298.007	1.5
306.771	1.648	38	55	LL	2	29.45	2	39.75	6	308.438	1.5
314.368	1.475	39	64	LL	2	26.95	2	40.42	6	315.871	1.5
319.621	1.546	40	27	SS	1	22.78	0	23.92	4	321.188	1.5
325.054	1.503	41	18	SS	1	5.78	0	5.95	4	326.588	1.5
336.638	1.431	42	63	LL	2	25.61	2	34.57	6	338.104	1.5
343.588	1.457	43	10	SS	1	21.66	0	22.31	2	345.071	1.5
354.004	3.165	44	12	SS	1	21.96	0	24.16	2	357.188	1.5
360.821	1.321	45	47	LL	2	20.07	2	27.1	4	362.171	1.5
371.738	1.376	46	4	SS	1	13.42	0	14.77	2	373.138	1.5
378.454	1.89	47	61	SS	1	18.24	2	20.97	6	380.371	1.5
386.704	1.528	48	38	LL	2	32.44	2	40.55	4	388.259	1.5
392.721	1.562	49	40	LL	2	12.44	2	18.66	4	394.321	1.5
398.223	1.485	50	3	SS	1	10.51	0	11.04	2	399.722	1.5
403.471	2.077	51	67	SS	1	6.26	4	6.57	6	405.571	1.5
412.738	2.857	52	60	LL	2	6.45	2	7.1	6	415.621	1.5
419.171	2.049	53	42	SS	1	9.5	2	9.79	4	421.248	1.5
424.988	1.528	54	16	LL	2	19.29	0	28.94	2	426.538	1.5
432.021	3.243	55	43	SS	1	24.99	2	26.24	4	435.288	1.5
439.004	2.361	56	51	SS	1	37.85	2	39.74	6	441.404	1.5
445.44	1.661	57	41	SS	1	11.65	2	11.77	4	447.123	1.5
451.671	3.656	58	52	SS	1	30.66	2	33.73	6	455.354	1.5
460.118	3.03	59	15	LL	2	16.47	0	22.24	2	463.171	1.5
467.254	2.175	60	70	LL	2	25.9	4	32.37	6	469.454	1.5
481.721	2.37	61	1	SS	1	37.69	0	38.07	2	484.121	1.5
493.974	1.488	62	56	LL	2	26.96	2	40.44	6	495.49	1.5
500.505	1.865	63	35	SS	1	20.14	2	21.15	4	502.388	1.5
508.938	1.78	64	17	SS	1	22.32	0	22.55	4	510.738	1.50000000000006
519.971	2.93	65	6	LL	2	10.5	0	13.13	2	522.921	1.5
529.471	3.715	66	54	LL	2	14.88	2	18.61	6	533.221	1.5
541.505	1.291	67	65	SS	1	13.22	4	13.35	6	542.824	1.5
550.605	2.428	68	32	LL	2	11.53	0	17.29	4	553.055	1.5
563.955	2.611	69	20	SS	1	30.4	0	33.44	4	566.588	1.5
573.555	3.041	70	21	SS	1	19.12	0	21.99	4	576.621	1.5
582.038	1.32	71	30	LL	2	25.92	0	32.4	4	583.388	1.5
586.638	1.429	72	25	SS	1	9.89	0	9.99	4	588.105	1.5
593.59	2.977	73	37	SS	1	17.36	2	19.96	4	596.589	1.5
600.055	2.582	74	22	LL	2	18.4	0	23	4	602.655	1.5
606.835	1.797	75	62	LL	2	25.3	2	31.63	6	608.655	1.5
614.438	3.296	76	66	SS	1	11.96	4	12.32	6	617.755	1.5
623.371	1.654	77	57	SS	1	28.25	2	28.53	6	625.055	1.5
629.888	1.856	78	33	SS	1	25.56	2	25.82	4	631.771	1.5
635.471	1.67	79	73	SS	1	9.59	4	9.68	6	637.171	1.5
643.573	1.373	80	79	LL	2	14.58	4	19.68	6	644.972	1.5
