onset	duration	trial	trial_id	choice	choice_bin	magnitude_sooner	delay_sooner	magnitude_later	delay_later	onset_choice_fb	duration_choice_fb
13.688	1.483	1	7	LL	2	19.45	0	26.26	2	15.204	1.5
25.938	2.375	2	8	LL	2	14.49	0	21.74	2	28.354	1.5
33.805	2.529	3	13	SS	1	16.21	0	18.64	2	36.354	1.5
43.471	2.062	4	48	LL	2	22.77	2	34.16	4	45.554	1.5
52.338	2.218	5	76	LL	2	22.92	4	25.21	6	54.588	1.5
57.954	2.262	6	18	SS	1	5.78	0	5.95	4	60.238	1.5
69.588	1.754	7	32	LL	2	11.53	0	17.29	4	71.371	1.5
75.657	3.888	8	22	SS	1	18.4	0	23	4	79.573	1.5
84.854	2.547	9	30	SS	1	25.92	0	32.4	4	87.421	1.5
96.621	1.869	10	68	SS	1	25.55	4	28.11	6	98.521	1.5
106.738	1.503	11	25	SS	1	9.89	0	9.99	4	108.271	1.5
119.171	2.018	12	23	SS	1	6.11	0	8.25	4	121.221	1.5
126.071	1.801	13	5	SS	1	32.79	0	37.71	2	127.89	1.49999999999999
137.604	1.489	14	42	SS	1	9.5	2	9.79	4	139.121	1.5
150.154	3.697	15	54	SS	1	14.88	2	18.61	6	153.871	1.5
157.654	1.684	16	51	SS	1	37.85	2	39.74	6	159.371	1.5
164.488	3.691	17	79	LL	2	14.58	4	19.68	6	168.204	1.5
174.607	1.912	18	26	SS	1	38.48	0	39.63	4	176.54	1.5
184.504	2.39	19	24	LL	2	11.37	0	17.06	4	186.921	1.5
193.967	4.396	20	6	LL	2	10.5	0	13.13	2	198.388	1.5
208.655	1.544	21	9	SS	1	22.32	0	22.54	2	210.221	1.5
218.555	2.602	22	52	SS	1	30.66	2	33.73	6	221.188	1.5
224.088	2.458	23	55	LL	2	29.45	2	39.75	6	226.573	1.5
232.771	1.492	24	41	SS	1	11.65	2	11.77	4	234.288	1.5
237.855	2.046	25	31	LL	2	23.44	0	31.64	4	239.921	1.5
243.538	2.841	26	21	SS	1	19.12	0	21.99	4	246.405	1.5
256.171	1.515	27	40	LL	2	12.44	2	18.66	4	257.721	1.5
