onset	duration	trial	trial_id	choice	choice_bin	magnitude_sooner	delay_sooner	magnitude_later	delay_later	onset_choice_fb	duration_choice_fb
13.489	1.821	1	18	SS	1	5.78	0	5.95	4	15.339	1.5
18.889	3.022	2	5	LL	2	32.79	0	37.71	2	21.939	1.5
28.626	1.835	3	30	SS	1	25.92	0	32.4	4	30.489	1.5
33.774	2.235	4	70	LL	2	25.9	4	32.37	6	36.023	1.5
40.222	1.883	5	52	LL	2	30.66	2	33.73	6	42.122	1.5
50.189	2.108	6	80	LL	2	9.39	4	14.08	6	52.322	1.5
62.505	1.756	7	36	LL	2	18.11	2	19.92	4	64.289	1.5
76.389	1.613	8	39	LL	2	14.56	2	19.66	4	78.039	1.5
87.339	1.738	9	73	LL	2	9.59	4	9.68	6	89.106	1.5
92.056	2.454	10	65	SS	1	13.22	4	13.35	6	94.539	1.5
102.722	1.916	11	48	LL	2	22.77	2	34.16	4	104.667	1.5
109.089	2.402	12	62	LL	2	25.3	2	31.63	6	111.522	1.5
115.539	1.679	13	71	LL	2	10.98	4	14.83	6	117.246	1.5
121.006	2.538	14	26	SS	1	38.48	0	39.63	4	123.572	1.5
128.106	1.981	15	72	LL	2	29.27	4	43.91	6	130.122	1.5
134.257	2.511	16	4	SS	1	13.42	0	14.77	2	136.789	1.5
147.622	1.492	17	79	LL	2	14.58	4	19.68	6	149.139	1.5
153.306	2.059	18	63	LL	2	25.61	2	34.57	6	155.389	1.5
159.906	2.632	19	21	LL	2	19.12	0	21.99	4	162.572	1.5
169.106	1.826	20	66	LL	2	11.96	4	12.32	6	170.956	1.5
174.956	1.337	21	58	LL	2	12.69	2	13.07	6	176.322	1.5
179.456	1.372	22	46	LL	2	30.77	2	38.46	4	180.856	1.5
183.84	1.763	23	16	LL	2	19.29	0	28.94	2	185.623	1.5
197.689	1.822	24	31	LL	2	23.44	0	31.64	4	199.539	1.5
206.906	1.45	25	35	LL	2	20.14	2	21.15	4	208.389	1.5
212.572	2.366	26	2	SS	1	24.28	0	25	2	214.972	1.5
224.489	2.181	27	3	SS	1	10.51	0	11.04	2	226.706	1.5
230.857	1.779	28	74	LL	2	13.42	4	13.82	6	232.657	1.5
237.106	1.156	29	68	LL	2	25.55	4	28.11	6	238.289	1.5
246.339	1.139	30	49	LL	2	23.7	2	23.94	6	247.506	1.5
