onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.056	1.649	1	1	pump	3	-6.26086956521739	-4.71428571428571	exponential	cashout	7	red	0.01	0.1	NA	NA
7.439	0.713	1	2	pump	3	-5.26086956521739	-3.71428571428571	exponential	cashout	7	red	0.0428709385014517	0.1	NA	NA
9.988	0.616	1	3	pump	3	-4.26086956521739	-2.71428571428571	exponential	cashout	7	red	0.100451085663051	0.1	NA	NA
11.904	1.882	1	4	cashout	3	NA	NA	exponential	cashout	7	red	0.183791736799526	0.1	NA	NA
21.084	0.989	2	1	pump	6	-6.26086956521739	-6.25	control	control	6	grey	0	0	NA	NA
24.016	0.577	2	2	pump	6	-5.26086956521739	-5.25	control	control	6	grey	0	0	NA	NA
26.332	0.474	2	3	pump	6	-4.26086956521739	-4.25	control	control	6	grey	0	0	NA	NA
27.948	0.693	2	4	pump	6	-3.26086956521739	-3.25	control	control	6	grey	0	0	NA	NA
30.681	0.632	2	5	pump	6	-2.26086956521739	-2.25	control	control	6	grey	0	0	NA	NA
32.797	0.739	2	6	pump	6	-1.26086956521739	-1.25	control	control	6	grey	0	0	NA	NA
37.462	1.108	3	1	pump	5	-6.26086956521739	-7.625	linear	cashout	16	blue	0.1	0.5	NA	NA
40.277	0.749	3	2	pump	5	-5.26086956521739	-6.625	linear	cashout	16	blue	0.2	0.5	NA	NA
42.36	0.873	3	3	pump	5	-4.26086956521739	-5.625	linear	cashout	16	blue	0.3	0.5	NA	NA
44.393	0.776	3	4	pump	5	-3.26086956521739	-4.625	linear	cashout	16	blue	0.4	0.5	NA	NA
46.892	0.967	3	5	pump	5	-2.26086956521739	-3.625	linear	cashout	16	blue	0.5	0.5	NA	NA
49.574	2.182	3	6	cashout	5	NA	NA	linear	cashout	16	blue	0.6	0.5	NA	NA
58.954	0.749	4	1	pump	9	-6.26086956521739	-7.625	linear	explosion	9	blue	0.1	0	NA	NA
61.52	0.674	4	2	pump	9	-5.26086956521739	-6.625	linear	explosion	9	blue	0.2	0	NA	NA
64.119	0.601	4	3	pump	9	-4.26086956521739	-5.625	linear	explosion	9	blue	0.3	0	NA	NA
66.019	0.74	4	4	pump	9	-3.26086956521739	-4.625	linear	explosion	9	blue	0.4	0	NA	NA
67.935	0.741	4	5	pump	9	-2.26086956521739	-3.625	linear	explosion	9	blue	0.5	0	NA	NA
70.567	0.82	4	6	pump	9	-1.26086956521739	-2.625	linear	explosion	9	blue	0.6	0	NA	NA
72.933	1.15	4	7	pump	9	-0.260869565217392	-1.625	linear	explosion	9	blue	0.7	0	NA	NA
76.132	1.283	4	8	pump	9	0.739130434782608	-0.625	linear	explosion	9	blue	0.8	0	NA	NA
79.414	1.579	4	9	pump	9	NA	NA	linear	explosion	9	blue	0.9	0	82.896	2
87.395	0.677	5	1	pump	6	-6.26086956521739	-4.71428571428571	exponential	cashout	15	red	0.01	0.43	NA	NA
89.594	0.765	5	2	pump	6	-5.26086956521739	-3.71428571428571	exponential	cashout	15	red	0.0428709385014517	0.43	NA	NA
91.46	1.204	5	3	pump	6	-4.26086956521739	-2.71428571428571	exponential	cashout	15	red	0.100451085663051	0.43	NA	NA
94.709	0.889	5	4	pump	6	-3.26086956521739	-1.71428571428571	exponential	cashout	15	red	0.183791736799526	0.43	NA	NA
97.625	1.215	5	5	pump	6	-2.26086956521739	-0.714285714285714	exponential	cashout	15	red	0.293654735772005	0.43	NA	NA
100.274	3.531	5	6	pump	6	-1.26086956521739	0.285714285714286	exponential	cashout	15	red	0.430643231586474	0.43	NA	NA
105.239	2.516	5	7	cashout	6	NA	NA	exponential	cashout	15	red	0.595258881579143	0.43	NA	NA
114.869	0.811	6	1	pump	1	-6.26086956521739	-6.25	control	control	1	grey	0	0	NA	NA
121.183	0.68	7	1	pump	13	-6.26086956521739	-6.25	control	control	13	grey	0	0	NA	NA
123.283	0.883	7	2	pump	13	-5.26086956521739	-5.25	control	control	13	grey	0	0	NA	NA
125.249	1.109	7	3	pump	13	-4.26086956521739	-4.25	control	control	13	grey	0	0	NA	NA
127.681	0.883	7	4	pump	13	-3.26086956521739	-3.25	control	control	13	grey	0	0	NA	NA
129.864	0.85	7	5	pump	13	-2.26086956521739	-2.25	control	control	13	grey	0	0	NA	NA
132.046	0.9	7	6	pump	13	-1.26086956521739	-1.25	control	control	13	grey	0	0	NA	NA
134.662	0.766	7	7	pump	13	-0.260869565217392	-0.25	control	control	13	grey	0	0	NA	NA
137.078	0.667	7	8	pump	13	0.739130434782608	0.75	control	control	13	grey	0	0	NA	NA
139.477	0.789	7	9	pump	13	1.73913043478261	1.75	control	control	13	grey	0	0	NA	NA
141.86	0.835	7	10	pump	13	2.73913043478261	2.75	control	control	13	grey	0	0	NA	NA
144.026	1.016	7	11	pump	13	3.73913043478261	3.75	control	control	13	grey	0	0	NA	NA
146.775	0.776	7	12	pump	13	4.73913043478261	4.75	control	control	13	grey	0	0	NA	NA
148.991	0.817	7	13	pump	13	5.73913043478261	5.75	control	control	13	grey	0	0	NA	NA
155.788	1.035	8	1	pump	8	-6.26086956521739	-4.71428571428571	exponential	explosion	8	red	0.01	0	NA	NA
158.037	1.489	8	2	pump	8	-5.26086956521739	-3.71428571428571	exponential	explosion	8	red	0.0428709385014517	0	NA	NA
160.62	1.251	8	3	pump	8	-4.26086956521739	-2.71428571428571	exponential	explosion	8	red	0.100451085663051	0	NA	NA
163.019	0.963	8	4	pump	8	-3.26086956521739	-1.71428571428571	exponential	explosion	8	red	0.183791736799526	0	NA	NA
165.535	1.081	8	5	pump	8	-2.26086956521739	-0.714285714285714	exponential	explosion	8	red	0.293654735772005	0	NA	NA
168.484	0.946	8	6	pump	8	-1.26086956521739	0.285714285714286	exponential	explosion	8	red	0.430643231586474	0	NA	NA
171.483	0.942	8	7	pump	8	-0.260869565217392	1.28571428571429	exponential	explosion	8	red	0.595258881579143	0	NA	NA
174.415	0.879	8	8	pump	8	NA	NA	exponential	explosion	8	red	0.787932424540747	0	177.248	2
