onset	duration	trial	trial_id	choice	choice_bin	magnitude_sooner	delay_sooner	magnitude_later	delay_later	onset_choice_fb	duration_choice_fb
13.504	1.975	1	65	LL	2	13.22	4	13.35	6	15.506	1.5
18.105	1.359	2	54	LL	2	14.88	2	18.61	6	19.488	1.5
24.237	1.202	3	38	LL	2	32.44	2	40.55	4	25.454	1.5
37.804	2.108	4	12	LL	2	21.96	0	24.16	2	39.937	1.5
44.337	1.711	5	21	LL	2	19.12	0	21.99	4	46.07	1.5
50.187	1.56	6	48	LL	2	22.77	2	34.16	4	51.77	1.5
62.77	1.449	7	75	LL	2	20.18	4	21.19	6	64.254	1.5
68.521	2.509	8	57	LL	2	28.25	2	28.53	6	71.054	1.5
77.385	1.613	9	11	LL	2	24.85	0	26.09	2	79.02	1.5
86.52	1.396	10	55	LL	2	29.45	2	39.75	6	87.937	1.5
94.77	1.757	11	34	LL	2	7.42	2	7.64	4	96.554	1.5
104.037	1.392	12	45	LL	2	36.8	2	42.32	4	105.454	1.5
109.42	1.653	13	68	LL	2	25.55	4	28.11	6	111.104	1.5
115.655	1.722	14	22	LL	2	18.4	0	23	4	117.404	1.5
123.254	1.298	15	62	LL	2	25.3	2	31.63	6	124.57	1.5
129.62	2.36	16	69	LL	2	22.62	4	26.01	6	132.004	1.5
136.554	2.176	17	67	LL	2	6.26	4	6.57	6	138.754	1.5
142.404	1.517	18	72	LL	2	29.27	4	43.91	6	143.954	1.5
147.804	1.346	19	79	LL	2	14.58	4	19.68	6	149.187	1.5
153.07	2.116	20	8	LL	2	14.49	0	21.74	2	155.22	1.5
165.904	2.157	21	60	LL	2	6.45	2	7.1	6	168.087	1.5
174.587	2.094	22	35	LL	2	20.14	2	21.15	4	176.704	1.5
182.17	1.713	23	43	LL	2	24.99	2	26.24	4	183.904	1.5
188.854	1.78	24	63	LL	2	25.61	2	34.57	6	190.654	1.5
200.37	1.539	25	56	LL	2	26.96	2	40.44	6	201.937	1.5
213.572	1.321	26	20	LL	2	30.4	0	33.44	4	214.92	1.5
217.504	1.582	27	46	LL	2	30.77	2	38.46	4	219.104	1.5
225.604	1.354	28	15	LL	2	16.47	0	22.24	2	226.987	1.5
233.07	1.669	29	29	LL	2	32.7	0	37.6	4	234.77	1.5
246.237	1.328	30	66	LL	2	11.96	4	12.32	6	247.587	1.5
253.47	2.043	31	27	SS	1	22.78	0	23.92	4	255.541	1.5
259.604	1.836	32	13	LL	2	16.21	0	18.64	2	261.456	1.5
266.887	2.763	33	73	SS	1	9.59	4	9.68	6	269.67	1.5
273.654	1.544	34	31	LL	2	23.44	0	31.64	4	275.22	1.5
280.587	1.537	35	39	LL	2	14.56	2	19.66	4	282.154	1.5
287.687	1.574	36	4	LL	2	13.42	0	14.77	2	289.287	1.5
294.887	1.51	37	40	LL	2	12.44	2	18.66	4	296.42	1.5
305.137	1.447	38	37	LL	2	17.36	2	19.96	4	306.62	1.5
311.589	1.439	39	18	LL	2	5.78	0	5.95	4	313.055	1.5
316.32	2.309	40	2	LL	2	24.28	0	25	2	318.654	1.5
323.668	1.903	41	49	LL	2	23.7	2	23.94	6	325.587	1.5
330.27	1.886	42	1	SS	1	37.69	0	38.07	2	332.187	1.5
343.987	1.648	43	14	LL	2	27.84	0	34.8	2	345.67	1.5
355.52	2.158	44	26	SS	1	38.48	0	39.63	4	357.706	1.5
361.638	2.045	45	71	LL	2	10.98	4	14.83	6	363.704	1.5
370.252	1.828	46	23	LL	2	6.11	0	8.25	4	372.104	1.5
375.57	2.674	47	74	LL	2	13.42	4	13.82	6	378.27	1.5
382.854	1.606	48	80	LL	2	9.39	4	14.08	6	384.487	1.5
390.07	1.95	49	17	SS	1	22.32	0	22.55	4	392.054	1.5
398.07	2.018	50	25	SS	1	9.89	0	9.99	4	400.12	1.5
407.404	2.286	51	33	SS	1	25.56	2	25.82	4	409.705	1.5
417.087	1.585	52	77	LL	2	25.13	4	28.9	6	418.687	1.5
422.37	2.188	53	28	SS	1	6.41	0	7.05	4	424.587	1.5
432.704	1.6	54	61	LL	2	18.24	2	20.97	6	434.337	1.5
437.77	1.618	55	16	LL	2	19.29	0	28.94	2	439.42	1.5
443.32	2.028	56	42	LL	2	9.5	2	9.79	4	445.376	1.5
450.32	2.147	57	47	LL	2	20.07	2	27.1	4	452.504	1.5
460.755	1.392	58	24	LL	2	11.37	0	17.06	4	462.171	1.5
467.17	1.283	59	44	LL	2	22.39	2	24.62	4	468.47	1.5
474.716	1.323	60	50	LL	2	20.53	2	21.14	6	476.07	1.5
481.854	1.566	61	58	LL	2	12.69	2	13.07	6	483.454	1.5
488.395	1.585	62	53	LL	2	35.19	2	40.46	6	490.004	1.5
498.12	1.966	63	70	LL	2	25.9	4	32.37	6	500.12	1.5
511.337	1.738	64	32	LL	2	11.53	0	17.29	4	513.103	1.5
520.737	2.057	65	9	LL	2	22.32	0	22.54	2	522.82	1.5
530.87	1.828	66	64	LL	2	26.95	2	40.42	6	532.72	1.5
538.637	1.9	67	52	LL	2	30.66	2	33.73	6	540.57	1.5
543.47	1.712	68	30	LL	2	25.92	0	32.4	4	545.22	1.5
552.503	1.76	69	78	LL	2	18.61	4	23.27	6	554.303	1.5
558.688	1.464	70	6	LL	2	10.5	0	13.13	2	560.171	1.5
570.687	2.575	71	3	SS	1	10.51	0	11.04	2	573.287	1.5
580.253	1.906	72	59	LL	2	11.17	2	11.73	6	582.187	1.5
586.77	2.213	73	10	LL	2	21.66	0	22.31	2	589.003	1.5
599.653	1.627	74	76	LL	2	22.92	4	25.21	6	601.307	1.5
604.953	1.624	75	41	LL	2	11.65	2	11.77	4	606.605	1.5
612.303	1.42	76	5	LL	2	32.79	0	37.71	2	613.737	1.5
617.937	2.229	77	19	LL	2	28.48	0	29.91	4	620.187	1.5
626.687	1.317	78	7	LL	2	19.45	0	26.26	2	628.037	1.5
635.537	1.598	79	36	LL	2	18.11	2	19.92	4	637.17	1.5
643.876	1.409	80	51	LL	2	37.85	2	39.74	6	645.32	1.5
