onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.067	0.959	1	1	pump	6	-5.86666666666667	-4.5	exponential	cashout	10	red	0.01	0.43	NA	NA
6.65	0.823	1	2	pump	6	-4.86666666666667	-3.5	exponential	cashout	10	red	0.0428709385014517	0.43	NA	NA
9.433	0.82	1	3	pump	6	-3.86666666666667	-2.5	exponential	cashout	10	red	0.100451085663051	0.43	NA	NA
12	0.648	1	4	pump	6	-2.86666666666667	-1.5	exponential	cashout	10	red	0.183791736799526	0.43	NA	NA
14.183	1.032	1	5	pump	6	-1.86666666666667	-0.5	exponential	cashout	10	red	0.293654735772005	0.43	NA	NA
16.666	0.799	1	6	pump	6	-0.866666666666666	0.5	exponential	cashout	10	red	0.430643231586474	0.43	NA	NA
18.9	0.861	1	7	cashout	6	NA	NA	exponential	cashout	10	red	0.595258881579143	0.43	NA	NA
25.3	1.124	2	1	pump	13	-5.86666666666667	-7.5	control	control	13	grey	0	0	NA	NA
27.886	0.464	2	2	pump	13	-4.86666666666667	-6.5	control	control	13	grey	0	0	NA	NA
29.9	0.363	2	3	pump	13	-3.86666666666667	-5.5	control	control	13	grey	0	0	NA	NA
31.683	0.435	2	4	pump	13	-2.86666666666667	-4.5	control	control	13	grey	0	0	NA	NA
33.784	0.487	2	5	pump	13	-1.86666666666667	-3.5	control	control	13	grey	0	0	NA	NA
35.884	0.448	2	6	pump	13	-0.866666666666666	-2.5	control	control	13	grey	0	0	NA	NA
37.433	0.463	2	7	pump	13	0.133333333333334	-1.5	control	control	13	grey	0	0	NA	NA
39.916	0.614	2	8	pump	13	1.13333333333333	-0.5	control	control	13	grey	0	0	NA	NA
41.9	0.67	2	9	pump	13	2.13333333333333	0.5	control	control	13	grey	0	0	NA	NA
44.383	0.545	2	10	pump	13	3.13333333333333	1.5	control	control	13	grey	0	0	NA	NA
46.116	0.432	2	11	pump	13	4.13333333333333	2.5	control	control	13	grey	0	0	NA	NA
47.766	0.442	2	12	pump	13	5.13333333333333	3.5	control	control	13	grey	0	0	NA	NA
50.216	0.644	2	13	pump	13	6.13333333333333	4.5	control	control	13	grey	0	0	NA	NA
62.2	0.991	3	1	pump	1	NA	NA	linear	explosion	1	blue	0.1	0	65.216	2
77.3	0.455	4	1	pump	8	-5.86666666666667	-5.6	linear	cashout	12	blue	0.1	0.8	NA	NA
79.516	0.547	4	2	pump	8	-4.86666666666667	-4.6	linear	cashout	12	blue	0.2	0.8	NA	NA
81.333	0.402	4	3	pump	8	-3.86666666666667	-3.6	linear	cashout	12	blue	0.3	0.8	NA	NA
83.116	0.42	4	4	pump	8	-2.86666666666667	-2.6	linear	cashout	12	blue	0.4	0.8	NA	NA
85.167	0.481	4	5	pump	8	-1.86666666666667	-1.6	linear	cashout	12	blue	0.5	0.8	NA	NA
87.566	0.468	4	6	pump	8	-0.866666666666666	-0.6	linear	cashout	12	blue	0.6	0.8	NA	NA
90.066	0.456	4	7	pump	8	0.133333333333334	0.4	linear	cashout	12	blue	0.7	0.8	NA	NA
92.433	0.819	4	8	pump	8	1.13333333333333	1.4	linear	cashout	12	blue	0.8	0.8	NA	NA
94.9	0.854	4	9	cashout	8	NA	NA	linear	cashout	12	blue	0.9	0.8	NA	NA
102.1	0.587	5	1	pump	3	-5.86666666666667	-4.5	exponential	explosion	3	red	0.01	0	NA	NA
104.083	0.348	5	2	pump	3	-4.86666666666667	-3.5	exponential	explosion	3	red	0.0428709385014517	0	NA	NA
106.383	0.361	5	3	pump	3	NA	NA	exponential	explosion	3	red	0.100451085663051	0	108.742	2
113.1	1.139	6	1	pump	9	-5.86666666666667	-7.5	control	control	9	grey	0	0	NA	NA
115.966	0.447	6	2	pump	9	-4.86666666666667	-6.5	control	control	9	grey	0	0	NA	NA
118.066	0.389	6	3	pump	9	-3.86666666666667	-5.5	control	control	9	grey	0	0	NA	NA
120.3	0.403	6	4	pump	9	-2.86666666666667	-4.5	control	control	9	grey	0	0	NA	NA
122.133	0.353	6	5	pump	9	-1.86666666666667	-3.5	control	control	9	grey	0	0	NA	NA
123.9	0.38	6	6	pump	9	-0.866666666666666	-2.5	control	control	9	grey	0	0	NA	NA
