onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.064	0.925	1	1	pump	1	NA	NA	linear	explosion	1	red	0.1	0	6.68	2
11.647	0.813	2	1	pump	14	-5.6	-10.5	control	control	14	grey	0	0	NA	NA
14.13	0.456	2	2	pump	14	-4.6	-9.5	control	control	14	grey	0	0	NA	NA
15.68	0.639	2	3	pump	14	-3.6	-8.5	control	control	14	grey	0	0	NA	NA
18.247	0.608	2	4	pump	14	-2.6	-7.5	control	control	14	grey	0	0	NA	NA
19.964	0.741	2	5	pump	14	-1.6	-6.5	control	control	14	grey	0	0	NA	NA
22.48	0.758	2	6	pump	14	-0.6	-5.5	control	control	14	grey	0	0	NA	NA
24.33	0.937	2	7	pump	14	0.4	-4.5	control	control	14	grey	0	0	NA	NA
27.164	0.685	2	8	pump	14	1.4	-3.5	control	control	14	grey	0	0	NA	NA
29.702	0.424	2	9	pump	14	2.4	-2.5	control	control	14	grey	0	0	NA	NA
32.097	0.276	2	10	pump	14	3.4	-1.5	control	control	14	grey	0	0	NA	NA
33.98	0.348	2	11	pump	14	4.4	-0.5	control	control	14	grey	0	0	NA	NA
36.264	0.236	2	12	pump	14	5.4	0.5	control	control	14	grey	0	0	NA	NA
37.647	0.324	2	13	pump	14	6.4	1.5	control	control	14	grey	0	0	NA	NA
39.664	0.241	2	14	pump	14	7.4	2.5	control	control	14	grey	0	0	NA	NA
47.547	0.644	3	1	pump	5	-5.6	-3.8	exponential	cashout	12	blue	0.01	0.29	NA	NA
49.597	0.346	3	2	pump	5	-4.6	-2.8	exponential	cashout	12	blue	0.0428709385014517	0.29	NA	NA
51.53	0.343	3	3	pump	5	-3.6	-1.8	exponential	cashout	12	blue	0.100451085663051	0.29	NA	NA
53.214	0.395	3	4	pump	5	-2.6	-0.8	exponential	cashout	12	blue	0.183791736799526	0.29	NA	NA
55.23	0.337	3	5	pump	5	-1.6	0.2	exponential	cashout	12	blue	0.293654735772005	0.29	NA	NA
57.41	0.807	3	6	cashout	5	NA	NA	exponential	cashout	12	blue	0.430643231586474	0.29	NA	NA
69.03	0.463	4	1	pump	6	-5.6	-2.5	linear	cashout	14	red	0.1	0.6	NA	NA
70.914	0.283	4	2	pump	6	-4.6	-1.5	linear	cashout	14	red	0.2	0.6	NA	NA
72.83	0.312	4	3	pump	6	-3.6	-0.5	linear	cashout	14	red	0.3	0.6	NA	NA
74.764	0.278	4	4	pump	6	-2.6	0.5	linear	cashout	14	red	0.4	0.6	NA	NA
