onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.061	0.789	1	1	pump	15	-5.18181818181818	-6.36363636363636	control	control	15	grey	0	0	NA	NA
6.061	0.27	1	2	pump	15	-4.18181818181818	-5.36363636363636	control	control	15	grey	0	0	NA	NA
8.111	0.261	1	3	pump	15	-3.18181818181818	-4.36363636363636	control	control	15	grey	0	0	NA	NA
10.094	0.353	1	4	pump	15	-2.18181818181818	-3.36363636363636	control	control	15	grey	0	0	NA	NA
12.227	0.314	1	5	pump	15	-1.18181818181818	-2.36363636363636	control	control	15	grey	0	0	NA	NA
13.711	0.37	1	6	pump	15	-0.181818181818182	-1.36363636363636	control	control	15	grey	0	0	NA	NA
16.061	0.319	1	7	pump	15	0.818181818181818	-0.363636363636363	control	control	15	grey	0	0	NA	NA
18.361	0.36	1	8	pump	15	1.81818181818182	0.636363636363637	control	control	15	grey	0	0	NA	NA
20.094	0.516	1	9	pump	15	2.81818181818182	1.63636363636364	control	control	15	grey	0	0	NA	NA
22.344	0.38	1	10	pump	15	3.81818181818182	2.63636363636364	control	control	15	grey	0	0	NA	NA
24.411	0.512	1	11	pump	15	4.81818181818182	3.63636363636364	control	control	15	grey	0	0	NA	NA
26.961	0.318	1	12	pump	15	5.81818181818182	4.63636363636364	control	control	15	grey	0	0	NA	NA
29.077	0.337	1	13	pump	15	6.81818181818182	5.63636363636364	control	control	15	grey	0	0	NA	NA
30.594	0.364	1	14	pump	15	7.81818181818182	6.63636363636364	control	control	15	grey	0	0	NA	NA
32.294	0.323	1	15	pump	15	8.81818181818182	7.63636363636364	control	control	15	grey	0	0	NA	NA
37.894	0.493	2	1	pump	2	-5.18181818181818	-4.09090909090909	linear	explosion	2	red	0.1	0	NA	NA
39.827	0.293	2	2	pump	2	NA	NA	linear	explosion	2	red	0.2	0	41.861	2
46.328	0.349	3	1	pump	2	-5.18181818181818	-5.09090909090909	exponential	explosion	2	blue	0.01	0	NA	NA
47.961	0.311	3	2	pump	2	NA	NA	exponential	explosion	2	blue	0.0428709385014517	0	49.844	2
53.427	0.443	4	1	pump	5	-5.18181818181818	-5.09090909090909	exponential	cashout	12	blue	0.01	0.29	NA	NA
55.727	0.376	4	2	pump	5	-4.18181818181818	-4.09090909090909	exponential	cashout	12	blue	0.0428709385014517	0.29	NA	NA
57.361	0.812	4	3	pump	5	-3.18181818181818	-3.09090909090909	exponential	cashout	12	blue	0.100451085663051	0.29	NA	NA
59.394	0.393	4	4	pump	5	-2.18181818181818	-2.09090909090909	exponential	cashout	12	blue	0.183791736799526	0.29	NA	NA
61.244	0.455	4	5	pump	5	-1.18181818181818	-1.09090909090909	exponential	cashout	12	blue	0.293654735772005	0.29	NA	NA
62.811	0.439	4	6	cashout	5	NA	NA	exponential	cashout	12	blue	0.430643231586474	0.29	NA	NA
71.494	0.412	5	1	pump	8	-5.18181818181818	-6.36363636363636	control	control	8	grey	0	0	NA	NA
