onset	duration	trial	trial_id	choice	choice_bin	magnitude_sooner	delay_sooner	magnitude_later	delay_later	onset_choice_fb	duration_choice_fb
12.703	1.248	1	71	LL	2	10.98	4	14.83	6	13.978	1.5
20.603	1.196	2	6	LL	2	10.5	0	13.13	2	21.836	1.5
32.386	1.258	3	55	LL	2	29.45	2	39.75	6	33.672	1.5
39.203	1.341	4	46	LL	2	30.77	2	38.46	4	40.57	1.5
43.186	1.253	5	32	LL	2	11.53	0	17.29	4	44.453	1.5
52.12	1.222	6	37	LL	2	17.36	2	19.96	4	53.37	1.5
60.703	1.225	7	7	LL	2	19.45	0	26.26	2	61.953	1.5
68.503	1.261	8	44	LL	2	22.39	2	24.62	4	69.786	1.5
74.42	1.397	9	19	LL	2	28.48	0	29.91	4	75.853	1.5
80.136	1.882	10	58	LL	2	12.69	2	13.07	6	82.053	1.5
86.186	2.204	11	50	SS	1	20.53	2	21.14	6	88.403	1.5
93.003	1.83	12	28	SS	1	6.41	0	7.05	4	94.853	1.5
100.32	1.767	13	18	SS	1	5.78	0	5.95	4	102.103	1.5
113.17	1.229	14	48	LL	2	22.77	2	34.16	4	114.42	1.5
118.653	1.676	15	1	SS	1	37.69	0	38.07	2	120.353	1.5
129.77	1.369	16	62	LL	2	25.3	2	31.63	6	131.17	1.5
135.554	1.273	17	31	LL	2	23.44	0	31.64	4	136.854	1.5
140.603	1.637	18	3	SS	1	10.51	0	11.04	2	142.268	1.5
150.07	1.607	19	69	LL	2	22.62	4	26.01	6	151.703	1.5
164.17	1.855	20	2	LL	2	24.28	0	25	2	166.053	1.5
172.52	1.928	21	34	SS	1	7.42	2	7.64	4	174.487	1.5
179.003	2.017	22	49	SS	1	23.7	2	23.94	6	181.039	1.5
193.137	1.747	23	52	LL	2	30.66	2	33.73	6	194.903	1.5
202.203	1.609	24	5	LL	2	32.79	0	37.71	2	203.837	1.5
207.853	2.017	25	60	SS	1	6.45	2	7.1	6	209.903	1.5
216.42	1.3	26	61	LL	2	18.24	2	20.97	6	217.753	1.5
224.22	1.524	27	70	LL	2	25.9	4	32.37	6	225.77	1.5
237.753	1.527	28	40	LL	2	12.44	2	18.66	4	239.303	1.5
243.837	2.065	29	53	LL	2	35.19	2	40.46	6	245.92	1.5
253.37	1.859	30	4	SS	1	13.42	0	14.77	2	255.253	1.5
