onset	duration	trial	trial_id	choice	choice_bin	magnitude_sooner	delay_sooner	magnitude_later	delay_later	onset_choice_fb	duration_choice_fb
13.435	2.275	1	14	LL	2	27.84	0	34.8	2	15.735	1.5
21.785	2.003	2	28	SS	1	6.41	0	7.05	4	23.819	1.5
29.802	2.225	3	4	SS	1	13.42	0	14.77	2	32.052	1.5
35.219	2.128	4	11	LL	2	24.85	0	26.09	2	37.385	1.5
47.969	2.207	5	1	SS	1	37.69	0	38.07	2	50.202	1.5
53.085	2.574	6	37	SS	1	17.36	2	19.96	4	55.685	1.5
60.119	2.402	7	59	SS	1	11.17	2	11.73	6	62.552	1.50000000000001
67.202	2.35	8	19	SS	1	28.48	0	29.91	4	69.585	1.5
74.002	2.099	9	62	SS	1	25.3	2	31.63	6	76.135	1.5
84.552	2.229	10	38	LL	2	32.44	2	40.55	4	86.819	1.5
94.569	2.36	11	75	SS	1	20.18	4	21.19	6	96.952	1.5
100.702	2.119	12	9	SS	1	22.32	0	22.54	2	102.835	1.5
112.202	2.771	13	29	LL	2	32.7	0	37.6	4	115.002	1.5
120.119	2.13	14	47	SS	1	20.07	2	27.1	4	122.277	1.5
127.869	1.917	15	50	SS	1	20.53	2	21.14	6	129.819	1.5
133.419	2.467	16	2	LL	2	24.28	0	25	2	135.919	1.5
139.921	2.536	17	8	LL	2	14.49	0	21.74	2	142.485	1.5
147.319	2.295	18	74	SS	1	13.42	4	13.82	6	149.635	1.5
154.102	2.285	19	26	SS	1	38.48	0	39.63	4	156.402	1.5
160.252	2.476	20	6	LL	2	10.5	0	13.13	2	162.752	1.5
167.035	1.857	21	27	SS	1	22.78	0	23.92	4	168.919	1.5
173.985	2.432	22	45	SS	1	36.8	2	42.32	4	176.452	1.5
185.635	2.505	23	16	LL	2	19.29	0	28.94	2	188.169	1.5
192.869	2.573	24	54	SS	1	14.88	2	18.61	6	195.469	1.5
198.602	3.27	25	55	SS	1	29.45	2	39.75	6	201.9	1.5
212.119	3.586	26	77	SS	1	25.13	4	28.9	6	215.735	1.5
227.869	3.008	27	78	SS	1	18.61	4	23.27	6	230.902	1.5
240.17	1.983	28	10	SS	1	21.66	0	22.31	2	242.169	1.5
246.752	2.426	29	64	LL	2	26.95	2	40.42	6	249.202	1.5
254.752	1.661	30	41	SS	1	11.65	2	11.77	4	256.435	1.5
264.719	2.443	31	7	LL	2	19.45	0	26.26	2	267.185	1.5
277.052	2.601	32	61	SS	1	18.24	2	20.97	6	279.685	1.5
283.002	2.602	33	65	SS	1	13.22	4	13.35	6	285.635	1.5
292.319	2.743	34	71	SS	1	10.98	4	14.83	6	295.085	1.5
303.698	2.273	35	25	SS	1	9.89	0	9.99	4	305.998	1.5
