onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.059	1.551	1	1	pump	2	-4.78125	-1.72727272727273	exponential	explosion	2	blue	0.01	0	NA	NA
6.774	1.191	1	2	pump	2	NA	NA	exponential	explosion	2	blue	0.0428709385014517	0	9.19	2
15.172	0.664	2	1	pump	5	-4.78125	-3.9	linear	cashout	10	red	0.1	0.5	NA	NA
17.038	0.73	2	2	pump	5	-3.78125	-2.9	linear	cashout	10	red	0.2	0.5	NA	NA
19.537	0.578	2	3	pump	5	-2.78125	-1.9	linear	cashout	10	red	0.3	0.5	NA	NA
21.436	0.888	2	4	pump	5	-1.78125	-0.9	linear	cashout	10	red	0.4	0.5	NA	NA
23.452	0.93	2	5	pump	5	-0.78125	0.0999999999999996	linear	cashout	10	red	0.5	0.5	NA	NA
26.018	0.535	2	6	cashout	5	NA	NA	linear	cashout	10	red	0.6	0.5	NA	NA
32.666	1.07	3	1	pump	12	-4.78125	-8.63636363636364	control	control	12	grey	0	0	NA	NA
35.765	0.614	3	2	pump	12	-3.78125	-7.63636363636364	control	control	12	grey	0	0	NA	NA
37.614	0.895	3	3	pump	12	-2.78125	-6.63636363636364	control	control	12	grey	0	0	NA	NA
40.23	0.7	3	4	pump	12	-1.78125	-5.63636363636364	control	control	12	grey	0	0	NA	NA
42.729	0.497	3	5	pump	12	-0.78125	-4.63636363636364	control	control	12	grey	0	0	NA	NA
44.362	0.751	3	6	pump	12	0.21875	-3.63636363636364	control	control	12	grey	0	0	NA	NA
46.461	0.8	3	7	pump	12	1.21875	-2.63636363636364	control	control	12	grey	0	0	NA	NA
48.694	0.729	3	8	pump	12	2.21875	-1.63636363636364	control	control	12	grey	0	0	NA	NA
50.826	0.911	3	9	pump	12	3.21875	-0.636363636363637	control	control	12	grey	0	0	NA	NA
53.125	0.863	3	10	pump	12	4.21875	0.363636363636363	control	control	12	grey	0	0	NA	NA
55.408	0.648	3	11	pump	12	5.21875	1.36363636363636	control	control	12	grey	0	0	NA	NA
57.441	0.755	3	12	pump	12	6.21875	2.36363636363636	control	control	12	grey	0	0	NA	NA
67.904	0.888	4	1	pump	5	-4.78125	-8.63636363636364	control	control	5	grey	0	0	NA	NA
69.87	1.776	4	2	pump	5	-3.78125	-7.63636363636364	control	control	5	grey	0	0	NA	NA
73.485	0.618	4	3	pump	5	-2.78125	-6.63636363636364	control	control	5	grey	0	0	NA	NA
75.451	0.971	4	4	pump	5	-1.78125	-5.63636363636364	control	control	5	grey	0	0	NA	NA
77.684	0.772	4	5	pump	5	-0.78125	-4.63636363636364	control	control	5	grey	0	0	NA	NA
83.099	0.67	5	1	pump	6	-4.78125	-3.9	linear	explosion	6	red	0.1	0	NA	NA
85.531	0.613	5	2	pump	6	-3.78125	-2.9	linear	explosion	6	red	0.2	0	NA	NA
88.064	0.754	5	3	pump	6	-2.78125	-1.9	linear	explosion	6	red	0.3	0	NA	NA
90.846	0.747	5	4	pump	6	-1.78125	-0.9	linear	explosion	6	red	0.4	0	NA	NA
