onset	duration	trial	trial_id	choice	choice_bin	magnitude_sooner	delay_sooner	magnitude_later	delay_later	onset_choice_fb	duration_choice_fb
16.979	4.223	1	60	SS	1	6.45	2	7.1	6	21.227	1.5
28.691	3.531	2	61	LL	2	18.24	2	20.97	6	32.24	1.5
44.436	5	3	39	NA	NA	14.56	2	19.66	4	NA	NA
51.334	2.629	4	10	SS	1	21.66	0	22.31	2	53.983	1.5
60.397	2.138	5	68	SS	1	25.55	4	28.11	6	62.547	1.5
66.895	2.873	6	40	LL	2	12.44	2	18.66	4	69.794	1.5
74.143	3.634	7	5	SS	1	32.79	0	37.71	2	77.791	1.5
80.574	2.096	8	50	SS	1	20.53	2	21.14	6	82.69	1.5
86.888	2.023	9	74	SS	1	13.42	4	13.82	6	88.938	1.5
94.003	1.972	10	71	SS	1	10.98	4	14.83	6	96.002	1.5
101.1	2.401	11	1	SS	1	37.69	0	38.07	2	103.516	1.5
106.982	2.32	12	78	SS	1	18.61	4	23.27	6	109.314	1.5
115.212	2.504	13	53	SS	1	35.19	2	40.46	6	117.728	1.5
121.277	2.146	14	76	SS	1	22.92	4	25.21	6	123.443	1.5
128.974	2.09	15	64	LL	2	26.95	2	40.42	6	131.09	1.5
134.822	2.228	16	72	LL	2	29.27	4	43.91	6	137.071	1.5
142.653	2.651	17	26	SS	1	38.48	0	39.63	4	145.319	1.5
151.716	2.183	18	24	LL	2	11.37	0	17.06	4	153.916	1.5
159.78	2.278	19	21	SS	1	19.12	0	21.99	4	162.08	1.5
168.744	1.808	20	30	LL	2	25.92	0	32.4	4	170.577	1.5
173.176	2.335	21	55	SS	1	29.45	2	39.75	6	175.525	1.5
180.573	2.011	22	65	SS	1	13.22	4	13.35	6	182.606	1.5
185.688	1.752	23	66	SS	1	11.96	4	12.32	6	187.454	1.5
192.653	1.778	24	67	SS	1	6.26	4	6.57	6	194.452	1.5
199.484	2.047	25	57	SS	1	28.25	2	28.53	6	201.55	1.5
208.714	1.808	26	52	SS	1	30.66	2	33.73	6	210.547	1.5
214.612	1.896	27	7	SS	1	19.45	0	26.26	2	216.528	1.5
220.76	2.104	28	11	SS	1	24.85	0	26.09	2	222.876	1.5
233.239	2.146	29	69	SS	1	22.62	4	26.01	6	235.405	1.5
