onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.05	0.511	1	1	pump	2	-5.58620689655172	-2.8	linear	explosion	2	red	0.1	0	NA	NA
6.483	0.78	1	2	pump	2	NA	NA	linear	explosion	2	red	0.2	0	8.949	2
14.249	0.756	2	1	pump	3	-5.58620689655172	-4.9	exponential	cashout	9	blue	0.01	0.1	NA	NA
16.999	0.85	2	2	pump	3	-4.58620689655172	-3.9	exponential	cashout	9	blue	0.0428709385014517	0.1	NA	NA
19.849	1.214	2	3	pump	3	-3.58620689655172	-2.9	exponential	cashout	9	blue	0.100451085663051	0.1	NA	NA
22.382	0.688	2	4	cashout	3	NA	NA	exponential	cashout	9	blue	0.183791736799526	0.1	NA	NA
29.999	0.911	3	1	pump	14	-5.58620689655172	-9.44444444444444	control	control	14	grey	0	0	NA	NA
32.615	0.45	3	2	pump	14	-4.58620689655172	-8.44444444444444	control	control	14	grey	0	0	NA	NA
34.899	0.829	3	3	pump	14	-3.58620689655172	-7.44444444444444	control	control	14	grey	0	0	NA	NA
37.565	0.737	3	4	pump	14	-2.58620689655172	-6.44444444444444	control	control	14	grey	0	0	NA	NA
40.049	0.716	3	5	pump	14	-1.58620689655172	-5.44444444444444	control	control	14	grey	0	0	NA	NA
42.699	0.807	3	6	pump	14	-0.586206896551724	-4.44444444444444	control	control	14	grey	0	0	NA	NA
45.132	0.985	3	7	pump	14	0.413793103448276	-3.44444444444444	control	control	14	grey	0	0	NA	NA
47.799	1.055	3	8	pump	14	1.41379310344828	-2.44444444444444	control	control	14	grey	0	0	NA	NA
50.265	1.02	3	9	pump	14	2.41379310344828	-1.44444444444444	control	control	14	grey	0	0	NA	NA
53.084	0.861	3	10	pump	14	3.41379310344828	-0.444444444444445	control	control	14	grey	0	0	NA	NA
55.866	0.806	3	11	pump	14	4.41379310344828	0.555555555555555	control	control	14	grey	0	0	NA	NA
57.832	1.321	3	12	pump	14	5.41379310344828	1.55555555555556	control	control	14	grey	0	0	NA	NA
60.882	0.765	3	13	pump	14	6.41379310344828	2.55555555555556	control	control	14	grey	0	0	NA	NA
63.282	0.715	3	14	pump	14	7.41379310344828	3.55555555555556	control	control	14	grey	0	0	NA	NA
74.715	0.832	4	1	pump	5	-5.58620689655172	-2.8	linear	cashout	15	red	0.1	0.5	NA	NA
77.465	0.744	4	2	pump	5	-4.58620689655172	-1.8	linear	cashout	15	red	0.2	0.5	NA	NA
80.149	0.954	4	3	pump	5	-3.58620689655172	-0.8	linear	cashout	15	red	0.3	0.5	NA	NA
83.099	1.16	4	4	pump	5	-2.58620689655172	0.2	linear	cashout	15	red	0.4	0.5	NA	NA
85.749	2.299	4	5	pump	5	-1.58620689655172	1.2	linear	cashout	15	red	0.5	0.5	NA	NA
89.732	1.24	4	6	cashout	5	NA	NA	linear	cashout	15	red	0.6	0.5	NA	NA
96.932	0.734	5	1	pump	8	-5.58620689655172	-4.9	exponential	cashout	12	blue	0.01	0.79	NA	NA
99.749	0.345	5	2	pump	8	-4.58620689655172	-3.9	exponential	cashout	12	blue	0.0428709385014517	0.79	NA	NA
102.05	0.504	5	3	pump	8	-3.58620689655172	-2.9	exponential	cashout	12	blue	0.100451085663051	0.79	NA	NA
104.349	0.455	5	4	pump	8	-2.58620689655172	-1.9	exponential	cashout	12	blue	0.183791736799526	0.79	NA	NA
105.999	0.536	5	5	pump	8	-1.58620689655172	-0.9	exponential	cashout	12	blue	0.293654735772005	0.79	NA	NA
108.232	0.779	5	6	pump	8	-0.586206896551724	0.0999999999999996	exponential	cashout	12	blue	0.430643231586474	0.79	NA	NA
110.465	0.714	5	7	pump	8	0.413793103448276	1.1	exponential	cashout	12	blue	0.595258881579143	0.79	NA	NA
112.815	0.849	5	8	pump	8	1.41379310344828	2.1	exponential	cashout	12	blue	0.787932424540747	0.79	NA	NA
115.165	0.551	5	9	cashout	8	NA	NA	exponential	cashout	12	blue	1.00904206108857	0.79	NA	NA
122.115	0.687	6	1	pump	10	-5.58620689655172	-9.44444444444444	control	control	10	grey	0	0	NA	NA
123.965	0.325	6	2	pump	10	-4.58620689655172	-8.44444444444444	control	control	10	grey	0	0	NA	NA
126.059	0.211	6	3	pump	10	-3.58620689655172	-7.44444444444444	control	control	10	grey	0	0	NA	NA
127.682	0.289	6	4	pump	10	-2.58620689655172	-6.44444444444444	control	control	10	grey	0	0	NA	NA
129.532	0.282	6	5	pump	10	-1.58620689655172	-5.44444444444444	control	control	10	grey	0	0	NA	NA
131.482	0.582	6	6	pump	10	-0.586206896551724	-4.44444444444444	control	control	10	grey	0	0	NA	NA
133.299	0.682	6	7	pump	10	0.413793103448276	-3.44444444444444	control	control	10	grey	0	0	NA	NA
135.065	0.661	6	8	pump	10	1.41379310344828	-2.44444444444444	control	control	10	grey	0	0	NA	NA
137.782	0.727	6	9	pump	10	2.41379310344828	-1.44444444444444	control	control	10	grey	0	0	NA	NA
140.349	0.539	6	10	pump	10	3.41379310344828	-0.444444444444445	control	control	10	grey	0	0	NA	NA
149.917	0.862	7	1	pump	14	-5.58620689655172	-9.44444444444444	control	control	14	grey	0	0	NA	NA
151.967	0.516	7	2	pump	14	-4.58620689655172	-8.44444444444444	control	control	14	grey	0	0	NA	NA
153.983	0.301	7	3	pump	14	-3.58620689655172	-7.44444444444444	control	control	14	grey	0	0	NA	NA
155.782	0.316	7	4	pump	14	-2.58620689655172	-6.44444444444444	control	control	14	grey	0	0	NA	NA
157.749	0.328	7	5	pump	14	-1.58620689655172	-5.44444444444444	control	control	14	grey	0	0	NA	NA
159.832	0.34	7	6	pump	14	-0.586206896551724	-4.44444444444444	control	control	14	grey	0	0	NA	NA
162.015	0.402	7	7	pump	14	0.413793103448276	-3.44444444444444	control	control	14	grey	0	0	NA	NA
163.815	0.323	7	8	pump	14	1.41379310344828	-2.44444444444444	control	control	14	grey	0	0	NA	NA
166.115	0.304	7	9	pump	14	2.41379310344828	-1.44444444444444	control	control	14	grey	0	0	NA	NA
168.332	0.264	7	10	pump	14	3.41379310344828	-0.444444444444445	control	control	14	grey	0	0	NA	NA
170.299	0.56	7	11	pump	14	4.41379310344828	0.555555555555555	control	control	14	grey	0	0	NA	NA
172.399	0.463	7	12	pump	14	5.41379310344828	1.55555555555556	control	control	14	grey	0	0	NA	NA
174.915	1.08	7	13	pump	14	6.41379310344828	2.55555555555556	control	control	14	grey	0	0	NA	NA
177.882	0.606	7	14	pump	14	7.41379310344828	3.55555555555556	control	control	14	grey	0	0	NA	NA
186.899	0.837	8	1	pump	9	-5.58620689655172	-2.8	linear	explosion	9	red	0.1	0	NA	NA
189.199	0.347	8	2	pump	9	-4.58620689655172	-1.8	linear	explosion	9	red	0.2	0	NA	NA
191.515	0.273	8	3	pump	9	-3.58620689655172	-0.8	linear	explosion	9	red	0.3	0	NA	NA
193.399	0.338	8	4	pump	9	-2.58620689655172	0.2	linear	explosion	9	red	0.4	0	NA	NA
195.465	0.626	8	5	pump	9	-1.58620689655172	1.2	linear	explosion	9	red	0.5	0	NA	NA
197.982	0.524	8	6	pump	9	-0.586206896551724	2.2	linear	explosion	9	red	0.6	0	NA	NA
199.584	0.483	8	7	pump	9	0.413793103448276	3.2	linear	explosion	9	red	0.7	0	NA	NA
201.5	0.702	8	8	pump	9	1.41379310344828	4.2	linear	explosion	9	red	0.8	0	NA	NA
203.316	0.441	8	9	pump	9	NA	NA	linear	explosion	9	red	0.9	0	205.649	2
210.382	0.47	9	1	pump	11	-5.58620689655172	-4.9	exponential	cashout	12	blue	0.01	1.54	NA	NA
212.613	0.255	9	2	pump	11	-4.58620689655172	-3.9	exponential	cashout	12	blue	0.0428709385014517	1.54	NA	NA
214.432	0.379	9	3	pump	11	-3.58620689655172	-2.9	exponential	cashout	12	blue	0.100451085663051	1.54	NA	NA
216.282	0.315	9	4	pump	11	-2.58620689655172	-1.9	exponential	cashout	12	blue	0.183791736799526	1.54	NA	NA
