onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.065	1.081	1	1	pump	7	-6.37931034482759	-6	exponential	explosion	7	red	0.01	0	NA	NA
6.765	0.284	1	2	pump	7	-5.37931034482759	-5	exponential	explosion	7	red	0.0428709385014517	0	NA	NA
8.483	0.255	1	3	pump	7	-4.37931034482759	-4	exponential	explosion	7	red	0.100451085663051	0	NA	NA
10.466	0.242	1	4	pump	7	-3.37931034482759	-3	exponential	explosion	7	red	0.183791736799526	0	NA	NA
12.099	0.256	1	5	pump	7	-2.37931034482759	-2	exponential	explosion	7	red	0.293654735772005	0	NA	NA
14.281	0.304	1	6	pump	7	-1.37931034482759	-1	exponential	explosion	7	red	0.430643231586474	0	NA	NA
16.315	0.649	1	7	pump	7	NA	NA	exponential	explosion	7	red	0.595258881579143	0	18.097	2
21.748	0.336	2	1	pump	3	-6.37931034482759	-8.4	control	control	3	grey	0	0	NA	NA
23.181	0.235	2	2	pump	3	-5.37931034482759	-7.4	control	control	3	grey	0	0	NA	NA
24.781	0.418	2	3	pump	3	-4.37931034482759	-6.4	control	control	3	grey	0	0	NA	NA
36.448	0.482	3	1	pump	5	-6.37931034482759	-4.7	linear	explosion	5	blue	0.1	0	NA	NA
38.731	0.432	3	2	pump	5	-5.37931034482759	-3.7	linear	explosion	5	blue	0.2	0	NA	NA
40.256	0.233	3	3	pump	5	-4.37931034482759	-2.7	linear	explosion	5	blue	0.3	0	NA	NA
42.031	0.246	3	4	pump	5	-3.37931034482759	-1.7	linear	explosion	5	blue	0.4	0	NA	NA
44.031	0.27	3	5	pump	5	NA	NA	linear	explosion	5	blue	0.5	0	46.181	2
58.766	0.436	4	1	pump	2	-6.37931034482759	-4.7	linear	explosion	2	blue	0.1	0	NA	NA
60.382	0.283	4	2	pump	2	NA	NA	linear	explosion	2	blue	0.2	0	62.548	2
67.465	0.481	5	1	pump	6	-6.37931034482759	-6	exponential	explosion	6	red	0.01	0	NA	NA
69.948	0.332	5	2	pump	6	-5.37931034482759	-5	exponential	explosion	6	red	0.0428709385014517	0	NA	NA
72.081	0.358	5	3	pump	6	-4.37931034482759	-4	exponential	explosion	6	red	0.100451085663051	0	NA	NA
74.415	0.367	5	4	pump	6	-3.37931034482759	-3	exponential	explosion	6	red	0.183791736799526	0	NA	NA
76.781	0.313	5	5	pump	6	-2.37931034482759	-2	exponential	explosion	6	red	0.293654735772005	0	NA	NA
78.281	0.513	5	6	pump	6	NA	NA	exponential	explosion	6	red	0.430643231586474	0	79.881	2
89.415	0.97	6	1	pump	13	-6.37931034482759	-8.4	control	control	13	grey	0	0	NA	NA
91.722	0.22	6	2	pump	13	-5.37931034482759	-7.4	control	control	13	grey	0	0	NA	NA
93.865	0.378	6	3	pump	13	-4.37931034482759	-6.4	control	control	13	grey	0	0	NA	NA
95.398	0.537	6	4	pump	13	-3.37931034482759	-5.4	control	control	13	grey	0	0	NA	NA
97.098	0.838	6	5	pump	13	-2.37931034482759	-4.4	control	control	13	grey	0	0	NA	NA
99.731	0.334	6	6	pump	13	-1.37931034482759	-3.4	control	control	13	grey	0	0	NA	NA
101.481	1.582	6	7	pump	13	-0.379310344827586	-2.4	control	control	13	grey	0	0	NA	NA
104.681	0.302	6	8	pump	13	0.620689655172414	-1.4	control	control	13	grey	0	0	NA	NA
106.565	0.268	6	9	pump	13	1.62068965517241	-0.4	control	control	13	grey	0	0	NA	NA
107.948	0.293	6	10	pump	13	2.62068965517241	0.6	control	control	13	grey	0	0	NA	NA
109.782	0.303	6	11	pump	13	3.62068965517241	1.6	control	control	13	grey	0	0	NA	NA
111.265	0.394	6	12	pump	13	4.62068965517241	2.6	control	control	13	grey	0	0	NA	NA
112.865	0.278	6	13	pump	13	5.62068965517241	3.6	control	control	13	grey	0	0	NA	NA
118.981	0.392	7	1	pump	9	-6.37931034482759	-8.4	control	control	9	grey	0	0	NA	NA
121.315	0.331	7	2	pump	9	-5.37931034482759	-7.4	control	control	9	grey	0	0	NA	NA
122.848	0.26	7	3	pump	9	-4.37931034482759	-6.4	control	control	9	grey	0	0	NA	NA
125.165	0.242	7	4	pump	9	-3.37931034482759	-5.4	control	control	9	grey	0	0	NA	NA
127.415	0.259	7	5	pump	9	-2.37931034482759	-4.4	control	control	9	grey	0	0	NA	NA
129.631	0.282	7	6	pump	9	-1.37931034482759	-3.4	control	control	9	grey	0	0	NA	NA
131.098	0.351	7	7	pump	9	-0.379310344827586	-2.4	control	control	9	grey	0	0	NA	NA
133.148	0.356	7	8	pump	9	0.620689655172414	-1.4	control	control	9	grey	0	0	NA	NA
135.365	0.31	7	9	pump	9	1.62068965517241	-0.4	control	control	9	grey	0	0	NA	NA
141.898	0.632	8	1	pump	5	-6.37931034482759	-4.7	linear	cashout	11	blue	0.1	0.5	NA	NA
143.898	0.283	8	2	pump	5	-5.37931034482759	-3.7	linear	cashout	11	blue	0.2	0.5	NA	NA
145.748	0.278	8	3	pump	5	-4.37931034482759	-2.7	linear	cashout	11	blue	0.3	0.5	NA	NA
147.615	0.291	8	4	pump	5	-3.37931034482759	-1.7	linear	cashout	11	blue	0.4	0.5	NA	NA
149.015	0.75	8	5	pump	5	-2.37931034482759	-0.7	linear	cashout	11	blue	0.5	0.5	NA	NA
151.248	0.485	8	6	cashout	5	NA	NA	linear	cashout	11	blue	0.6	0.5	NA	NA
161.781	0.399	9	1	pump	6	-6.37931034482759	-6	exponential	cashout	7	red	0.01	0.43	NA	NA
163.981	0.368	9	2	pump	6	-5.37931034482759	-5	exponential	cashout	7	red	0.0428709385014517	0.43	NA	NA
166.348	0.287	9	3	pump	6	-4.37931034482759	-4	exponential	cashout	7	red	0.100451085663051	0.43	NA	NA
168.262	0.42	9	4	pump	6	-3.37931034482759	-3	exponential	cashout	7	red	0.183791736799526	0.43	NA	NA
170.465	0.46	9	5	pump	6	-2.37931034482759	-2	exponential	cashout	7	red	0.293654735772005	0.43	NA	NA
172.515	0.429	9	6	pump	6	-1.37931034482759	-1	exponential	cashout	7	red	0.430643231586474	0.43	NA	NA
174.315	1.809	9	7	cashout	6	NA	NA	exponential	cashout	7	red	0.595258881579143	0.43	NA	NA
182.431	0.327	10	1	pump	6	-6.37931034482759	-6	exponential	cashout	13	red	0.01	0.43	NA	NA
184.115	0.283	10	2	pump	6	-5.37931034482759	-5	exponential	cashout	13	red	0.0428709385014517	0.43	NA	NA
186.098	0.253	10	3	pump	6	-4.37931034482759	-4	exponential	cashout	13	red	0.100451085663051	0.43	NA	NA
187.565	0.277	10	4	pump	6	-3.37931034482759	-3	exponential	cashout	13	red	0.183791736799526	0.43	NA	NA
189.498	0.712	10	5	pump	6	-2.37931034482759	-2	exponential	cashout	13	red	0.293654735772005	0.43	NA	NA
191.531	0.469	10	6	pump	6	-1.37931034482759	-1	exponential	cashout	13	red	0.430643231586474	0.43	NA	NA
193.898	0.303	10	7	cashout	6	NA	NA	exponential	cashout	13	red	0.595258881579143	0.43	NA	NA
201.215	0.564	11	1	pump	10	-6.37931034482759	-8.4	control	control	10	grey	0	0	NA	NA
203.598	0.257	11	2	pump	10	-5.37931034482759	-7.4	control	control	10	grey	0	0	NA	NA
205.85	0.225	11	3	pump	10	-4.37931034482759	-6.4	control	control	10	grey	0	0	NA	NA
207.682	0.243	11	4	pump	10	-3.37931034482759	-5.4	control	control	10	grey	0	0	NA	NA
209.915	0.083	11	5	pump	10	-2.37931034482759	-4.4	control	control	10	grey	0	0	NA	NA
211.348	0.257	11	6	pump	10	-1.37931034482759	-3.4	control	control	10	grey	0	0	NA	NA
213.515	0.333	11	7	pump	10	-0.379310344827586	-2.4	control	control	10	grey	0	0	NA	NA
215.665	0.262	11	8	pump	10	0.620689655172414	-1.4	control	control	10	grey	0	0	NA	NA
217.681	0.254	11	9	pump	10	1.62068965517241	-0.4	control	control	10	grey	0	0	NA	NA
219.445	0.277	11	10	pump	10	2.62068965517241	0.6	control	control	10	grey	0	0	NA	NA
225.348	0.47	12	1	pump	7	-6.37931034482759	-4.7	linear	cashout	9	blue	0.1	0.7	NA	NA
227.248	0.399	12	2	pump	7	-5.37931034482759	-3.7	linear	cashout	9	blue	0.2	0.7	NA	NA
229.458	0.313	12	3	pump	7	-4.37931034482759	-2.7	linear	cashout	9	blue	0.3	0.7	NA	NA
231.248	0.371	12	4	pump	7	-3.37931034482759	-1.7	linear	cashout	9	blue	0.4	0.7	NA	NA
233.281	0.278	12	5	pump	7	-2.37931034482759	-0.7	linear	cashout	9	blue	0.5	0.7	NA	NA
235.465	0.759	12	6	pump	7	-1.37931034482759	0.3	linear	cashout	9	blue	0.6	0.7	NA	NA
