onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.058	2.109	1	1	pump	11	-5.8	-8.6	exponential	cashout	15	blue	0.01	1.54	NA	NA
7.358	0.543	1	2	pump	11	-4.8	-7.6	exponential	cashout	15	blue	0.0428709385014517	1.54	NA	NA
9.242	0.369	1	3	pump	11	-3.8	-6.6	exponential	cashout	15	blue	0.100451085663051	1.54	NA	NA
10.942	0.359	1	4	pump	11	-2.8	-5.6	exponential	cashout	15	blue	0.183791736799526	1.54	NA	NA
12.742	0.388	1	5	pump	11	-1.8	-4.6	exponential	cashout	15	blue	0.293654735772005	1.54	NA	NA
14.842	0.431	1	6	pump	11	-0.8	-3.6	exponential	cashout	15	blue	0.430643231586474	1.54	NA	NA
16.858	0.397	1	7	pump	11	0.2	-2.6	exponential	cashout	15	blue	0.595258881579143	1.54	NA	NA
18.608	0.517	1	8	pump	11	1.2	-1.6	exponential	cashout	15	blue	0.787932424540747	1.54	NA	NA
20.625	0.415	1	9	pump	11	2.2	-0.6	exponential	cashout	15	blue	1.00904206108857	1.54	NA	NA
22.808	0.512	1	10	pump	11	3.2	0.4	exponential	cashout	15	blue	1.25892541179417	1.54	NA	NA
24.592	0.514	1	11	pump	11	4.2	1.4	exponential	cashout	15	blue	1.53788775440427	1.54	NA	NA
27.108	0.677	1	12	cashout	11	NA	NA	exponential	cashout	15	blue	1.84620794974101	1.54	NA	NA
32.676	1.105	2	1	pump	2	-5.8	-5.6	control	control	2	grey	0	0	NA	NA
35.408	0.424	2	2	pump	2	-4.8	-4.6	control	control	2	grey	0	0	NA	NA
39.692	0.949	3	1	pump	4	-5.8	-3.2	linear	explosion	4	red	0.1	0	NA	NA
42.658	0.812	3	2	pump	4	-4.8	-2.2	linear	explosion	4	red	0.2	0	NA	NA
44.925	0.53	3	3	pump	4	-3.8	-1.2	linear	explosion	4	red	0.3	0	NA	NA
47.342	0.384	3	4	pump	4	NA	NA	linear	explosion	4	red	0.4	0	48.958	2
52.742	0.797	4	1	pump	6	-5.8	-3.2	linear	cashout	10	red	0.1	0.6	NA	NA
55.075	0.373	4	2	pump	6	-4.8	-2.2	linear	cashout	10	red	0.2	0.6	NA	NA
56.675	0.336	4	3	pump	6	-3.8	-1.2	linear	cashout	10	red	0.3	0.6	NA	NA
58.675	0.382	4	4	pump	6	-2.8	-0.2	linear	cashout	10	red	0.4	0.6	NA	NA
60.758	0.406	4	5	pump	6	-1.8	0.8	linear	cashout	10	red	0.5	0.6	NA	NA
62.725	0.541	4	6	pump	6	-0.8	1.8	linear	cashout	10	red	0.6	0.6	NA	NA
64.392	0.637	4	7	cashout	6	NA	NA	linear	cashout	10	red	0.7	0.6	NA	NA
74.459	0.815	5	1	pump	12	-5.8	-8.6	exponential	cashout	15	blue	0.01	1.85	NA	NA
77.292	0.465	5	2	pump	12	-4.8	-7.6	exponential	cashout	15	blue	0.0428709385014517	1.85	NA	NA
79.643	0.416	5	3	pump	12	-3.8	-6.6	exponential	cashout	15	blue	0.100451085663051	1.85	NA	NA
