onset	duration	trial	trial_id	choice	choice_bin	magnitude_sooner	delay_sooner	magnitude_later	delay_later	onset_choice_fb	duration_choice_fb
14.062	3.592	1	72	LL	2	29.27	4	43.91	6	17.677	1.5
22.077	1.658	2	61	SS	1	18.24	2	20.97	6	23.76	1.5
29.277	2.206	3	37	SS	1	17.36	2	19.96	4	31.51	1.5
40.643	2.207	4	13	SS	1	16.21	0	18.64	2	42.877	1.5
48.127	2.372	5	59	SS	1	11.17	2	11.73	6	50.527	1.5
54.26	2.769	6	62	SS	1	25.3	2	31.63	6	57.06	1.5
62.362	2.483	7	55	LL	2	29.45	2	39.75	6	64.861	1.5
73.327	3.31	8	80	LL	2	9.39	4	14.08	6	76.66	1.5
81.46	3.292	9	38	LL	2	32.44	2	40.55	4	84.777	1.5
88.46	1.776	10	3	SS	1	10.51	0	11.04	2	90.26	1.5
95.46	2.375	11	24	SS	1	11.37	0	17.06	4	97.86	1.5
102.16	1.711	12	18	SS	1	5.78	0	5.95	4	103.91	1.5
111.712	1.761	13	75	SS	1	20.18	4	21.19	6	113.495	1.5
117.56	2.473	14	26	SS	1	38.48	0	39.63	4	120.06	1.5
127.26	2.323	15	47	SS	1	20.07	2	27.1	4	129.61	1.5
136.077	3.002	16	17	SS	1	22.32	0	22.55	4	139.11	1.5
144.793	2.445	17	58	SS	1	12.69	2	13.07	6	147.26	1.5
156.293	2.327	18	49	SS	1	23.7	2	23.94	6	158.66	1.5
166.793	1.7	19	35	SS	1	20.14	2	21.15	4	168.51	1.5
174.41	1.787	20	67	SS	1	6.26	4	6.57	6	176.227	1.5
180.693	2.154	21	71	SS	1	10.98	4	14.83	6	182.877	1.5
187.627	2.874	22	42	SS	1	9.5	2	9.79	4	190.527	1.5
203.077	2.381	23	32	SS	1	11.53	0	17.29	4	205.494	1.5
209.629	2.902	24	76	SS	1	22.92	4	25.21	6	212.545	1.5
219.825	1.53	25	28	SS	1	6.41	0	7.05	4	221.377	1.5
225.827	2.669	26	33	SS	1	25.56	2	25.82	4	228.527	1.5
235.86	2.683	27	50	SS	1	20.53	2	21.14	6	238.577	1.5
245.26	3.732	28	53	SS	1	35.19	2	40.46	6	249.027	1.5
260.845	3.114	29	8	LL	2	14.49	0	21.74	2	263.977	1.5
268.527	2.864	30	14	LL	2	27.84	0	34.8	2	271.41	1.5
274.144	4.114	31	65	SS	1	13.22	4	13.35	6	278.277	1.5
284.244	1.926	32	4	SS	1	13.42	0	14.77	2	286.194	1.5
289.977	3.755	33	12	SS	1	21.96	0	24.16	2	293.76	1.5
297.144	2.85	34	30	SS	1	25.92	0	32.4	4	300.027	1.5
307.712	2.28	35	54	SS	1	14.88	2	18.61	6	310.012	1.5
315.744	4.146	36	15	LL	2	16.47	0	22.24	2	319.91	1.5
322.557	4.525	37	7	SS	1	19.45	0	26.26	2	327.11	1.5
336.694	2.427	38	78	SS	1	18.61	4	23.27	6	339.144	1.5
347.277	1.546	39	74	SS	1	13.42	4	13.82	6	348.86	1.5
352.727	2.722	40	73	SS	1	9.59	4	9.68	6	355.477	1.5
365.527	2.878	41	22	SS	1	18.4	0	23	4	368.427	1.5
376.594	3.437	42	69	SS	1	22.62	4	26.01	6	380.061	1.5
384.727	1.78	43	23	SS	1	6.11	0	8.25	4	386.527	1.5
395.077	3.531	44	45	LL	2	36.8	2	42.32	4	398.644	1.5
406.712	5	45	29	NA	NA	32.7	0	37.6	4	NA	NA
417.977	1.936	46	27	SS	1	22.78	0	23.92	4	419.941	1.5
424.094	1.462	47	25	SS	1	9.89	0	9.99	4	425.577	1.5
429.977	2.083	48	2	SS	1	24.28	0	25	2	432.094	1.5
435.377	2.582	49	1	SS	1	37.69	0	38.07	2	437.994	1.5
440.744	1.275	50	60	SS	1	6.45	2	7.1	6	442.044	1.5
446.011	1.768	51	68	SS	1	25.55	4	28.11	6	447.811	1.5
451.227	2.111	52	63	LL	2	25.61	2	34.57	6	453.377	1.5
457.412	1.586	53	21	SS	1	19.12	0	21.99	4	459.011	1.5
463.044	3.462	54	48	LL	2	22.77	2	34.16	4	466.527	1.5
477.039	4.126	55	5	SS	1	32.79	0	37.71	2	481.194	1.5
484.877	2.477	56	51	LL	2	37.85	2	39.74	6	487.377	1.5
493.65	2.69	57	40	SS	1	12.44	2	18.66	4	496.377	1.5
501.611	2.101	58	11	SS	1	24.85	0	26.09	2	503.744	1.5
513.477	3.593	59	70	SS	1	25.9	4	32.37	6	517.094	1.5
523.261	2.935	60	10	SS	1	21.66	0	22.31	2	526.227	1.5
531.794	1.711	61	44	SS	1	22.39	2	24.62	4	533.527	1.5
537.477	1.844	62	34	SS	1	7.42	2	7.64	4	539.344	1.5
543.927	2.06	63	57	SS	1	28.25	2	28.53	6	546.015	1.5
549.744	4.504	64	66	SS	1	11.96	4	12.32	6	554.263	1.5
556.962	2.078	65	46	SS	1	30.77	2	38.46	4	559.061	1.5
563.961	1.864	66	56	LL	2	26.96	2	40.44	6	565.844	1.5
575.594	1.542	67	19	SS	1	28.48	0	29.91	4	577.161	1.5
581.228	1.83	68	77	SS	1	25.13	4	28.9	6	583.078	1.5
588.028	1.565	69	9	SS	1	22.32	0	22.54	2	589.628	1.5
594.078	2.338	70	36	SS	1	18.11	2	19.92	4	596.444	1.5
602.646	1.333	71	79	SS	1	14.58	4	19.68	6	603.996	1.5
609.628	2.27	72	41	SS	1	11.65	2	11.77	4	611.926	1.5
616.608	2.769	73	31	LL	2	23.44	0	31.64	4	619.394	1.5
627.094	3.489	74	16	LL	2	19.29	0	28.94	2	630.611	1.5
634.828	4.878	75	64	LL	2	26.95	2	40.42	6	639.734	1.5
648.528	1.775	76	6	SS	1	10.5	0	13.13	2	650.344	1.5
654.929	3.364	77	39	SS	1	14.56	2	19.66	4	658.311	1.5
670.011	1.752	78	20	SS	1	30.4	0	33.44	4	671.794	1.5
682.094	1.952	79	52	SS	1	30.66	2	33.73	6	684.078	1.5
695.261	3.301	80	43	SS	1	24.99	2	26.24	4	698.594	1.5
