onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.063	1.772	1	1	pump	10	-6.46428571428571	-8.3	control	control	10	grey	0	0	NA	NA
7.413	1.13	1	2	pump	10	-5.46428571428571	-7.3	control	control	10	grey	0	0	NA	NA
10.088	0.729	1	3	pump	10	-4.46428571428571	-6.3	control	control	10	grey	0	0	NA	NA
11.996	0.673	1	4	pump	10	-3.46428571428571	-5.3	control	control	10	grey	0	0	NA	NA
13.796	0.524	1	5	pump	10	-2.46428571428571	-4.3	control	control	10	grey	0	0	NA	NA
15.786	0.477	1	6	pump	10	-1.46428571428571	-3.3	control	control	10	grey	0	0	NA	NA
17.396	0.44	1	7	pump	10	-0.464285714285714	-2.3	control	control	10	grey	0	0	NA	NA
19.513	0.428	1	8	pump	10	0.535714285714286	-1.3	control	control	10	grey	0	0	NA	NA
21.78	0.453	1	9	pump	10	1.53571428571429	-0.300000000000001	control	control	10	grey	0	0	NA	NA
23.913	0.401	1	10	pump	10	2.53571428571429	0.699999999999999	control	control	10	grey	0	0	NA	NA
28.213	0.599	2	1	pump	5	-6.46428571428571	-4.33333333333333	exponential	cashout	7	blue	0.01	0.29	NA	NA
30.498	0.459	2	2	pump	5	-5.46428571428571	-3.33333333333333	exponential	cashout	7	blue	0.0428709385014517	0.29	NA	NA
32.731	0.507	2	3	pump	5	-4.46428571428571	-2.33333333333333	exponential	cashout	7	blue	0.100451085663051	0.29	NA	NA
34.38	0.6	2	4	pump	5	-3.46428571428571	-1.33333333333333	exponential	cashout	7	blue	0.183791736799526	0.29	NA	NA
36.08	0.557	2	5	pump	5	-2.46428571428571	-0.333333333333333	exponential	cashout	7	blue	0.293654735772005	0.29	NA	NA
37.963	2.302	2	6	cashout	5	NA	NA	exponential	cashout	7	blue	0.430643231586474	0.29	NA	NA
49.08	0.468	3	1	pump	6	-6.46428571428571	-6.55555555555556	linear	cashout	13	red	0.1	0.6	NA	NA
51.113	0.436	3	2	pump	6	-5.46428571428571	-5.55555555555556	linear	cashout	13	red	0.2	0.6	NA	NA
53.346	0.472	3	3	pump	6	-4.46428571428571	-4.55555555555556	linear	cashout	13	red	0.3	0.6	NA	NA
55.296	0.587	3	4	pump	6	-3.46428571428571	-3.55555555555556	linear	cashout	13	red	0.4	0.6	NA	NA
57.58	0.611	3	5	pump	6	-2.46428571428571	-2.55555555555556	linear	cashout	13	red	0.5	0.6	NA	NA
59.513	0.47	3	6	pump	6	-1.46428571428571	-1.55555555555556	linear	cashout	13	red	0.6	0.6	NA	NA
61.83	1.197	3	7	cashout	6	NA	NA	linear	cashout	13	red	0.7	0.6	NA	NA
77.58	0.552	4	1	pump	2	-6.46428571428571	-6.55555555555556	linear	explosion	2	red	0.1	0	NA	NA
