onset	duration	trial	trial_id	choice	choice_bin	magnitude_sooner	delay_sooner	magnitude_later	delay_later	onset_choice_fb	duration_choice_fb
13.237	1.888	1	56	LL	2	26.96	2	40.44	6	15.136	1.5
23.867	1.75	2	74	SS	1	13.42	4	13.82	6	25.633	1.5
28.948	1.688	3	68	SS	1	25.55	4	28.11	6	30.648	1.5
34.763	1.78	4	66	LL	2	11.96	4	12.32	6	36.563	1.5
43.727	2.198	5	69	SS	1	22.62	4	26.01	6	45.943	1.5
53.757	2.234	6	67	SS	1	6.26	4	6.57	6	56.006	1.5
59.588	1.987	7	62	SS	1	25.3	2	31.63	6	61.587	1.5
66.269	1.293	8	26	SS	1	38.48	0	39.63	4	67.585	1.5
72.45	1.559	9	36	SS	1	18.11	2	19.92	4	74.033	1.5
78.782	1.927	10	38	SS	1	32.44	2	40.55	4	80.731	1.5
85.413	2.26	11	64	LL	2	26.95	2	40.42	6	87.695	1.5
98.858	1.065	12	1	SS	1	37.69	0	38.07	2	99.941	1.5
103.956	1.834	13	31	SS	1	23.44	0	31.64	4	105.806	1.5
109.938	1.396	14	35	SS	1	20.14	2	21.15	4	111.354	1.5
116.619	1.726	15	59	SS	1	11.17	2	11.73	6	118.368	1.5
124.116	1.289	16	32	SS	1	11.53	0	17.29	4	125.432	1.5
132.03	1.801	17	61	SS	1	18.24	2	20.97	6	133.846	1.5
136.612	2.19	18	72	LL	2	29.27	4	43.91	6	138.828	1.5
142.193	1.558	19	25	SS	1	9.89	0	9.99	4	143.776	1.5
152.423	1.98	20	8	SS	1	14.49	0	21.74	2	154.423	1.5
157.072	1.589	21	14	SS	1	27.84	0	34.8	2	158.688	1.5
162.786	1.681	22	24	SS	1	11.37	0	17.06	4	164.486	1.5
170.917	1.613	23	37	SS	1	17.36	2	19.96	4	172.55	1.5
176.582	2.33	24	16	SS	1	19.29	0	28.94	2	178.931	1.5
184.579	1.81	25	46	SS	1	30.77	2	38.46	4	186.412	1.5
193.01	1.516	26	44	SS	1	22.39	2	24.62	4	194.542	1.5
203.806	1.475	27	28	SS	1	6.41	0	7.05	4	205.305	1.5
208.888	1.434	28	54	SS	1	14.88	2	18.61	6	210.337	1.5
218.834	1.566	29	21	SS	1	19.12	0	21.99	4	220.417	1.5
223.133	1.295	30	20	SS	1	30.4	0	33.44	4	224.449	1.5
227.565	1.954	31	43	SS	1	24.99	2	26.24	4	229.547	1.5
236.878	1.414	32	34	SS	1	7.42	2	7.64	4	238.311	1.5
243.659	2.233	33	2	SS	1	24.28	0	25	2	245.908	1.5
248.691	2.775	34	70	SS	1	25.9	4	32.37	6	251.49	1.5
258.987	1.389	35	50	SS	1	20.53	2	21.14	6	260.403	1.5
267.118	1.274	36	22	SS	1	18.4	0	23	4	268.417	1.5
276.631	1.738	37	48	LL	2	22.77	2	34.16	4	278.381	1.5
283.612	1.623	38	63	SS	1	25.61	2	34.57	6	285.262	1.5
292.942	2.359	39	76	SS	1	22.92	4	25.21	6	295.325	1.5
302.423	2.314	40	60	SS	1	6.45	2	7.1	6	304.755	1.5
309.953	2.615	41	15	SS	1	16.47	0	22.24	2	312.586	1.5
317.967	1.42	42	57	SS	1	28.25	2	28.53	6	319.4	1.5
323.615	1.887	43	40	LL	2	12.44	2	18.66	4	325.515	1.5
333.112	1.75	44	49	SS	1	23.7	2	23.94	6	334.878	1.5
340.743	1.833	45	41	SS	1	11.65	2	11.77	4	342.592	1.5
345.625	0.843	46	9	SS	1	22.32	0	22.54	2	346.491	1.5
354.572	1.569	47	3	SS	1	10.51	0	11.04	2	356.154	1.5
365.051	1.901	48	75	SS	1	20.18	4	21.19	6	366.967	1.5
369.533	2.559	49	80	LL	2	9.39	4	14.08	6	372.116	1.5
374.665	1.946	50	78	SS	1	18.61	4	23.27	6	376.631	1.5
382.246	1.232	51	17	SS	1	22.32	0	22.55	4	383.495	1.5
390.659	1.185	52	19	SS	1	28.48	0	29.91	4	391.859	1.5
395.408	2.494	53	30	SS	1	25.92	0	32.4	4	397.924	1.5
406.321	1.922	54	55	SS	1	29.45	2	39.75	6	408.27	1.5
412.619	1.678	55	29	SS	1	32.7	0	37.6	4	414.318	1.5
417.217	1.729	56	51	SS	1	37.85	2	39.74	6	418.966	1.5
424.381	2.174	57	42	SS	1	9.5	2	9.79	4	426.581	1.5
432.312	1.768	58	5	SS	1	32.79	0	37.71	2	434.095	1.5
436.71	2.231	59	65	SS	1	13.22	4	13.35	6	438.96	1.5
445.008	1.97	60	58	SS	1	12.69	2	13.07	6	446.99	1.5
452.972	2.414	61	52	SS	1	30.66	2	33.73	6	455.404	1.5
463.051	1.25	62	39	SS	1	14.56	2	19.66	4	464.318	1.5
470.066	1.254	63	11	SS	1	24.85	0	26.09	2	471.332	1.5
477.563	2.187	64	71	LL	2	10.98	4	14.83	6	479.763	1.5
483.661	0.898	65	4	SS	1	13.42	0	14.77	2	484.578	1.5
487.143	1.894	66	79	SS	1	14.58	4	19.68	6	489.059	1.5
493.574	1.365	67	73	SS	1	9.59	4	9.68	6	494.957	1.5
499.739	1.148	68	18	SS	1	5.78	0	5.95	4	500.905	1.5
510.052	1.602	69	7	LL	2	19.45	0	26.26	2	511.668	1.5
516.084	1.423	70	23	SS	1	6.11	0	8.25	4	517.533	1.5
520.182	1.34	71	12	SS	1	21.96	0	24.16	2	521.548	1.5
528.279	1.225	72	33	SS	1	25.56	2	25.82	4	529.529	1.5
537.926	1.502	73	13	SS	1	16.21	0	18.64	2	539.442	1.5
544.474	0.947	74	10	SS	1	21.66	0	22.31	2	545.44	1.5
549.289	1.821	75	6	SS	1	10.5	0	13.13	2	551.122	1.5
561.768	1.673	76	45	SS	1	36.8	2	42.32	4	563.468	1.5
566.4	0.935	77	77	SS	1	25.13	4	28.9	6	567.35	1.5
575.597	2.128	78	53	SS	1	35.19	2	40.46	6	577.746	1.5
582.361	2.454	79	47	SS	1	20.07	2	27.1	4	584.827	1.5
592.708	2.387	80	27	SS	1	22.78	0	23.92	4	595.107	1.5
