onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.058	1.545	1	1	pump	7	-4.9375	-3.36363636363636	linear	cashout	13	blue	0.1	0.7	NA	NA
7.058	0.466	1	2	pump	7	-3.9375	-2.36363636363636	linear	cashout	13	blue	0.2	0.7	NA	NA
8.592	0.381	1	3	pump	7	-2.9375	-1.36363636363636	linear	cashout	13	blue	0.3	0.7	NA	NA
10.525	0.452	1	4	pump	7	-1.9375	-0.363636363636363	linear	cashout	13	blue	0.4	0.7	NA	NA
13.008	0.433	1	5	pump	7	-0.9375	0.636363636363637	linear	cashout	13	blue	0.5	0.7	NA	NA
14.9	1.635	1	6	pump	7	0.0625	1.63636363636364	linear	cashout	13	blue	0.6	0.7	NA	NA
18.325	0.606	1	7	pump	7	1.0625	2.63636363636364	linear	cashout	13	blue	0.7	0.7	NA	NA
20.042	0.487	1	8	cashout	7	NA	NA	linear	cashout	13	blue	0.8	0.7	NA	NA
31.842	1.02	2	1	pump	14	-4.9375	-9.4	control	control	14	grey	0	0	NA	NA
34.81	0.453	2	2	pump	14	-3.9375	-8.4	control	control	14	grey	0	0	NA	NA
36.726	0.468	2	3	pump	14	-2.9375	-7.4	control	control	14	grey	0	0	NA	NA
39.108	0.417	2	4	pump	14	-1.9375	-6.4	control	control	14	grey	0	0	NA	NA
41.242	0.39	2	5	pump	14	-0.9375	-5.4	control	control	14	grey	0	0	NA	NA
43.342	0.488	2	6	pump	14	0.0625	-4.4	control	control	14	grey	0	0	NA	NA
45.025	0.43	2	7	pump	14	1.0625	-3.4	control	control	14	grey	0	0	NA	NA
47.242	0.4	2	8	pump	14	2.0625	-2.4	control	control	14	grey	0	0	NA	NA
48.792	0.629	2	9	pump	14	3.0625	-1.4	control	control	14	grey	0	0	NA	NA
51.058	0.392	2	10	pump	14	4.0625	-0.4	control	control	14	grey	0	0	NA	NA
53.225	0.348	2	11	pump	14	5.0625	0.6	control	control	14	grey	0	0	NA	NA
55.325	0.425	2	12	pump	14	6.0625	1.6	control	control	14	grey	0	0	NA	NA
57.608	0.428	2	13	pump	14	7.0625	2.6	control	control	14	grey	0	0	NA	NA
59.875	0.424	2	14	pump	14	8.0625	3.6	control	control	14	grey	0	0	NA	NA
65.092	0.616	3	1	pump	1	NA	NA	exponential	explosion	1	red	0.01	0	66.942	2
71.575	0.906	4	1	pump	5	-4.9375	-3.36363636363636	linear	cashout	11	blue	0.1	0.5	NA	NA
74.092	0.532	4	2	pump	5	-3.9375	-2.36363636363636	linear	cashout	11	blue	0.2	0.5	NA	NA
75.792	0.55	4	3	pump	5	-2.9375	-1.36363636363636	linear	cashout	11	blue	0.3	0.5	NA	NA
