onset	duration	trial	trial_id	choice	choice_bin	magnitude_sooner	delay_sooner	magnitude_later	delay_later	onset_choice_fb	duration_choice_fb
12.987	2.347	1	73	SS	1	9.59	4	9.68	6	15.353	1.5
18.303	1.819	2	2	LL	2	24.28	0	25	2	20.137	1.5
23.987	1.396	3	36	SS	1	18.11	2	19.92	4	25.403	1.5
30.303	2.077	4	72	LL	2	29.27	4	43.91	6	32.403	1.5
36.079	2.279	5	74	SS	1	13.42	4	13.82	6	38.387	1.5
44.77	3.058	6	77	SS	1	25.13	4	28.9	6	47.853	1.5
54.137	2.471	7	20	SS	1	30.4	0	33.44	4	56.622	1.5
62.903	1.692	8	33	LL	2	25.56	2	25.82	4	64.62	1.5
68.17	1.932	9	66	LL	2	11.96	4	12.32	6	70.12	1.5
78.787	2.77	10	35	SS	1	20.14	2	21.15	4	81.587	1.5
87.67	2.859	11	41	SS	1	11.65	2	11.77	4	90.553	1.5
96.537	2.915	12	80	SS	1	9.39	4	14.08	6	99.487	1.5
107.555	2.691	13	78	LL	2	18.61	4	23.27	6	110.271	1.5
113.487	2.925	14	53	LL	2	35.19	2	40.46	6	116.437	1.5
120.387	2.092	15	42	SS	1	9.5	2	9.79	4	122.503	1.5
130.453	2.958	16	16	LL	2	19.29	0	28.94	2	133.437	1.5
142.237	2.912	17	22	SS	1	18.4	0	23	4	145.187	1.5
154.939	2.399	18	11	SS	1	24.85	0	26.09	2	157.355	1.5
168.337	2.499	19	18	SS	1	5.78	0	5.95	4	170.854	1.5
181.237	2.326	20	48	LL	2	22.77	2	34.16	4	183.587	1.5
188.237	2.21	21	62	SS	1	25.3	2	31.63	6	190.47	1.5
193.104	2.579	22	75	SS	1	20.18	4	21.19	6	195.72	1.5
200.854	2.292	23	57	SS	1	28.25	2	28.53	6	203.187	1.5
207.221	2.176	24	13	SS	1	16.21	0	18.64	2	209.42	1.5
214.737	2.423	25	25	SS	1	9.89	0	9.99	4	217.187	1.5
221.987	1.937	26	10	LL	2	21.66	0	22.31	2	223.954	1.5
226.704	2.248	27	38	LL	2	32.44	2	40.55	4	228.97	1.5
233.687	1.859	28	30	LL	2	25.92	0	32.4	4	235.57	1.5
240.62	2.188	29	65	SS	1	13.22	4	13.35	6	242.837	1.5
246.037	2.005	30	4	SS	1	13.42	0	14.77	2	248.07	1.5
252.656	1.653	31	70	LL	2	25.9	4	32.37	6	254.337	1.5
258.32	2.115	32	12	SS	1	21.96	0	24.16	2	260.454	1.5
264.82	2.139	33	7	SS	1	19.45	0	26.26	2	266.987	1.5
273.37	1.98	34	76	LL	2	22.92	4	25.21	6	275.37	1.5
281.504	2.288	35	68	LL	2	25.55	4	28.11	6	283.82	1.5
289.504	2.205	36	6	SS	1	10.5	0	13.13	2	291.737	1.5
298.904	2.6	37	15	SS	1	16.47	0	22.24	2	301.537	1.5
308.337	2.064	38	61	SS	1	18.24	2	20.97	6	310.42	1.5
316.487	2.727	39	69	SS	1	22.62	4	26.01	6	319.237	1.5
324.454	1.414	40	56	LL	2	26.96	2	40.44	6	325.887	1.5
330.446	1.787	41	34	SS	1	7.42	2	7.64	4	332.254	1.5
335.637	2.19	42	37	SS	1	17.36	2	19.96	4	337.854	1.5
341.62	2.362	43	59	SS	1	11.17	2	11.73	6	344.02	1.5
349.27	2.437	44	8	SS	1	14.49	0	21.74	2	351.722	1.5
357.12	3.211	45	79	LL	2	14.58	4	19.68	6	360.354	1.5
364.437	2.096	46	49	LL	2	23.7	2	23.94	6	366.554	1.5
374.437	2.331	47	52	SS	1	30.66	2	33.73	6	376.787	1.5
385.987	2.237	48	50	SS	1	20.53	2	21.14	6	388.254	1.5
391.804	1.754	49	47	LL	2	20.07	2	27.1	4	393.587	1.5
397.42	2.462	50	45	LL	2	36.8	2	42.32	4	399.906	1.5
406.037	1.855	51	46	LL	2	30.77	2	38.46	4	407.92	1.5
412.504	1.701	52	39	SS	1	14.56	2	19.66	4	414.22	1.5
423.854	1.702	53	64	LL	2	26.95	2	40.42	6	425.587	1.5
432.954	1.863	54	29	SS	1	32.7	0	37.6	4	434.844	1.5
