onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.051	1.183	1	1	pump	1	-5.53333333333333	-5.8	control	control	1	grey	0	0	NA	NA
14.051	0.969	2	1	pump	6	-5.53333333333333	-5.6	exponential	cashout	13	red	0.01	0.43	NA	NA
17.085	0.629	2	2	pump	6	-4.53333333333333	-4.6	exponential	cashout	13	red	0.0428709385014517	0.43	NA	NA
19.518	0.433	2	3	pump	6	-3.53333333333333	-3.6	exponential	cashout	13	red	0.100451085663051	0.43	NA	NA
21.918	0.415	2	4	pump	6	-2.53333333333333	-2.6	exponential	cashout	13	red	0.183791736799526	0.43	NA	NA
23.856	0.347	2	5	pump	6	-1.53333333333333	-1.6	exponential	cashout	13	red	0.293654735772005	0.43	NA	NA
25.502	0.446	2	6	pump	6	-0.533333333333333	-0.6	exponential	cashout	13	red	0.430643231586474	0.43	NA	NA
27.851	0.583	2	7	cashout	6	NA	NA	exponential	cashout	13	red	0.595258881579143	0.43	NA	NA
34.969	0.698	3	1	pump	9	-5.53333333333333	-5.2	linear	cashout	13	blue	0.1	0.9	NA	NA
37.635	0.372	3	2	pump	9	-4.53333333333333	-4.2	linear	cashout	13	blue	0.2	0.9	NA	NA
39.535	0.387	3	3	pump	9	-3.53333333333333	-3.2	linear	cashout	13	blue	0.3	0.9	NA	NA
41.368	1.276	3	4	pump	9	-2.53333333333333	-2.2	linear	cashout	13	blue	0.4	0.9	NA	NA
44.685	0.39	3	5	pump	9	-1.53333333333333	-1.2	linear	cashout	13	blue	0.5	0.9	NA	NA
46.668	0.495	3	6	pump	9	-0.533333333333333	-0.2	linear	cashout	13	blue	0.6	0.9	NA	NA
49.068	0.36	3	7	pump	9	0.466666666666667	0.8	linear	cashout	13	blue	0.7	0.9	NA	NA
50.702	0.369	3	8	pump	9	1.46666666666667	1.8	linear	cashout	13	blue	0.8	0.9	NA	NA
52.268	0.757	3	9	pump	9	2.46666666666667	2.8	linear	cashout	13	blue	0.9	0.9	NA	NA
54.535	0.605	3	10	cashout	9	NA	NA	linear	cashout	13	blue	1	0.9	NA	NA
67.302	0.639	4	1	pump	4	-5.53333333333333	-5.2	linear	explosion	4	blue	0.1	0	NA	NA
69.885	0.394	4	2	pump	4	-4.53333333333333	-4.2	linear	explosion	4	blue	0.2	0	NA	NA
72.19	0.396	4	3	pump	4	-3.53333333333333	-3.2	linear	explosion	4	blue	0.3	0	NA	NA
73.918	0.495	4	4	pump	4	NA	NA	linear	explosion	4	blue	0.4	0	75.635	2
