onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.058	0.623	1	1	pump	16	-5.28125	-8	control	control	16	grey	0	0	NA	NA
6.341	3.035	1	2	pump	16	-4.28125	-7	control	control	16	grey	0	0	NA	NA
10.989	0.623	1	3	pump	16	-3.28125	-6	control	control	16	grey	0	0	NA	NA
13.089	9.842	1	4	pump	16	-2.28125	-5	control	control	16	grey	0	0	NA	NA
24.735	4.625	1	5	pump	16	-1.28125	-4	control	control	16	grey	0	0	NA	NA
30.499	0.699	1	6	pump	16	-0.28125	-3	control	control	16	grey	0	0	NA	NA
33.248	0.924	1	7	pump	16	0.71875	-2	control	control	16	grey	0	0	NA	NA
35.914	0.332	1	8	pump	16	1.71875	-1	control	control	16	grey	0	0	NA	NA
37.38	0.39	1	9	pump	16	2.71875	0	control	control	16	grey	0	0	NA	NA
39.213	0.366	1	10	pump	16	3.71875	1	control	control	16	grey	0	0	NA	NA
41.412	0.319	1	11	pump	16	4.71875	2	control	control	16	grey	0	0	NA	NA
43.761	0.422	1	12	pump	16	5.71875	3	control	control	16	grey	0	0	NA	NA
45.278	0.455	1	13	pump	16	6.71875	4	control	control	16	grey	0	0	NA	NA
47.593	0.336	1	14	pump	16	7.71875	5	control	control	16	grey	0	0	NA	NA
49.226	0.303	1	15	pump	16	8.71875	6	control	control	16	grey	0	0	NA	NA
50.659	0.329	1	16	pump	16	9.71875	7	control	control	16	grey	0	0	NA	NA
58.24	0.709	2	1	pump	3	-5.28125	-4.09090909090909	exponential	cashout	9	red	0.01	0.1	NA	NA
60.706	0.328	2	2	pump	3	-4.28125	-3.09090909090909	exponential	cashout	9	red	0.0428709385014517	0.1	NA	NA
62.172	0.581	2	3	pump	3	-3.28125	-2.09090909090909	exponential	cashout	9	red	0.100451085663051	0.1	NA	NA
64.338	0.425	2	4	cashout	3	NA	NA	exponential	cashout	9	red	0.183791736799526	0.1	NA	NA
69.969	0.7	3	1	pump	4	-5.28125	-3.6	linear	cashout	11	blue	0.1	0.4	NA	NA
72.019	0.555	3	2	pump	4	-4.28125	-2.6	linear	cashout	11	blue	0.2	0.4	NA	NA
74.434	0.447	3	3	pump	4	-3.28125	-1.6	linear	cashout	11	blue	0.3	0.4	NA	NA
76.284	0.386	3	4	pump	4	-2.28125	-0.6	linear	cashout	11	blue	0.4	0.4	NA	NA
78.483	0.473	3	5	cashout	4	NA	NA	linear	cashout	11	blue	0.5	0.4	NA	NA
84.031	0.401	4	1	pump	3	-5.28125	-3.6	linear	cashout	16	blue	0.1	0.3	NA	NA
86.364	0.353	4	2	pump	3	-4.28125	-2.6	linear	cashout	16	blue	0.2	0.3	NA	NA
88.663	0.354	4	3	pump	3	-3.28125	-1.6	linear	cashout	16	blue	0.3	0.3	NA	NA
90.829	0.341	4	4	cashout	3	NA	NA	linear	cashout	16	blue	0.4	0.3	NA	NA
97.71	0.483	5	1	pump	4	-5.28125	-4.09090909090909	exponential	cashout	5	red	0.01	0.18	NA	NA
99.343	0.429	5	2	pump	4	-4.28125	-3.09090909090909	exponential	cashout	5	red	0.0428709385014517	0.18	NA	NA
101.442	0.404	5	3	pump	4	-3.28125	-2.09090909090909	exponential	cashout	5	red	0.100451085663051	0.18	NA	NA
103.391	0.443	5	4	pump	4	-2.28125	-1.09090909090909	exponential	cashout	5	red	0.183791736799526	0.18	NA	NA
105.524	0.44	5	5	cashout	4	NA	NA	exponential	cashout	5	red	0.293654735772005	0.18	NA	NA
115.537	0.481	6	1	pump	13	-5.28125	-8	control	control	13	grey	0	0	NA	NA
118.053	0.346	6	2	pump	13	-4.28125	-7	control	control	13	grey	0	0	NA	NA
119.869	0.365	6	3	pump	13	-3.28125	-6	control	control	13	grey	0	0	NA	NA
