onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.065	0.547	1	1	pump	14	-6.82758620689655	-8.9	control	control	14	grey	0	0	NA	NA
6.115	0.342	1	2	pump	14	-5.82758620689655	-7.9	control	control	14	grey	0	0	NA	NA
8.099	0.374	1	3	pump	14	-4.82758620689655	-6.9	control	control	14	grey	0	0	NA	NA
10.499	0.366	1	4	pump	14	-3.82758620689655	-5.9	control	control	14	grey	0	0	NA	NA
12.749	1.495	1	5	pump	14	-2.82758620689655	-4.9	control	control	14	grey	0	0	NA	NA
15.582	0.309	1	6	pump	14	-1.82758620689655	-3.9	control	control	14	grey	0	0	NA	NA
17.932	0.387	1	7	pump	14	-0.827586206896552	-2.9	control	control	14	grey	0	0	NA	NA
20.049	2.226	1	8	pump	14	0.172413793103448	-1.9	control	control	14	grey	0	0	NA	NA
24.249	4.087	1	9	pump	14	1.17241379310345	-0.9	control	control	14	grey	0	0	NA	NA
29.949	0.584	1	10	pump	14	2.17241379310345	0.0999999999999996	control	control	14	grey	0	0	NA	NA
32.265	1.892	1	11	pump	14	3.17241379310345	1.1	control	control	14	grey	0	0	NA	NA
35.949	0.886	1	12	pump	14	4.17241379310345	2.1	control	control	14	grey	0	0	NA	NA
38.796	0.374	1	13	pump	14	5.17241379310345	3.1	control	control	14	grey	0	0	NA	NA
40.865	0.649	1	14	pump	14	6.17241379310345	4.1	control	control	14	grey	0	0	NA	NA
44.328	0.915	2	1	pump	11	-6.82758620689655	-6.6	linear	cashout	15	blue	0.1	1.1	NA	NA
46.715	0.895	2	2	pump	11	-5.82758620689655	-5.6	linear	cashout	15	blue	0.2	1.1	NA	NA
49.549	0.989	2	3	pump	11	-4.82758620689655	-4.6	linear	cashout	15	blue	0.3	1.1	NA	NA
52.565	0.503	2	4	pump	11	-3.82758620689655	-3.6	linear	cashout	15	blue	0.4	1.1	NA	NA
54.865	0.447	2	5	pump	11	-2.82758620689655	-2.6	linear	cashout	15	blue	0.5	1.1	NA	NA
56.865	0.444	2	6	pump	11	-1.82758620689655	-1.6	linear	cashout	15	blue	0.6	1.1	NA	NA
58.599	0.63	2	7	pump	11	-0.827586206896552	-0.6	linear	cashout	15	blue	0.7	1.1	NA	NA
61.165	0.408	2	8	pump	11	0.172413793103448	0.4	linear	cashout	15	blue	0.8	1.1	NA	NA
62.782	0.341	2	9	pump	11	1.17241379310345	1.4	linear	cashout	15	blue	0.9	1.1	NA	NA
65.149	0.326	2	10	pump	11	2.17241379310345	2.4	linear	cashout	15	blue	1	1.1	NA	NA
67.432	0.329	2	11	pump	11	3.17241379310345	3.4	linear	cashout	15	blue	1.1	1.1	NA	NA
69.336	0.468	2	12	cashout	11	NA	NA	linear	cashout	15	blue	1.2	1.1	NA	NA
80.515	0.416	3	1	pump	5	-6.82758620689655	-4.77777777777778	exponential	explosion	5	red	0.01	0	NA	NA
82.931	0.21	3	2	pump	5	-5.82758620689655	-3.77777777777778	exponential	explosion	5	red	0.0428709385014517	0	NA	NA
84.899	0.335	3	3	pump	5	-4.82758620689655	-2.77777777777778	exponential	explosion	5	red	0.100451085663051	0	NA	NA
86.815	0.327	3	4	pump	5	-3.82758620689655	-1.77777777777778	exponential	explosion	5	red	0.183791736799526	0	NA	NA
88.515	0.363	3	5	pump	5	NA	NA	exponential	explosion	5	red	0.293654735772005	0	90.915	2
103.149	0.524	4	1	pump	9	-6.82758620689655	-8.9	control	control	9	grey	0	0	NA	NA
105.215	0.459	4	2	pump	9	-5.82758620689655	-7.9	control	control	9	grey	0	0	NA	NA
106.799	1.454	4	3	pump	9	-4.82758620689655	-6.9	control	control	9	grey	0	0	NA	NA
109.732	0.422	4	4	pump	9	-3.82758620689655	-5.9	control	control	9	grey	0	0	NA	NA
112.099	0.314	4	5	pump	9	-2.82758620689655	-4.9	control	control	9	grey	0	0	NA	NA
113.765	0.481	4	6	pump	9	-1.82758620689655	-3.9	control	control	9	grey	0	0	NA	NA
115.482	0.346	4	7	pump	9	-0.827586206896552	-2.9	control	control	9	grey	0	0	NA	NA
117.349	0.368	4	8	pump	9	0.172413793103448	-1.9	control	control	9	grey	0	0	NA	NA
118.799	0.488	4	9	pump	9	1.17241379310345	-0.9	control	control	9	grey	0	0	NA	NA
123.349	0.487	5	1	pump	11	-6.82758620689655	-6.6	linear	cashout	13	blue	0.1	1.1	NA	NA
125.084	0.351	5	2	pump	11	-5.82758620689655	-5.6	linear	cashout	13	blue	0.2	1.1	NA	NA
126.633	0.819	5	3	pump	11	-4.82758620689655	-4.6	linear	cashout	13	blue	0.3	1.1	NA	NA
128.616	0.603	5	4	pump	11	-3.82758620689655	-3.6	linear	cashout	13	blue	0.4	1.1	NA	NA
131.199	0.343	5	5	pump	11	-2.82758620689655	-2.6	linear	cashout	13	blue	0.5	1.1	NA	NA
132.632	1.364	5	6	pump	11	-1.82758620689655	-1.6	linear	cashout	13	blue	0.6	1.1	NA	NA
135.597	0.81	5	7	pump	11	-0.827586206896552	-0.6	linear	cashout	13	blue	0.7	1.1	NA	NA
137.532	0.491	5	8	pump	11	0.172413793103448	0.4	linear	cashout	13	blue	0.8	1.1	NA	NA
139.349	0.367	5	9	pump	11	1.17241379310345	1.4	linear	cashout	13	blue	0.9	1.1	NA	NA
141.732	0.449	5	10	pump	11	2.17241379310345	2.4	linear	cashout	13	blue	1	1.1	NA	NA
143.832	1.003	5	11	pump	11	3.17241379310345	3.4	linear	cashout	13	blue	1.1	1.1	NA	NA
146.866	0.475	5	12	cashout	11	NA	NA	linear	cashout	13	blue	1.2	1.1	NA	NA
152.332	0.437	6	1	pump	1	NA	NA	exponential	explosion	1	red	0.01	0	154.166	2
159.366	0.316	7	1	pump	3	-6.82758620689655	-4.77777777777778	exponential	explosion	3	red	0.01	0	NA	NA
161.099	0.291	7	2	pump	3	-5.82758620689655	-3.77777777777778	exponential	explosion	3	red	0.0428709385014517	0	NA	NA
162.749	0.281	7	3	pump	3	NA	NA	exponential	explosion	3	red	0.100451085663051	0	164.516	2
