onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.049	1.322	1	1	pump	3	-4.38888888888889	-3.41666666666667	exponential	cashout	7	red	0.01	0.1	NA	NA
6.815	0.388	1	2	pump	3	-3.38888888888889	-2.41666666666667	exponential	cashout	7	red	0.0428709385014517	0.1	NA	NA
8.999	0.283	1	3	pump	3	-2.38888888888889	-1.41666666666667	exponential	cashout	7	red	0.100451085663051	0.1	NA	NA
11.032	0.518	1	4	cashout	3	NA	NA	exponential	cashout	7	red	0.183791736799526	0.1	NA	NA
20.982	0.832	2	1	pump	2	-4.38888888888889	-5.66666666666667	control	control	2	grey	0	0	NA	NA
23.882	0.233	2	2	pump	2	-3.38888888888889	-4.66666666666667	control	control	2	grey	0	0	NA	NA
28.982	0.539	3	1	pump	5	-4.38888888888889	-4.08333333333333	linear	cashout	11	blue	0.1	0.5	NA	NA
31.382	0.279	3	2	pump	5	-3.38888888888889	-3.08333333333333	linear	cashout	11	blue	0.2	0.5	NA	NA
33.315	0.496	3	3	pump	5	-2.38888888888889	-2.08333333333333	linear	cashout	11	blue	0.3	0.5	NA	NA
34.915	0.472	3	4	pump	5	-1.38888888888889	-1.08333333333333	linear	cashout	11	blue	0.4	0.5	NA	NA
37.365	0.377	3	5	pump	5	-0.388888888888889	-0.083333333333333	linear	cashout	11	blue	0.5	0.5	NA	NA
39.565	0.483	3	6	cashout	5	NA	NA	linear	cashout	11	blue	0.6	0.5	NA	NA
46.999	0.442	4	1	pump	6	-4.38888888888889	-3.41666666666667	exponential	cashout	8	red	0.01	0.43	NA	NA
49.432	0.374	4	2	pump	6	-3.38888888888889	-2.41666666666667	exponential	cashout	8	red	0.0428709385014517	0.43	NA	NA
51.649	0.512	4	3	pump	6	-2.38888888888889	-1.41666666666667	exponential	cashout	8	red	0.100451085663051	0.43	NA	NA
54.049	0.329	4	4	pump	6	-1.38888888888889	-0.416666666666667	exponential	cashout	8	red	0.183791736799526	0.43	NA	NA
56.399	0.317	4	5	pump	6	-0.388888888888889	0.583333333333333	exponential	cashout	8	red	0.293654735772005	0.43	NA	NA
58.599	0.357	4	6	pump	6	0.611111111111111	1.58333333333333	exponential	cashout	8	red	0.430643231586474	0.43	NA	NA
60.665	0.465	4	7	cashout	6	NA	NA	exponential	cashout	8	red	0.595258881579143	0.43	NA	NA
72.582	0.527	5	1	pump	6	-4.38888888888889	-4.08333333333333	linear	cashout	12	blue	0.1	0.6	NA	NA
74.415	0.376	5	2	pump	6	-3.38888888888889	-3.08333333333333	linear	cashout	12	blue	0.2	0.6	NA	NA
76.215	0.303	5	3	pump	6	-2.38888888888889	-2.08333333333333	linear	cashout	12	blue	0.3	0.6	NA	NA
78.315	0.557	5	4	pump	6	-1.38888888888889	-1.08333333333333	linear	cashout	12	blue	0.4	0.6	NA	NA
80.432	0.315	5	5	pump	6	-0.388888888888889	-0.083333333333333	linear	cashout	12	blue	0.5	0.6	NA	NA
82.699	0.358	5	6	pump	6	0.611111111111111	0.916666666666667	linear	cashout	12	blue	0.6	0.6	NA	NA
84.982	0.4	5	7	cashout	6	NA	NA	linear	cashout	12	blue	0.7	0.6	NA	NA
92.067	0.577	6	1	pump	5	-4.38888888888889	-5.66666666666667	control	control	5	grey	0	0	NA	NA
94.199	0.486	6	2	pump	5	-3.38888888888889	-4.66666666666667	control	control	5	grey	0	0	NA	NA
95.882	0.402	6	3	pump	5	-2.38888888888889	-3.66666666666667	control	control	5	grey	0	0	NA	NA
97.432	0.483	6	4	pump	5	-1.38888888888889	-2.66666666666667	control	control	5	grey	0	0	NA	NA
99.597	0.346	6	5	pump	5	-0.388888888888889	-1.66666666666667	control	control	5	grey	0	0	NA	NA
111.449	0.465	7	1	pump	2	-4.38888888888889	-4.08333333333333	linear	explosion	2	blue	0.1	0	NA	NA
113.049	0.324	7	2	pump	2	NA	NA	linear	explosion	2	blue	0.2	0	114.965	2
118.108	0.334	8	1	pump	15	-4.38888888888889	-5.66666666666667	control	control	15	grey	0	0	NA	NA
120.249	0.241	8	2	pump	15	-3.38888888888889	-4.66666666666667	control	control	15	grey	0	0	NA	NA
122.115	0.388	8	3	pump	15	-2.38888888888889	-3.66666666666667	control	control	15	grey	0	0	NA	NA
124.399	0.332	8	4	pump	15	-1.38888888888889	-2.66666666666667	control	control	15	grey	0	0	NA	NA
126.265	0.359	8	5	pump	15	-0.388888888888889	-1.66666666666667	control	control	15	grey	0	0	NA	NA
127.815	0.425	8	6	pump	15	0.611111111111111	-0.666666666666667	control	control	15	grey	0	0	NA	NA
129.949	0.371	8	7	pump	15	1.61111111111111	0.333333333333333	control	control	15	grey	0	0	NA	NA
131.782	0.375	8	8	pump	15	2.61111111111111	1.33333333333333	control	control	15	grey	0	0	NA	NA
133.999	0.433	8	9	pump	15	3.61111111111111	2.33333333333333	control	control	15	grey	0	0	NA	NA
136.052	0.488	8	10	pump	15	4.61111111111111	3.33333333333333	control	control	15	grey	0	0	NA	NA
138.349	0.333	8	11	pump	15	5.61111111111111	4.33333333333333	control	control	15	grey	0	0	NA	NA
140.499	0.365	8	12	pump	15	6.61111111111111	5.33333333333333	control	control	15	grey	0	0	NA	NA
142.133	0.436	8	13	pump	15	7.61111111111111	6.33333333333333	control	control	15	grey	0	0	NA	NA
144.215	0.331	8	14	pump	15	8.61111111111111	7.33333333333333	control	control	15	grey	0	0	NA	NA
145.615	0.488	8	15	pump	15	9.61111111111111	8.33333333333333	control	control	15	grey	0	0	NA	NA
150.499	0.361	9	1	pump	5	-4.38888888888889	-3.41666666666667	exponential	explosion	5	red	0.01	0	NA	NA
152.165	0.256	9	2	pump	5	-3.38888888888889	-2.41666666666667	exponential	explosion	5	red	0.0428709385014517	0	NA	NA
153.915	0.25	9	3	pump	5	-2.38888888888889	-1.41666666666667	exponential	explosion	5	red	0.100451085663051	0	NA	NA
155.332	0.341	9	4	pump	5	-1.38888888888889	-0.416666666666667	exponential	explosion	5	red	0.183791736799526	0	NA	NA
157.465	0.291	9	5	pump	5	NA	NA	exponential	explosion	5	red	0.293654735772005	0	158.861	2
164.082	0.637	10	1	pump	13	-4.38888888888889	-5.66666666666667	control	control	13	grey	0	0	NA	NA
166.299	0.245	10	2	pump	13	-3.38888888888889	-4.66666666666667	control	control	13	grey	0	0	NA	NA
168.365	0.261	10	3	pump	13	-2.38888888888889	-3.66666666666667	control	control	13	grey	0	0	NA	NA
170.565	0.288	10	4	pump	13	-1.38888888888889	-2.66666666666667	control	control	13	grey	0	0	NA	NA
172.365	0.328	10	5	pump	13	-0.388888888888889	-1.66666666666667	control	control	13	grey	0	0	NA	NA
173.999	0.379	10	6	pump	13	0.611111111111111	-0.666666666666667	control	control	13	grey	0	0	NA	NA
175.999	0.378	10	7	pump	13	1.61111111111111	0.333333333333333	control	control	13	grey	0	0	NA	NA
178.082	0.358	10	8	pump	13	2.61111111111111	1.33333333333333	control	control	13	grey	0	0	NA	NA
180.449	0.537	10	9	pump	13	3.61111111111111	2.33333333333333	control	control	13	grey	0	0	NA	NA
182.332	0.898	10	10	pump	13	4.61111111111111	3.33333333333333	control	control	13	grey	0	0	NA	NA
185.115	0.411	10	11	pump	13	5.61111111111111	4.33333333333333	control	control	13	grey	0	0	NA	NA
187.399	0.457	10	12	pump	13	6.61111111111111	5.33333333333333	control	control	13	grey	0	0	NA	NA
189.717	0.416	10	13	pump	13	7.61111111111111	6.33333333333333	control	control	13	grey	0	0	NA	NA
199.349	0.513	11	1	pump	5	-4.38888888888889	-4.08333333333333	linear	explosion	5	blue	0.1	0	NA	NA
201.149	0.317	11	2	pump	5	-3.38888888888889	-3.08333333333333	linear	explosion	5	blue	0.2	0	NA	NA
202.782	0.284	11	3	pump	5	-2.38888888888889	-2.08333333333333	linear	explosion	5	blue	0.3	0	NA	NA
204.565	0.261	11	4	pump	5	-1.38888888888889	-1.08333333333333	linear	explosion	5	blue	0.4	0	NA	NA
206.865	0.25	11	5	pump	5	NA	NA	linear	explosion	5	blue	0.5	0	208.565	2
211.949	0.324	12	1	pump	4	-4.38888888888889	-3.41666666666667	exponential	cashout	8	red	0.01	0.18	NA	NA
213.682	0.282	12	2	pump	4	-3.38888888888889	-2.41666666666667	exponential	cashout	8	red	0.0428709385014517	0.18	NA	NA
215.882	0.319	12	3	pump	4	-2.38888888888889	-1.41666666666667	exponential	cashout	8	red	0.100451085663051	0.18	NA	NA
217.732	0.348	12	4	pump	4	-1.38888888888889	-0.416666666666667	exponential	cashout	8	red	0.183791736799526	0.18	NA	NA
219.465	0.441	12	5	cashout	4	NA	NA	exponential	cashout	8	red	0.293654735772005	0.18	NA	NA
227.315	0.316	13	1	pump	5	-4.38888888888889	-4.08333333333333	linear	cashout	16	blue	0.1	0.5	NA	NA
228.815	0.268	13	2	pump	5	-3.38888888888889	-3.08333333333333	linear	cashout	16	blue	0.2	0.5	NA	NA
230.636	0.322	13	3	pump	5	-2.38888888888889	-2.08333333333333	linear	cashout	16	blue	0.3	0.5	NA	NA
232.899	0.371	13	4	pump	5	-1.38888888888889	-1.08333333333333	linear	cashout	16	blue	0.4	0.5	NA	NA
235.065	0.463	13	5	pump	5	-0.388888888888889	-0.083333333333333	linear	cashout	16	blue	0.5	0.5	NA	NA
237.384	0.413	13	6	cashout	5	NA	NA	linear	cashout	16	blue	0.6	0.5	NA	NA
244.049	0.374	14	1	pump	8	-4.38888888888889	-5.66666666666667	control	control	8	grey	0	0	NA	NA
245.599	0.243	14	2	pump	8	-3.38888888888889	-4.66666666666667	control	control	8	grey	0	0	NA	NA
247.849	0.439	14	3	pump	8	-2.38888888888889	-3.66666666666667	control	control	8	grey	0	0	NA	NA
249.832	0.388	14	4	pump	8	-1.38888888888889	-2.66666666666667	control	control	8	grey	0	0	NA	NA
251.349	0.374	14	5	pump	8	-0.388888888888889	-1.66666666666667	control	control	8	grey	0	0	NA	NA
253.132	0.374	14	6	pump	8	0.611111111111111	-0.666666666666667	control	control	8	grey	0	0	NA	NA
255.165	0.373	14	7	pump	8	1.61111111111111	0.333333333333333	control	control	8	grey	0	0	NA	NA
257.215	0.501	14	8	pump	8	2.61111111111111	1.33333333333333	control	control	8	grey	0	0	NA	NA
262.582	0.541	15	1	pump	4	-4.38888888888889	-3.41666666666667	exponential	cashout	8	red	0.01	0.18	NA	NA
264.382	0.298	15	2	pump	4	-3.38888888888889	-2.41666666666667	exponential	cashout	8	red	0.0428709385014517	0.18	NA	NA
265.782	0.496	15	3	pump	4	-2.38888888888889	-1.41666666666667	exponential	cashout	8	red	0.100451085663051	0.18	NA	NA
268.082	0.355	15	4	pump	4	-1.38888888888889	-0.416666666666667	exponential	cashout	8	red	0.183791736799526	0.18	NA	NA
269.765	0.347	15	5	cashout	4	NA	NA	exponential	cashout	8	red	0.293654735772005	0.18	NA	NA
278.049	0.286	16	1	pump	5	-4.38888888888889	-5.66666666666667	control	control	5	grey	0	0	NA	NA
279.482	0.271	16	2	pump	5	-3.38888888888889	-4.66666666666667	control	control	5	grey	0	0	NA	NA
281.565	0.27	16	3	pump	5	-2.38888888888889	-3.66666666666667	control	control	5	grey	0	0	NA	NA
283.215	0.43	16	4	pump	5	-1.38888888888889	-2.66666666666667	control	control	5	grey	0	0	NA	NA
284.765	0.294	16	5	pump	5	-0.388888888888889	-1.66666666666667	control	control	5	grey	0	0	NA	NA
291.066	0.449	17	1	pump	6	-4.38888888888889	-4.08333333333333	linear	cashout	15	blue	0.1	0.6	NA	NA
292.665	0.264	17	2	pump	6	-3.38888888888889	-3.08333333333333	linear	cashout	15	blue	0.2	0.6	NA	NA
294.949	0.118	17	3	pump	6	-2.38888888888889	-2.08333333333333	linear	cashout	15	blue	0.3	0.6	NA	NA
296.982	0.248	17	4	pump	6	-1.38888888888889	-1.08333333333333	linear	cashout	15	blue	0.4	0.6	NA	NA
298.965	0.34	17	5	pump	6	-0.388888888888889	-0.083333333333333	linear	cashout	15	blue	0.5	0.6	NA	NA
301.365	0.376	17	6	pump	6	0.611111111111111	0.916666666666667	linear	cashout	15	blue	0.6	0.6	NA	NA
303.265	0.419	17	7	cashout	6	NA	NA	linear	cashout	15	blue	0.7	0.6	NA	NA
310.882	0.525	18	1	pump	3	-4.38888888888889	-3.41666666666667	exponential	cashout	6	red	0.01	0.1	NA	NA
313.041	0.264	18	2	pump	3	-3.38888888888889	-2.41666666666667	exponential	cashout	6	red	0.0428709385014517	0.1	NA	NA
315.182	0.351	18	3	pump	3	-2.38888888888889	-1.41666666666667	exponential	cashout	6	red	0.100451085663051	0.1	NA	NA
316.682	0.475	18	4	cashout	3	NA	NA	exponential	cashout	6	red	0.183791736799526	0.1	NA	NA
322.999	0.34	19	1	pump	6	-4.38888888888889	-3.41666666666667	exponential	explosion	6	red	0.01	0	NA	NA
324.932	0.239	19	2	pump	6	-3.38888888888889	-2.41666666666667	exponential	explosion	6	red	0.0428709385014517	0	NA	NA
326.349	0.305	19	3	pump	6	-2.38888888888889	-1.41666666666667	exponential	explosion	6	red	0.100451085663051	0	NA	NA
328.399	0.335	19	4	pump	6	-1.38888888888889	-0.416666666666667	exponential	explosion	6	red	0.183791736799526	0	NA	NA
329.832	0.548	19	5	pump	6	-0.388888888888889	0.583333333333333	exponential	explosion	6	red	0.293654735772005	0	NA	NA
332.232	0.387	19	6	pump	6	NA	NA	exponential	explosion	6	red	0.430643231586474	0	334.449	2
339.149	0.451	20	1	pump	4	-4.38888888888889	-5.66666666666667	control	control	4	grey	0	0	NA	NA
341.582	0.459	20	2	pump	4	-3.38888888888889	-4.66666666666667	control	control	4	grey	0	0	NA	NA
343.131	0.316	20	3	pump	4	-2.38888888888889	-3.66666666666667	control	control	4	grey	0	0	NA	NA
344.749	0.655	20	4	pump	4	-1.38888888888889	-2.66666666666667	control	control	4	grey	0	0	NA	NA
352.399	0.598	21	1	pump	6	-4.38888888888889	-4.08333333333333	linear	cashout	13	blue	0.1	0.6	NA	NA
354.149	0.444	21	2	pump	6	-3.38888888888889	-3.08333333333333	linear	cashout	13	blue	0.2	0.6	NA	NA
356.049	0.331	21	3	pump	6	-2.38888888888889	-2.08333333333333	linear	cashout	13	blue	0.3	0.6	NA	NA
358.315	0.309	21	4	pump	6	-1.38888888888889	-1.08333333333333	linear	cashout	13	blue	0.4	0.6	NA	NA
360.082	0.355	21	5	pump	6	-0.388888888888889	-0.083333333333333	linear	cashout	13	blue	0.5	0.6	NA	NA
362.032	0.373	21	6	pump	6	0.611111111111111	0.916666666666667	linear	cashout	13	blue	0.6	0.6	NA	NA
363.949	0.444	21	7	cashout	6	NA	NA	linear	cashout	13	blue	0.7	0.6	NA	NA
370.865	0.491	22	1	pump	5	-4.38888888888889	-3.41666666666667	exponential	cashout	15	red	0.01	0.29	NA	NA
373.165	0.43	22	2	pump	5	-3.38888888888889	-2.41666666666667	exponential	cashout	15	red	0.0428709385014517	0.29	NA	NA
375.199	0.363	22	3	pump	5	-2.38888888888889	-1.41666666666667	exponential	cashout	15	red	0.100451085663051	0.29	NA	NA
377.465	0.352	22	4	pump	5	-1.38888888888889	-0.416666666666667	exponential	cashout	15	red	0.183791736799526	0.29	NA	NA
379.482	0.304	22	5	pump	5	-0.388888888888889	0.583333333333333	exponential	cashout	15	red	0.293654735772005	0.29	NA	NA
381.299	0.413	22	6	cashout	5	NA	NA	exponential	cashout	15	red	0.430643231586474	0.29	NA	NA
386.8	0.328	23	1	pump	5	-4.38888888888889	-4.08333333333333	linear	cashout	14	blue	0.1	0.5	NA	NA
388.932	0.315	23	2	pump	5	-3.38888888888889	-3.08333333333333	linear	cashout	14	blue	0.2	0.5	NA	NA
391.149	0.29	23	3	pump	5	-2.38888888888889	-2.08333333333333	linear	cashout	14	blue	0.3	0.5	NA	NA
392.615	0.345	23	4	pump	5	-1.38888888888889	-1.08333333333333	linear	cashout	14	blue	0.4	0.5	NA	NA
394.332	0.29	23	5	pump	5	-0.388888888888889	-0.083333333333333	linear	cashout	14	blue	0.5	0.5	NA	NA
395.815	0.485	23	6	cashout	5	NA	NA	linear	cashout	14	blue	0.6	0.5	NA	NA
403.949	0.434	24	1	pump	3	-4.38888888888889	-5.66666666666667	control	control	3	grey	0	0	NA	NA
406.099	0.248	24	2	pump	3	-3.38888888888889	-4.66666666666667	control	control	3	grey	0	0	NA	NA
407.532	0.493	24	3	pump	3	-2.38888888888889	-3.66666666666667	control	control	3	grey	0	0	NA	NA
412.799	0.752	25	1	pump	5	-4.38888888888889	-3.41666666666667	exponential	explosion	5	red	0.01	0	NA	NA
415.149	0.509	25	2	pump	5	-3.38888888888889	-2.41666666666667	exponential	explosion	5	red	0.0428709385014517	0	NA	NA
